,Unnamed: 0,Date,FDS
0,0,2019-02-05,211.78211975097656
1,1,2019-02-06,208.6044921875
2,2,2019-02-07,210.4842987060547
3,3,2019-02-08,211.2095184326172
4,4,2019-02-11,210.4748077392578
5,5,2019-02-12,211.734375
6,6,2019-02-13,211.69618225097656
7,7,2019-02-14,211.5626220703125
8,8,2019-02-15,214.17718505859372
9,9,2019-02-19,215.50360107421875
10,10,2019-02-20,217.58380126953125
11,11,2019-02-21,217.55517578125
12,12,2019-02-22,220.9427032470703
13,13,2019-02-25,221.02862548828125
14,14,2019-02-26,220.9999847412109
15,15,2019-02-27,224.3490295410156
16,16,2019-02-28,225.0284118652344
17,17,2019-03-01,226.884765625
18,18,2019-03-04,225.21978759765625
19,19,2019-03-05,226.6646881103516
20,20,2019-03-06,224.59780883789065
21,21,2019-03-07,221.2678985595703
22,22,2019-03-08,221.13394165039065
23,23,2019-03-11,223.32516479492188
24,24,2019-03-12,223.3060302734375
25,25,2019-03-13,224.0428466796875
26,26,2019-03-14,225.9278564453125
27,27,2019-03-15,227.12396240234372
28,28,2019-03-18,228.31048583984372
29,29,2019-03-19,228.91331481933597
30,30,2019-03-20,226.588134765625
31,31,2019-03-21,231.87008666992188
32,32,2019-03-22,224.4255523681641
33,33,2019-03-25,223.49742126464844
34,34,2019-03-26,235.6784820556641
35,35,2019-03-27,232.55902099609372
36,36,2019-03-28,234.36752319335935
37,37,2019-03-29,237.5634765625
38,38,2019-04-01,238.52037048339844
39,39,2019-04-02,239.2667236328125
40,40,2019-04-03,241.51535034179688
41,41,2019-04-04,242.0321044921875
42,42,2019-04-05,241.9459991455078
43,43,2019-04-08,244.8070373535156
44,44,2019-04-09,243.9553680419922
45,45,2019-04-10,245.30458068847656
46,46,2019-04-11,245.22804260253903
47,47,2019-04-12,248.9120330810547
48,48,2019-04-15,250.48126220703125
49,49,2019-04-16,252.1558074951172
50,50,2019-04-17,247.23751831054688
51,51,2019-04-18,250.8161773681641
52,52,2019-04-22,249.8019256591797
53,53,2019-04-23,255.30392456054688
54,54,2019-04-24,254.27053833007807
55,55,2019-04-25,255.57183837890625
56,56,2019-04-26,259.4280700683594
57,57,2019-04-29,260.834716796875
58,58,2019-04-30,263.9731750488281
59,59,2019-05-01,260.2891845703125
60,60,2019-05-02,262.7006225585937
61,61,2019-05-03,266.8151550292969
62,62,2019-05-06,271.5899658203125
63,63,2019-05-07,266.2409973144531
64,64,2019-05-08,264.6429443359375
65,65,2019-05-09,266.41326904296875
66,66,2019-05-10,268.6811218261719
67,67,2019-05-13,260.4997863769531
68,68,2019-05-14,264.8822631835937
69,69,2019-05-15,263.1407470703125
70,70,2019-05-16,266.575927734375
71,71,2019-05-17,266.41326904296875
72,72,2019-05-20,264.8726501464844
73,73,2019-05-21,269.4656066894531
74,74,2019-05-22,268.4417724609375
75,75,2019-05-23,266.1070251464844
76,76,2019-05-24,268.0877685546875
77,77,2019-05-28,264.5282897949219
78,78,2019-05-29,266.04010009765625
79,79,2019-05-30,266.9418640136719
80,80,2019-05-31,266.8939514160156
81,81,2019-06-03,265.6371765136719
82,82,2019-06-04,273.3984375
83,83,2019-06-05,275.2882995605469
84,84,2019-06-06,277.9361572265625
85,85,2019-06-07,280.28662109375
86,86,2019-06-10,285.006591796875
87,87,2019-06-11,283.0111694335937
88,88,2019-06-12,289.23736572265625
89,89,2019-06-13,284.8147277832031
90,90,2019-06-14,284.2871398925781
91,91,2019-06-17,283.6252136230469
92,92,2019-06-18,288.191650390625
93,93,2019-06-19,289.774658203125
94,94,2019-06-20,289.0168151855469
95,95,2019-06-21,285.9660339355469
96,96,2019-06-24,281.4090576171875
97,97,2019-06-25,273.6574401855469
98,98,2019-06-26,277.57159423828125
99,99,2019-06-27,273.8109130859375
100,100,2019-06-28,274.9142150878906
101,101,2019-07-01,275.0868835449219
102,102,2019-07-02,280.929443359375
103,103,2019-07-03,284.0280456542969
104,104,2019-07-05,283.44293212890625
105,105,2019-07-08,277.9361572265625
106,106,2019-07-09,279.1833801269531
107,107,2019-07-10,279.6341552734375
108,108,2019-07-11,282.502685546875
109,109,2019-07-12,284.4693603515625
110,110,2019-07-15,282.3587951660156
111,111,2019-07-16,271.55645751953125
112,112,2019-07-17,271.27813720703125
113,113,2019-07-18,273.99322509765625
114,114,2019-07-19,268.4384155273437
115,115,2019-07-22,269.378662109375
116,116,2019-07-23,266.6828918457031
117,117,2019-07-24,267.5366516113281
118,118,2019-07-25,266.519775390625
119,119,2019-07-26,272.0360717773437
120,120,2019-07-29,270.6258239746094
121,121,2019-07-30,265.1863098144531
122,122,2019-07-31,266.0304260253906
123,123,2019-08-01,268.0738525390625
124,124,2019-08-02,267.26806640625
125,125,2019-08-05,258.9024658203125
126,126,2019-08-06,263.718505859375
127,127,2019-08-07,263.49786376953125
128,128,2019-08-08,270.088623046875
129,129,2019-08-09,266.98980712890625
130,130,2019-08-12,262.8166198730469
131,131,2019-08-13,267.89166259765625
132,132,2019-08-14,258.7489013671875
133,133,2019-08-15,261.0897216796875
134,134,2019-08-16,265.7714538574219
135,135,2019-08-19,266.1552429199219
136,136,2019-08-20,264.6585693359375
137,137,2019-08-21,266.3758239746094
138,138,2019-08-22,264.6010437011719
139,139,2019-08-23,258.6529541015625
140,140,2019-08-26,260.51416015625
141,141,2019-08-27,262.6055908203125
142,142,2019-08-28,264.74493408203125
143,143,2019-08-29,260.5126647949219
144,144,2019-08-30,261.71502685546875
145,145,2019-09-03,260.01251220703125
146,146,2019-09-04,260.6185913085937
