,Unnamed: 0.1,Unnamed: 0,Date,FANG,FANG_6m,FANG_12m
0,0,0,2019-02-05,84.8873291015625,,
1,1,1,2019-02-06,84.69569396972656,,
2,2,2,2019-02-07,81.62116241455078,,
3,3,3,2019-02-08,80.48799896240234,,
4,4,4,2019-02-11,81.53783416748047,,
5,5,5,2019-02-12,82.22106170654297,,
6,6,6,2019-02-13,84.17074584960938,84.8873291015625,
7,7,7,2019-02-14,86.51209259033203,84.69569396972656,
8,8,8,2019-02-15,87.9035415649414,81.62116241455078,
9,9,9,2019-02-19,87.3203125,80.48799896240234,
10,10,10,2019-02-20,88.80101013183594,81.53783416748047,
11,11,11,2019-02-21,85.20560455322266,82.22106170654297,
12,12,12,2019-02-22,86.78224182128906,84.17074584960938,84.8873291015625
13,13,13,2019-02-25,87.83334350585938,86.51209259033203,84.69569396972656
14,14,14,2019-02-26,88.01687622070312,87.9035415649414,81.62116241455078
15,15,15,2019-02-27,88.00016784667969,87.3203125,80.48799896240234
16,16,16,2019-02-28,85.8646240234375,88.80101013183594,81.53783416748047
17,17,17,2019-03-01,87.41622924804688,85.20560455322266,82.22106170654297
18,18,18,2019-03-04,87.31612396240234,86.78224182128906,84.17074584960938
19,19,19,2019-03-05,85.60601806640625,87.83334350585938,86.51209259033203
20,20,20,2019-03-06,83.46212768554688,88.01687622070312,87.9035415649414
21,21,21,2019-03-07,81.55178833007812,88.00016784667969,87.3203125
22,22,22,2019-03-08,79.6664810180664,85.8646240234375,88.80101013183594
23,23,23,2019-03-11,81.4016342163086,87.41622924804688,85.20560455322266
24,24,24,2019-03-12,83.8375015258789,87.31612396240234,86.78224182128906
25,25,25,2019-03-13,86.27338409423828,85.60601806640625,87.83334350585938
26,26,26,2019-03-14,86.93240356445312,83.46212768554688,88.01687622070312
27,27,27,2019-03-15,85.41415405273438,81.55178833007812,88.00016784667969
28,28,28,2019-03-18,87.20768737792969,79.6664810180664,85.8646240234375
29,29,29,2019-03-19,86.07318115234375,81.4016342163086,87.41622924804688
30,30,30,2019-03-20,87.74159240722656,83.8375015258789,87.31612396240234
31,31,31,2019-03-21,88.35054779052734,86.27338409423828,85.60601806640625
32,32,32,2019-03-22,84.56327056884766,86.93240356445312,83.46212768554688
33,33,33,2019-03-25,84.23792266845703,85.41415405273438,81.55178833007812
34,34,34,2019-03-26,85.59767150878906,87.20768737792969,79.6664810180664
35,35,35,2019-03-27,85.38078308105469,86.07318115234375,81.4016342163086
36,36,36,2019-03-28,85.53929138183594,87.74159240722656,83.8375015258789
37,37,37,2019-03-29,84.69673919677734,88.35054779052734,86.27338409423828
38,38,38,2019-04-01,86.49861907958984,84.56327056884766,86.93240356445312
39,39,39,2019-04-02,85.4975814819336,84.23792266845703,85.41415405273438
40,40,40,2019-04-03,83.38703918457031,85.59767150878906,87.20768737792969
41,41,41,2019-04-04,83.28692626953125,85.38078308105469,86.07318115234375
42,42,42,2019-04-05,85.46419525146484,85.53929138183594,87.74159240722656
43,43,43,2019-04-08,87.04917907714844,84.69673919677734,88.35054779052734
44,44,44,2019-04-09,85.78953552246094,86.49861907958984,84.56327056884766
45,45,45,2019-04-10,86.6487808227539,85.4975814819336,84.23792266845703
46,46,46,2019-04-11,83.3536605834961,83.38703918457031,85.59767150878906
47,47,47,2019-04-12,88.6592025756836,83.28692626953125,85.38078308105469
48,48,48,2019-04-15,88.39225769042969,85.46419525146484,85.53929138183594
49,49,49,2019-04-16,89.1513900756836,87.04917907714844,84.69673919677734
50,50,50,2019-04-17,90.29424285888672,85.78953552246094,86.49861907958984
