,Unnamed: 0,Date,CMS
0,0,2019-02-05,45.41366195678711
1,1,2019-02-06,45.35259628295898
2,2,2019-02-07,45.8935432434082
3,3,2019-02-08,46.19891357421875
4,4,2019-02-11,46.094215393066406
5,5,2019-02-12,46.0593147277832
6,6,2019-02-13,46.05058670043945
7,7,2019-02-14,45.8062858581543
8,8,2019-02-15,46.04186248779297
9,9,2019-02-19,46.0593147277832
10,10,2019-02-20,46.0593147277832
11,11,2019-02-21,46.60026168823242
12,12,2019-02-22,47.28954315185547
13,13,2019-02-25,46.957984924316406
14,14,2019-02-26,46.98416519165039
15,15,2019-02-27,46.98416519165039
16,16,2019-02-28,47.46403503417969
17,17,2019-03-01,47.20228576660156
18,18,2019-03-04,47.24591064453125
19,19,2019-03-05,47.11503601074219
20,20,2019-03-06,47.14122009277344
21,21,2019-03-07,47.35933303833008
22,22,2019-03-08,47.67344284057617
23,23,2019-03-11,47.94391632080078
24,24,2019-03-12,48.26673889160156
25,25,2019-03-13,48.24928283691406
26,26,2019-03-14,48.11841583251953
27,27,2019-03-15,48.44997024536133
28,28,2019-03-18,48.26673889160156
29,29,2019-03-19,47.43786239624024
30,30,2019-03-20,47.6385383605957
31,31,2019-03-21,48.17949295043945
32,32,2019-03-22,48.54594421386719
33,33,2019-03-25,48.71172332763672
34,34,2019-03-26,49.06071472167969
35,35,2019-03-27,48.746612548828125
36,36,2019-03-28,48.1707649230957
37,37,2019-03-29,48.45869064331055
38,38,2019-04-01,47.97882461547852
39,39,2019-04-02,47.90029144287109
40,40,2019-04-03,47.86538314819336
41,41,2019-04-04,47.61236953735352
42,42,2019-04-05,48.08351516723633
43,43,2019-04-08,47.41169357299805
44,44,2019-04-09,47.655982971191406
45,45,2019-04-10,47.455322265625
46,46,2019-04-11,47.92646026611328
47,47,2019-04-12,47.9700927734375
48,48,2019-04-15,47.87410736083984
49,49,2019-04-16,47.15865707397461
50,50,2019-04-17,47.19356918334961
51,51,2019-04-18,46.94926071166992
52,52,2019-04-22,46.73114013671875
53,53,2019-04-23,47.28081512451172
54,54,2019-04-24,47.46403503417969
55,55,2019-04-25,47.778133392333984
56,56,2019-04-26,47.90029144287109
57,57,2019-04-29,47.66471862792969
58,58,2019-04-30,48.46742248535156
59,59,2019-05-01,47.9700927734375
60,60,2019-05-02,47.95515441894531
61,61,2019-05-03,48.55261993408203
62,62,2019-05-06,48.42082214355469
63,63,2019-05-07,48.27145767211914
64,64,2019-05-08,47.68277740478516
65,65,2019-05-09,47.797000885009766
66,66,2019-05-10,48.87770462036133
67,67,2019-05-13,49.59817123413086
68,68,2019-05-14,49.07099914550781
69,69,2019-05-15,49.07099914550781
70,70,2019-05-16,49.39609146118164
71,71,2019-05-17,49.606964111328125
72,72,2019-05-20,49.83539962768555
73,73,2019-05-21,49.51031494140625
74,74,2019-05-22,49.81782913208008
75,75,2019-05-23,50.388938903808594
76,76,2019-05-24,50.29228973388672
77,77,2019-05-28,49.3521614074707
78,78,2019-05-29,48.75470352172852
79,79,2019-05-30,48.98313522338867
80,80,2019-05-31,49.299442291259766
81,81,2019-06-03,50.08140563964844
82,82,2019-06-04,49.71240234375
83,83,2019-06-05,50.92488861083984
84,84,2019-06-06,51.14455032348633
85,85,2019-06-07,50.77553176879883
86,86,2019-06-10,50.52073669433594
87,87,2019-06-11,50.23078155517578
88,88,2019-06-12,50.91611099243164
89,89,2019-06-13,50.91611099243164
90,90,2019-06-14,51.61901092529297
91,91,2019-06-17,51.28512573242188
92,92,2019-06-18,51.06547164916992
93,93,2019-06-19,51.74201202392578
94,94,2019-06-20,51.9265251159668
95,95,2019-06-21,51.97045135498047
96,96,2019-06-24,51.85623550415039
97,97,2019-06-25,51.803524017333984
98,98,2019-06-26,50.55587768554688
99,99,2019-06-27,50.52951431274414
100,100,2019-06-28,50.8809700012207
101,101,2019-07-01,50.66130447387695
102,102,2019-07-02,51.16212463378906
103,103,2019-07-03,51.82109451293945
104,104,2019-07-05,51.59264373779297
105,105,2019-07-08,51.73322677612305
106,106,2019-07-09,51.73322677612305
107,107,2019-07-10,51.76837158203125
108,108,2019-07-11,51.838661193847656
109,109,2019-07-12,51.46963882446289
110,110,2019-07-15,51.50478363037109
111,111,2019-07-16,51.31148910522461
112,112,2019-07-17,51.54872131347656
113,113,2019-07-18,51.95288848876953
114,114,2019-07-19,51.18848037719727
115,115,2019-07-22,51.214839935302734
116,116,2019-07-23,51.19726943969727
117,117,2019-07-24,50.96881866455078
118,118,2019-07-25,50.92488861083984
119,119,2019-07-26,51.56629180908203
120,120,2019-07-29,51.99681091308594
121,121,2019-07-30,51.45206832885742
122,122,2019-07-31,51.15333938598633
123,123,2019-08-01,52.17309188842773
124,124,2019-08-02,51.91661071777344
125,125,2019-08-05,51.492069244384766
126,126,2019-08-06,52.09349822998047
127,127,2019-08-07,52.27923202514648
128,128,2019-08-08,53.1282844543457
129,129,2019-08-09,53.349395751953125
130,130,2019-08-12,53.013309478759766
131,131,2019-08-13,53.1459846496582
132,132,2019-08-14,52.86296081542969
133,133,2019-08-15,54.18962097167969
134,134,2019-08-16,54.12770462036133
135,135,2019-08-19,54.4549446105957
136,136,2019-08-20,54.357666015625
137,137,2019-08-21,54.88832473754883
138,138,2019-08-22,54.95907211303711
139,139,2019-08-23,54.46379089355469
140,140,2019-08-26,55.197879791259766
141,141,2019-08-27,55.33053970336914
142,142,2019-08-28,55.250953674316406
143,143,2019-08-29,55.74623489379883
144,144,2019-08-30,55.76392364501953
145,145,2019-09-03,56.940223693847656
