,Unnamed: 0,Date,LMT
0,0,2019-02-05,262.08123779296875
1,1,2019-02-06,262.4050598144531
2,2,2019-02-07,262.6676330566406
3,3,2019-02-08,263.8665771484375
4,4,2019-02-11,262.5887756347656
5,5,2019-02-12,266.15087890625
6,6,2019-02-13,266.422119140625
7,7,2019-02-14,263.4290466308594
8,8,2019-02-15,268.8813781738281
9,9,2019-02-19,267.0872497558594
10,10,2019-02-20,268.8551025390625
11,11,2019-02-21,266.5008544921875
12,12,2019-02-22,268.7939147949219
13,13,2019-02-25,267.7786560058594
14,14,2019-02-26,267.6998596191406
15,15,2019-02-27,269.18768310546875
16,16,2019-02-28,272.7400207519531
17,17,2019-03-01,272.79296875
18,18,2019-03-04,268.5794982910156
19,19,2019-03-05,269.5226745605469
20,20,2019-03-06,267.3718566894531
21,21,2019-03-07,267.0986328125
22,22,2019-03-08,265.2827453613281
23,23,2019-03-11,268.3238220214844
24,24,2019-03-12,266.1377258300781
25,25,2019-03-13,267.4864501953125
26,26,2019-03-14,263.13189697265625
27,27,2019-03-15,261.05157470703125
28,28,2019-03-18,262.3650207519531
29,29,2019-03-19,261.4482421875
30,30,2019-03-20,260.9017944335937
31,31,2019-03-21,263.5726318359375
32,32,2019-03-22,259.1651916503906
33,33,2019-03-25,259.2621459960937
34,34,2019-03-26,259.9674072265625
35,35,2019-03-27,259.1123352050781
36,36,2019-03-28,260.5668029785156
37,37,2019-03-29,264.5863342285156
38,38,2019-04-01,268.2268981933594
39,39,2019-04-02,267.1779479980469
40,40,2019-04-03,262.038818359375
41,41,2019-04-04,264.1543884277344
42,42,2019-04-05,266.7195739746094
43,43,2019-04-08,269.4345397949219
44,44,2019-04-09,266.8077087402344
45,45,2019-04-10,263.66961669921875
46,46,2019-04-11,269.372802734375
47,47,2019-04-12,272.99566650390625
48,48,2019-04-15,272.123046875
49,49,2019-04-16,273.31304931640625
50,50,2019-04-17,273.70086669921875
51,51,2019-04-18,277.0152587890625
52,52,2019-04-22,277.896728515625
53,53,2019-04-23,293.6224060058594
54,54,2019-04-24,290.99560546875
55,55,2019-04-25,289.8937072753906
56,56,2019-04-26,289.4176940917969
57,57,2019-04-29,289.64697265625
58,58,2019-04-30,293.8251342773437
59,59,2019-05-01,292.5205383300781
60,60,2019-05-02,293.1376037597656
61,61,2019-05-03,294.4774780273437
62,62,2019-05-06,295.931884765625
63,63,2019-05-07,291.68316650390625
64,64,2019-05-08,294.5744323730469
65,65,2019-05-09,299.1405029296875
66,66,2019-05-10,300.89471435546875
67,67,2019-05-13,295.6233825683594
68,68,2019-05-14,296.3286437988281
69,69,2019-05-15,294.5479736328125
70,70,2019-05-16,299.1670227050781
71,71,2019-05-17,297.9328308105469
72,72,2019-05-20,301.4764709472656
73,73,2019-05-21,303.1865234375
74,74,2019-05-22,300.85064697265625
