,Unnamed: 0,Date,DXCM
0,0,2019-02-05,37.185001373291016
1,1,2019-02-06,36.290000915527344
2,2,2019-02-07,35.9900016784668
3,3,2019-02-08,36.38249969482422
4,4,2019-02-11,37.807498931884766
5,5,2019-02-12,38.182498931884766
6,6,2019-02-13,37.26250076293945
7,7,2019-02-14,36.95750045776367
8,8,2019-02-15,37.122501373291016
9,9,2019-02-19,36.97499847412109
10,10,2019-02-20,36.3849983215332
11,11,2019-02-21,36.5625
12,12,2019-02-22,34.21500015258789
13,13,2019-02-25,35.224998474121094
14,14,2019-02-26,34.897499084472656
15,15,2019-02-27,35.022499084472656
16,16,2019-02-28,34.83250045776367
17,17,2019-03-01,35.872501373291016
18,18,2019-03-04,35.375
19,19,2019-03-05,36.74250030517578
20,20,2019-03-06,35.852500915527344
21,21,2019-03-07,35.76750183105469
22,22,2019-03-08,35.810001373291016
23,23,2019-03-11,36.022499084472656
24,24,2019-03-12,35.9474983215332
25,25,2019-03-13,36.8650016784668
26,26,2019-03-14,36.712501525878906
27,27,2019-03-15,37.75
28,28,2019-03-18,36.53749847412109
29,29,2019-03-19,36.73500061035156
30,30,2019-03-20,36.540000915527344
31,31,2019-03-21,35.540000915527344
32,32,2019-03-22,32.25749969482422
33,33,2019-03-25,31.020000457763672
34,34,2019-03-26,30.237499237060547
35,35,2019-03-27,28.88500022888184
36,36,2019-03-28,29.59499931335449
37,37,2019-03-29,29.774999618530277
38,38,2019-04-01,28.792499542236328
39,39,2019-04-02,29.2450008392334
40,40,2019-04-03,29.42250061035156
41,41,2019-04-04,29.290000915527344
42,42,2019-04-05,29.229999542236328
43,43,2019-04-08,28.737499237060547
44,44,2019-04-09,28.80500030517578
45,45,2019-04-10,29.71999931335449
46,46,2019-04-11,29.825000762939453
47,47,2019-04-12,29.46999931335449
48,48,2019-04-15,29.74250030517578
49,49,2019-04-16,29.440000534057617
50,50,2019-04-17,27.84499931335449
51,51,2019-04-18,28.57250022888184
52,52,2019-04-22,29.15250015258789
53,53,2019-04-23,29.50749969482422
54,54,2019-04-24,29.70499992370605
55,55,2019-04-25,29.530000686645508
56,56,2019-04-26,31.042499542236328
57,57,2019-04-29,31.107500076293945
58,58,2019-04-30,30.26749992370605
59,59,2019-05-01,29.655000686645508
60,60,2019-05-02,30.092500686645508
61,61,2019-05-03,30.737499237060547
62,62,2019-05-06,30.552499771118164
63,63,2019-05-07,29.90250015258789
64,64,2019-05-08,29.5575008392334
65,65,2019-05-09,29.302499771118164
66,66,2019-05-10,29.69750022888184
67,67,2019-05-13,29.0625
68,68,2019-05-14,30.0625
69,69,2019-05-15,30.372499465942383
70,70,2019-05-16,29.852500915527344
71,71,2019-05-17,29.51000022888184
72,72,2019-05-20,29.61750030517578
73,73,2019-05-21,29.647499084472656
74,74,2019-05-22,29.6875
75,75,2019-05-23,28.614999771118164
76,76,2019-05-24,29.74250030517578
77,77,2019-05-28,30.177499771118164
78,78,2019-05-29,29.649999618530277
79,79,2019-05-30,29.975000381469727
80,80,2019-05-31,30.325000762939453
81,81,2019-06-03,30.239999771118164
82,82,2019-06-04,31.1875
83,83,2019-06-05,30.864999771118164
84,84,2019-06-06,30.174999237060547
85,85,2019-06-07,31.4950008392334
86,86,2019-06-10,34.61000061035156
87,87,2019-06-11,34.63249969482422
88,88,2019-06-12,36.317501068115234
89,89,2019-06-13,36.58000183105469
90,90,2019-06-14,37.0099983215332
91,91,2019-06-17,37.584999084472656
92,92,2019-06-18,38.1349983215332
93,93,2019-06-19,38.44499969482422
94,94,2019-06-20,38.915000915527344
95,95,2019-06-21,37.70000076293945
96,96,2019-06-24,36.915000915527344
97,97,2019-06-25,35.880001068115234
98,98,2019-06-26,35.38249969482422
99,99,2019-06-27,36.45750045776367
100,100,2019-06-28,37.459999084472656
101,101,2019-07-01,37.85749816894531
102,102,2019-07-02,36.41749954223633
103,103,2019-07-03,35.84000015258789
104,104,2019-07-05,36.747501373291016
105,105,2019-07-08,36.40499877929688
106,106,2019-07-09,36.94499969482422
107,107,2019-07-10,37.720001220703125
108,108,2019-07-11,38.125
109,109,2019-07-12,37.29249954223633
110,110,2019-07-15,37.77750015258789
111,111,2019-07-16,37.462501525878906
112,112,2019-07-17,36.89250183105469
113,113,2019-07-18,38.34749984741211
114,114,2019-07-19,38.14500045776367
115,115,2019-07-22,38.77750015258789
116,116,2019-07-23,37.98749923706055
117,117,2019-07-24,38.2400016784668
118,118,2019-07-25,37.872501373291016
119,119,2019-07-26,38.442501068115234
120,120,2019-07-29,38.3849983215332
121,121,2019-07-30,39.09749984741211
122,122,2019-07-31,39.21749877929688
123,123,2019-08-01,37.08000183105469
124,124,2019-08-02,36.0525016784668
125,125,2019-08-05,35.532501220703125
126,126,2019-08-06,36.91249847412109
127,127,2019-08-07,36.82749938964844
128,128,2019-08-08,38.54999923706055
129,129,2019-08-09,38.86000061035156
130,130,2019-08-12,37.98249816894531
131,131,2019-08-13,39.32500076293945
132,132,2019-08-14,38.375
133,133,2019-08-15,39.63249969482422
134,134,2019-08-16,40.91999816894531
135,135,2019-08-19,40.897499084472656
136,136,2019-08-20,42.06999969482422
137,137,2019-08-21,43.29750061035156
138,138,2019-08-22,43.59249877929688
139,139,2019-08-23,43.38750076293945
140,140,2019-08-26,43.67250061035156
141,141,2019-08-27,43.75
142,142,2019-08-28,43.79750061035156
143,143,2019-08-29,43.01499938964844
144,144,2019-08-30,42.90250015258789
145,145,2019-09-03,43.06499862670898
146,146,2019-09-04,42.407501220703125
147,147,2019-09-05,41.91749954223633
148,148,2019-09-06,40.122501373291016
149,149,2019-09-09,36.34249877929688
150,150,2019-09-10,36.310001373291016
151,151,2019-09-11,36.67499923706055
152,152,2019-09-12,36.790000915527344
153,153,2019-09-13,36.56499862670898
154,154,2019-09-16,37.16999816894531
155,155,2019-09-17,38.42499923706055
156,156,2019-09-18,39.23249816894531
157,157,2019-09-19,38.747501373291016
158,158,2019-09-20,38.59999847412109
159,159,2019-09-23,38.83250045776367
160,160,2019-09-24,38.3650016784668
161,161,2019-09-25,38.43999862670898
162,162,2019-09-26,37.47249984741211
163,163,2019-09-27,37.12749862670898
164,164,2019-09-30,37.310001373291016
165,165,2019-10-01,37.212501525878906
166,166,2019-10-02,37.22249984741211
167,167,2019-10-03,39.352500915527344
168,168,2019-10-04,40.09249877929688
169,169,2019-10-07,39.86249923706055
170,170,2019-10-08,37.602500915527344
171,171,2019-10-09,38.47499847412109
172,172,2019-10-10,38.6150016784668
173,173,2019-10-11,38.837501525878906
174,174,2019-10-14,40.04499816894531
175,175,2019-10-15,38.24250030517578
176,176,2019-10-16,38.46749877929688
177,177,2019-10-17,39.16749954223633
178,178,2019-10-18,39.22999954223633
179,179,2019-10-21,39.15499877929688
180,180,2019-10-22,37.72249984741211
181,181,2019-10-23,36.6150016784668
182,182,2019-10-24,36.74250030517578
183,183,2019-10-25,36.84749984741211
184,184,2019-10-28,37.907501220703125
185,185,2019-10-29,38.709999084472656
186,186,2019-10-30,38.935001373291016
187,187,2019-10-31,38.560001373291016
188,188,2019-11-01,39.32500076293945
189,189,2019-11-04,39.6349983215332
190,190,2019-11-05,38.38999938964844
191,191,2019-11-06,38.27999877929688
192,192,2019-11-07,48.67499923706055
193,193,2019-11-08,49.52000045776367
194,194,2019-11-11,51.41999816894531
195,195,2019-11-12,51.53499984741211
196,196,2019-11-13,50.72499847412109
197,197,2019-11-14,50.70249938964844
198,198,2019-11-15,52.09249877929688
