,Unnamed: 0.1,Unnamed: 0,Date,T,T_6m,T_12m
0,0,0,2019-02-05,15.068830490112305,,
1,1,1,2019-02-06,15.03322696685791,,
2,2,2,2019-02-07,14.977286338806152,,
3,3,3,2019-02-08,15.028141021728516,,
4,4,4,2019-02-11,15.109511375427246,,
5,5,5,2019-02-12,15.160367012023926,,
6,6,6,2019-02-13,15.175623893737791,15.068830490112305,
7,7,7,2019-02-14,15.150196075439451,15.03322696685791,
8,8,8,2019-02-15,15.496026992797852,14.977286338806152,
9,9,9,2019-02-19,15.577391624450684,15.028141021728516,
10,10,10,2019-02-20,15.689271926879885,15.109511375427246,
11,11,11,2019-02-21,15.679109573364258,15.160367012023926,
12,12,12,2019-02-22,15.841845512390137,15.175623893737791,15.068830490112305
13,13,13,2019-02-25,15.831680297851562,15.150196075439451,15.03322696685791
14,14,14,2019-02-26,15.877446174621582,15.496026992797852,14.977286338806152
15,15,15,2019-02-27,15.796077728271484,15.577391624450684,15.028141021728516
16,16,16,2019-02-28,15.82659149169922,15.689271926879885,15.109511375427246
17,17,17,2019-03-01,15.67402458190918,15.679109573364258,15.160367012023926
18,18,18,2019-03-04,15.24682903289795,15.841845512390137,15.175623893737791
19,19,19,2019-03-05,15.231566429138184,15.831680297851562,15.150196075439451
20,20,20,2019-03-06,15.160367012023926,15.877446174621582,15.496026992797852
21,21,21,2019-03-07,15.216314315795898,15.796077728271484,15.577391624450684
22,22,22,2019-03-08,15.236652374267578,15.82659149169922,15.689271926879885
23,23,23,2019-03-11,15.368884086608888,15.67402458190918,15.679109573364258
24,24,24,2019-03-12,15.577391624450684,15.24682903289795,15.841845512390137
25,25,25,2019-03-13,15.399396896362305,15.231566429138184,15.831680297851562
26,26,26,2019-03-14,15.399396896362305,15.160367012023926,15.877446174621582
27,27,27,2019-03-15,15.597738265991213,15.216314315795898,15.796077728271484
28,28,28,2019-03-18,15.663848876953123,15.236652374267578,15.82659149169922
29,29,29,2019-03-19,15.60282039642334,15.368884086608888,15.67402458190918
30,30,30,2019-03-20,15.516366004943848,15.577391624450684,15.24682903289795
31,31,31,2019-03-21,15.796077728271484,15.399396896362305,15.231566429138184
32,32,32,2019-03-22,15.801166534423828,15.399396896362305,15.160367012023926
33,33,33,2019-03-25,15.648592948913574,15.597738265991213,15.216314315795898
34,34,34,2019-03-26,15.963906288146973,15.663848876953123,15.236652374267578
35,35,35,2019-03-27,15.968989372253418,15.60282039642334,15.368884086608888
36,36,36,2019-03-28,15.770649909973145,15.516366004943848,15.577391624450684
37,37,37,2019-03-29,15.948650360107422,15.796077728271484,15.399396896362305
38,38,38,2019-04-01,16.248703002929688,15.801166534423828,15.399396896362305
39,39,39,2019-04-02,16.085960388183594,15.648592948913574,15.597738265991213
40,40,40,2019-04-03,16.2080135345459,15.963906288146973,15.663848876953123
41,41,41,2019-04-04,16.263959884643555,15.968989372253418,15.60282039642334
42,42,42,2019-04-05,16.452125549316406,15.770649909973145,15.516366004943848
43,43,43,2019-04-08,16.472471237182617,15.948650360107422,15.796077728271484
44,44,44,2019-04-09,16.49077796936035,16.248703002929688,15.801166534423828
45,45,45,2019-04-10,16.55829429626465,16.085960388183594,15.648592948913574
46,46,46,2019-04-11,16.724506378173828,16.2080135345459,15.963906288146973
47,47,47,2019-04-12,16.724506378173828,16.263959884643555,15.968989372253418
48,48,48,2019-04-15,16.631011962890625,16.452125549316406,15.770649909973145
49,49,49,2019-04-16,16.750469207763672,16.472471237182617,15.948650360107422
50,50,50,2019-04-17,16.594654083251953,16.49077796936035,16.248703002929688
51,51,51,2019-04-18,16.636207580566406,16.55829429626465,16.085960388183594
52,52,52,2019-04-22,16.662174224853516,16.724506378173828,16.2080135345459
53,53,53,2019-04-23,16.672565460205078,16.724506378173828,16.263959884643555
54,54,54,2019-04-24,15.992158889770508,16.631011962890625,16.452125549316406
55,55,55,2019-04-25,15.758427619934082,16.750469207763672,16.472471237182617
56,56,56,2019-04-26,15.935022354125977,16.594654083251953,16.49077796936035
57,57,57,2019-04-29,16.038902282714844,16.636207580566406,16.55829429626465
58,58,58,2019-04-30,16.080455780029297,16.662174224853516,16.724506378173828
59,59,59,2019-05-01,15.992158889770508,16.672565460205078,16.724506378173828
60,60,60,2019-05-02,15.903857231140137,15.992158889770508,16.631011962890625
61,61,61,2019-05-03,15.945409774780272,15.758427619934082,16.750469207763672
62,62,62,2019-05-06,15.888278007507324,15.935022354125977,16.594654083251953
63,63,63,2019-05-07,15.85711669921875,16.038902282714844,16.636207580566406
64,64,64,2019-05-08,15.737655639648438,16.080455780029297,16.662174224853516
65,65,65,2019-05-09,15.77920627593994,15.992158889770508,16.672565460205078
66,66,66,2019-05-10,15.903857231140137,15.903857231140137,15.992158889770508
67,67,67,2019-05-13,15.825952529907228,15.945409774780272,15.758427619934082
68,68,68,2019-05-14,16.147974014282227,15.888278007507324,15.935022354125977
69,69,69,2019-05-15,16.2310791015625,15.85711669921875,16.038902282714844
70,70,70,2019-05-16,16.423255920410156,15.737655639648438,16.080455780029297
71,71,71,2019-05-17,16.51674461364746,15.77920627593994,15.992158889770508
72,72,72,2019-05-20,16.719310760498047,15.903857231140137,15.903857231140137
73,73,73,2019-05-21,16.83357810974121,15.825952529907228,15.945409774780272
74,74,74,2019-05-22,16.766054153442383,16.147974014282227,15.888278007507324
75,75,75,2019-05-23,16.693334579467773,16.2310791015625,15.85711669921875
76,76,76,2019-05-24,16.7608585357666,16.423255920410156,15.737655639648438
77,77,77,2019-05-28,16.584266662597656,16.51674461364746,15.77920627593994
78,78,78,2019-05-29,16.573877334594727,16.719310760498047,15.903857231140137
79,79,79,2019-05-30,16.54791259765625,16.83357810974121,15.825952529907228
80,80,80,2019-05-31,15.88308334350586,16.766054153442383,16.147974014282227
81,81,81,2019-06-03,16.147974014282227,16.693334579467773,16.2310791015625
82,82,82,2019-06-04,16.350540161132812,16.7608585357666,16.423255920410156
83,83,83,2019-06-05,16.454416275024414,16.584266662597656,16.51674461364746
84,84,84,2019-06-06,16.672565460205078,16.573877334594727,16.719310760498047
85,85,85,2019-06-07,16.875125885009766,16.54791259765625,16.83357810974121
86,86,86,2019-06-10,16.584266662597656,15.88308334350586,16.766054153442383
87,87,87,2019-06-11,16.677757263183594,16.147974014282227,16.693334579467773
88,88,88,2019-06-12,16.714113235473633,16.350540161132812,16.7608585357666
89,89,89,2019-06-13,16.771249771118164,16.454416275024414,16.584266662597656
90,90,90,2019-06-14,16.802412033081055,16.672565460205078,16.573877334594727
91,91,91,2019-06-17,16.776437759399414,16.875125885009766,16.54791259765625
92,92,92,2019-06-18,16.84916114807129,16.584266662597656,15.88308334350586
93,93,93,2019-06-19,16.83357810974121,16.677757263183594,16.147974014282227
94,94,94,2019-06-20,16.901100158691406,16.714113235473633,16.350540161132812
95,95,95,2019-06-21,16.854351043701172,16.771249771118164,16.454416275024414
96,96,96,2019-06-24,16.921873092651367,16.802412033081055,16.672565460205078
97,97,97,2019-06-25,16.906291961669922,16.776437759399414,16.875125885009766
98,98,98,2019-06-26,16.89590072631836,16.84916114807129,16.584266662597656
99,99,99,2019-06-27,17.129629135131836,16.83357810974121,16.677757263183594
100,100,100,2019-06-28,17.404909133911133,16.901100158691406,16.714113235473633
101,101,101,2019-07-01,17.363359451293945,16.854351043701172,16.771249771118164
102,102,102,2019-07-02,17.576309204101562,16.921873092651367,16.802412033081055
103,103,103,2019-07-03,17.64902687072754,16.906291961669922,16.776437759399414
104,104,104,2019-07-05,17.815229415893555,16.89590072631836,16.84916114807129
105,105,105,2019-07-08,17.789262771606445,17.129629135131836,16.83357810974121
106,106,106,2019-07-09,17.770843505859375,17.404909133911133,16.901100158691406
107,107,107,2019-07-10,17.88741111755371,17.363359451293945,16.854351043701172
108,108,108,2019-07-11,17.728458404541016,17.576309204101562,16.921873092651367
109,109,109,2019-07-12,17.829126358032227,17.64902687072754,16.906291961669922
110,110,110,2019-07-15,17.860916137695312,17.815229415893555,16.89590072631836
111,111,111,2019-07-16,17.792036056518555,17.789262771606445,17.129629135131836
112,112,112,2019-07-17,17.622488021850586,17.770843505859375,17.404909133911133
113,113,113,2019-07-18,17.53241539001465,17.88741111755371,17.363359451293945
114,114,114,2019-07-19,17.373464584350586,17.728458404541016,17.576309204101562
115,115,115,2019-07-22,17.023767471313477,17.829126358032227,17.64902687072754
116,116,116,2019-07-23,17.00257682800293,17.860916137695312,17.815229415893555
117,117,117,2019-07-24,17.611892700195312,17.792036056518555,17.789262771606445
118,118,118,2019-07-25,17.913902282714844,17.622488021850586,17.770843505859375
119,119,119,2019-07-26,18.09404945373535,17.53241539001465,17.88741111755371
120,120,120,2019-07-29,18.19471740722656,17.373464584350586,17.728458404541016
121,121,121,2019-07-30,18.109941482543945,17.023767471313477,17.829126358032227
122,122,122,2019-07-31,18.041059494018555,17.00257682800293,17.860916137695312
123,123,123,2019-08-01,18.078149795532227,17.611892700195312,17.792036056518555
124,124,124,2019-08-02,18.10464096069336,17.913902282714844,17.622488021850586
125,125,125,2019-08-05,17.744354248046875,18.09404945373535,17.53241539001465
126,126,126,2019-08-06,17.993379592895508,18.19471740722656,17.373464584350586
127,127,127,2019-08-07,18.046361923217773,18.109941482543945,17.023767471313477
128,128,128,2019-08-08,18.300683975219727,18.041059494018555,17.00257682800293
129,129,129,2019-08-09,18.300683975219727,18.078149795532227,17.611892700195312
130,130,130,2019-08-12,18.268892288208008,18.10464096069336,17.913902282714844
131,131,131,2019-08-13,18.47023200988769,17.744354248046875,18.09404945373535
132,132,132,2019-08-14,18.06225776672364,17.993379592895508,18.19471740722656
133,133,133,2019-08-15,18.19471740722656,18.046361923217773,18.109941482543945
134,134,134,2019-08-16,18.52851867675781,18.300683975219727,18.041059494018555
135,135,135,2019-08-19,18.74574851989746,18.300683975219727,18.078149795532227
136,136,136,2019-08-20,18.533815383911133,18.268892288208008,18.10464096069336
137,137,137,2019-08-21,18.62918281555176,18.47023200988769,17.744354248046875
138,138,138,2019-08-22,18.751049041748047,18.06225776672364,17.993379592895508
139,139,139,2019-08-23,18.44904136657715,18.19471740722656,18.046361923217773
140,140,140,2019-08-26,18.507322311401367,18.52851867675781,18.300683975219727
141,141,141,2019-08-27,18.39605712890625,18.74574851989746,18.300683975219727
142,142,142,2019-08-28,18.523218154907227,18.533815383911133,18.268892288208008
143,143,143,2019-08-29,18.623884201049805,18.62918281555176,18.47023200988769
144,144,144,2019-08-30,18.682167053222656,18.751049041748047,18.06225776672364
145,145,145,2019-09-03,18.74574851989746,18.44904136657715,18.19471740722656
146,146,146,2019-09-04,18.925893783569336,18.507322311401367,18.52851867675781
147,147,147,2019-09-05,19.015968322753903,18.39605712890625,18.74574851989746
148,148,148,2019-09-06,19.20671272277832,18.523218154907227,18.533815383911133
149,149,149,2019-09-09,19.492822647094727,18.623884201049805,18.62918281555176
150,150,150,2019-09-10,19.9113998413086,18.682167053222656,18.751049041748047
151,151,151,2019-09-11,20.526012420654297,18.74574851989746,18.44904136657715
152,152,152,2019-09-12,20.335268020629883,18.925893783569336,18.507322311401367
153,153,153,2019-09-13,20.08624649047852,19.015968322753903,18.39605712890625
154,154,154,2019-09-16,19.768341064453125,19.20671272277832,18.523218154907227
155,155,155,2019-09-17,19.688865661621094,19.492822647094727,18.623884201049805
156,156,156,2019-09-18,19.47693252563477,19.9113998413086,18.682167053222656
157,157,157,2019-09-19,19.683565139770508,20.526012420654297,18.74574851989746
158,158,158,2019-09-20,20.08624649047852,20.335268020629883,18.925893783569336
159,159,159,2019-09-23,19.9219970703125,20.08624649047852,19.015968322753903
160,160,160,2019-09-24,19.80543327331543,19.768341064453125,19.20671272277832
161,161,161,2019-09-25,19.80543327331543,19.688865661621094,19.492822647094727
162,162,162,2019-09-26,19.80543327331543,19.47693252563477,19.9113998413086
163,163,163,2019-09-27,19.831918716430664,19.683565139770508,20.526012420654297
164,164,164,2019-09-30,20.049156188964844,20.08624649047852,20.335268020629883
165,165,165,2019-10-01,19.821327209472656,19.9219970703125,20.08624649047852
166,166,166,2019-10-02,19.64648056030273,19.80543327331543,19.768341064453125
167,167,167,2019-10-03,19.704763412475582,19.80543327331543,19.688865661621094
168,168,168,2019-10-04,19.87430953979492,19.80543327331543,19.47693252563477
169,169,169,2019-10-07,19.953786849975582,19.831918716430664,19.683565139770508
170,170,170,2019-10-08,19.8584213256836,20.049156188964844,20.08624649047852
171,171,171,2019-10-09,19.9907341003418,19.821327209472656,19.9219970703125
