,Unnamed: 0,Date,TGT
0,0,2019-02-05,64.68385314941406
1,1,2019-02-06,64.45272827148438
2,2,2019-02-07,63.87496566772461
3,3,2019-02-08,63.003868103027344
4,4,2019-02-11,62.35498809814453
5,5,2019-02-12,62.58610534667969
6,6,2019-02-13,64.50606536865234
7,7,2019-02-14,64.15939331054688
8,8,2019-02-15,64.74604797363281
9,9,2019-02-19,65.73249053955078
10,10,2019-02-20,65.20339965820312
11,11,2019-02-21,64.59362030029297
12,12,2019-02-22,64.79090881347656
13,13,2019-02-25,65.55313873291016
14,14,2019-02-26,64.82677459716797
15,15,2019-02-27,65.48140716552734
16,16,2019-02-28,65.1406478881836
17,17,2019-03-01,65.40967559814453
18,18,2019-03-04,65.16754913330078
19,19,2019-03-05,68.15377044677734
20,20,2019-03-06,68.96082305908203
21,21,2019-03-07,68.30621337890625
22,22,2019-03-08,67.98335266113281
23,23,2019-03-11,68.39586639404297
24,24,2019-03-12,68.31517028808594
25,25,2019-03-13,69.15814208984375
26,26,2019-03-14,68.59317779541016
27,27,2019-03-15,68.74562072753906
28,28,2019-03-18,69.83966064453125
29,29,2019-03-19,70.35977935791016
30,30,2019-03-20,69.5347671508789
31,31,2019-03-21,71.28345489501953
32,32,2019-03-22,70.23424530029297
33,33,2019-03-25,70.42256164550781
34,34,2019-03-26,71.40899658203125
35,35,2019-03-27,71.57937622070312
36,36,2019-03-28,72.02775573730469
37,37,2019-03-29,71.97396850585938
38,38,2019-04-01,71.71389770507812
39,39,2019-04-02,71.25655364990234
40,40,2019-04-03,71.12203979492188
41,41,2019-04-04,72.97833251953125
42,42,2019-04-05,72.58375549316406
43,43,2019-04-08,73.47154235839844
44,44,2019-04-09,72.3326644897461
45,45,2019-04-10,72.4133529663086
46,46,2019-04-11,72.14434814453125
47,47,2019-04-12,72.39543914794922
48,48,2019-04-15,73.51639556884766
49,49,2019-04-16,73.50741577148438
50,50,2019-04-17,74.14411163330078
51,51,2019-04-18,74.66425323486328
52,52,2019-04-22,73.55224609375
53,53,2019-04-23,73.67781066894531
54,54,2019-04-24,74.32345581054688
55,55,2019-04-25,73.30116271972656
56,56,2019-04-26,69.15814208984375
57,57,2019-04-29,69.76791381835938
58,58,2019-04-30,69.42716217041016
59,59,2019-05-01,67.85781860351562
60,60,2019-05-02,68.53040313720703
61,61,2019-05-03,68.09994506835938
62,62,2019-05-06,68.13581848144531
63,63,2019-05-07,67.29288482666016
64,64,2019-05-08,67.62466430664062
65,65,2019-05-09,67.35565185546875
66,66,2019-05-10,66.93418884277344
67,67,2019-05-13,64.27975463867188
68,68,2019-05-14,64.47881317138672
69,69,2019-05-15,64.07164764404297
70,70,2019-05-16,64.04449462890625
71,71,2019-05-17,64.14402770996094
72,72,2019-05-20,65.22078704833984
73,73,2019-05-21,65.11219024658203
74,74,2019-05-22,70.1792984008789
75,75,2019-05-23,71.84420776367188
76,76,2019-05-24,73.80770874023438
77,77,2019-05-28,73.08384704589844
78,78,2019-05-29,72.06135559082031
79,79,2019-05-30,72.7400131225586
80,80,2019-05-31,72.79429626464844
81,81,2019-06-03,75.056396484375
82,82,2019-06-04,77.680419921875
83,83,2019-06-05,77.35468292236328
84,84,2019-06-06,77.54469299316406
85,85,2019-06-07,78.58526611328125
86,86,2019-06-10,79.21865844726562
87,87,2019-06-11,79.4900894165039
88,88,2019-06-12,79.861083984375
89,89,2019-06-13,79.89727783203125
90,90,2019-06-14,79.4358139038086
91,91,2019-06-17,78.84764862060547
92,92,2019-06-18,78.24143981933594
93,93,2019-06-19,77.96092224121094
94,94,2019-06-20,78.00616455078125
95,95,2019-06-21,79.26387786865234
96,96,2019-06-24,78.4676284790039
97,97,2019-06-25,77.54469299316406
98,98,2019-06-26,77.4451675415039
99,99,2019-06-27,77.6985092163086
100,100,2019-06-28,78.36808776855469
101,101,2019-07-01,78.66667938232422
102,102,2019-07-02,78.75717163085938
103,103,2019-07-03,79.53533172607422
104,104,2019-07-05,80.20491027832031
105,105,2019-07-08,80.44923400878906
106,106,2019-07-09,79.44486236572266
107,107,2019-07-10,77.680419921875
108,108,2019-07-11,78.24143981933594
109,109,2019-07-12,79.20054626464844
110,110,2019-07-15,78.54002380371094
111,111,2019-07-16,79.90631103515625
112,112,2019-07-17,79.49915313720703
113,113,2019-07-18,80.0782470703125
114,114,2019-07-19,79.63485717773438
115,115,2019-07-22,78.92003631591797
116,116,2019-07-23,80.11442565917969
117,117,2019-07-24,80.6120834350586
118,118,2019-07-25,79.59868621826172
119,119,2019-07-26,78.77527618408203
120,120,2019-07-29,78.9291000366211
121,121,2019-07-30,78.61239624023438
122,122,2019-07-31,78.17809295654297
123,123,2019-08-01,74.75780487060547
124,124,2019-08-02,73.76246643066406
125,125,2019-08-05,73.1019287109375
126,126,2019-08-06,74.89352416992188
127,127,2019-08-07,75.11066436767578
128,128,2019-08-08,75.82550048828125
129,129,2019-08-09,74.56778717041016
130,130,2019-08-12,74.22393035888672
131,131,2019-08-13,76.22362518310547
132,132,2019-08-14,74.09724426269531
133,133,2019-08-15,74.70350646972656
134,134,2019-08-16,76.19647216796875
135,135,2019-08-19,78.3409652709961
136,136,2019-08-20,77.9853286743164
137,137,2019-08-21,93.91431427001952
138,138,2019-08-22,96.94144439697266
139,139,2019-08-23,94.36107635498048
140,140,2019-08-26,95.5281982421875
141,141,2019-08-27,95.46436309814452
142,142,2019-08-28,97.01438903808594
143,143,2019-08-29,98.409423828125
144,144,2019-08-30,97.5979461669922
145,145,2019-09-03,97.29705810546876
146,146,2019-09-04,97.88971710205078
147,147,2019-09-05,98.9656219482422
148,148,2019-09-06,100.16006469726562
149,149,2019-09-09,98.42767333984376
150,150,2019-09-10,99.23004913330078
151,151,2019-09-11,99.35769653320312
152,152,2019-09-12,99.33036041259766
153,153,2019-09-13,98.46414947509766
154,154,2019-09-16,97.5250015258789
155,155,2019-09-17,97.81678009033205
156,156,2019-09-18,97.53411865234376
157,157,2019-09-19,98.354736328125
158,158,2019-09-20,97.26057434082033
159,159,2019-09-23,99.18446350097656
160,160,2019-09-24,97.97177124023438
161,161,2019-09-25,97.3791275024414
162,162,2019-09-26,96.9140853881836
163,163,2019-09-27,96.75910186767578
164,164,2019-09-30,97.47941589355467
165,165,2019-10-01,96.59497833251952
166,166,2019-10-02,95.88378143310548
167,167,2019-10-03,97.2149887084961
168,168,2019-10-04,99.47623443603516
169,169,2019-10-07,98.42767333984376
170,170,2019-10-08,98.94740295410156
171,171,2019-10-09,100.62508392333984
172,172,2019-10-10,100.81655883789062
173,173,2019-10-11,101.96541595458984
174,174,2019-10-14,101.34540557861328
175,175,2019-10-15,102.0201187133789
176,176,2019-10-16,102.2936553955078
177,177,2019-10-17,103.24192810058594
178,178,2019-10-18,102.85896301269533
179,179,2019-10-21,103.65223693847656
180,180,2019-10-22,103.20545196533205
181,181,2019-10-23,101.53689575195312
182,182,2019-10-24,100.52479553222656
183,183,2019-10-25,99.4032974243164
184,184,2019-10-28,100.0415496826172
185,185,2019-10-29,98.61003875732422
186,186,2019-10-30,98.409423828125
187,187,2019-10-31,97.47941589355467
188,188,2019-11-01,98.30914306640624
189,189,2019-11-04,99.1753158569336
190,190,2019-11-05,100.35154724121094
191,191,2019-11-06,100.76185607910156
192,192,2019-11-07,100.83478546142578
193,193,2019-11-08,100.4336166381836
194,194,2019-11-11,100.70714569091795
195,195,2019-11-12,98.79238891601562
196,196,2019-11-13,99.00211334228516
197,197,2019-11-14,101.30892181396484
198,198,2019-11-15,103.22369384765624
199,199,2019-11-18,102.0839614868164
200,200,2019-11-19,101.67120361328124
201,201,2019-11-20,115.96112060546876
202,202,2019-11-21,117.08011627197266
203,203,2019-11-22,116.50227355957033
204,204,2019-11-25,114.82380676269533
205,205,2019-11-26,116.38304901123048
206,206,2019-11-27,115.47500610351562
207,207,2019-11-29,114.65872192382812
208,208,2019-12-02,113.7139892578125
209,209,2019-12-03,113.76903533935548
210,210,2019-12-04,114.20928192138672
211,211,2019-12-05,114.35604095458984
212,212,2019-12-06,114.67706298828124
213,213,2019-12-09,115.97945404052734
214,214,2019-12-10,115.35576629638672
215,215,2019-12-11,115.38330841064452
216,216,2019-12-12,116.96086883544922
217,217,2019-12-13,116.68572235107422
218,218,2019-12-16,115.53004455566406
219,219,2019-12-17,117.74966430664062
220,220,2019-12-18,117.47451782226562
221,221,2019-12-19,118.04318237304688
222,222,2019-12-20,118.45590209960938
223,223,2019-12-23,117.71297454833984
224,224,2019-12-24,117.90557861328124
225,225,2019-12-26,118.21742248535156
226,226,2019-12-27,118.5109405517578
227,227,2019-12-30,118.21742248535156
228,228,2019-12-31,117.59375762939452
229,229,2020-01-02,115.63092803955078
230,230,2020-01-03,114.42941284179688
231,231,2020-01-06,113.34712982177734
232,232,2020-01-07,113.54891967773438
233,233,2020-01-08,113.1820297241211
234,234,2020-01-09,113.27375030517578
235,235,2020-01-10,114.40189361572266
236,236,2020-01-13,113.61309814453124
237,237,2020-01-14,114.88800048828124
238,238,2020-01-15,107.31197357177734
239,239,2020-01-16,106.6882781982422
240,240,2020-01-17,107.23857879638672
241,241,2020-01-21,104.5970687866211
242,242,2020-01-22,104.46867370605467
243,243,2020-01-23,105.96369171142578
244,244,2020-01-24,104.85388946533205
245,245,2020-01-27,106.19300079345705
246,246,2020-01-28,105.88114166259766
247,247,2020-01-29,104.80802154541016
248,248,2020-01-30,105.1749038696289
249,249,2020-01-31,101.57032012939452
250,250,2020-02-03,103.19375610351562
251,251,2020-02-04,103.87247467041016
252,252,2020-02-05,105.96369171142578
253,253,2020-02-06,105.60598754882812
254,254,2020-02-07,106.0370635986328
255,255,2020-02-10,107.29361724853516
256,256,2020-02-11,107.0276336669922
257,257,2020-02-12,108.33006286621094
258,258,2020-02-13,108.48596954345705
259,259,2020-02-14,106.97260284423828
260,260,2020-02-18,108.68830108642578
261,261,2020-02-19,108.28244018554688
262,262,2020-02-20,109.0849380493164
263,263,2020-02-21,107.93192291259766
