,Unnamed: 0,Date,HSIC
0,0,2019-02-05,62.48627471923828
1,1,2019-02-06,63.3411750793457
2,2,2019-02-07,62.50196075439453
3,3,2019-02-08,59.150001525878906
4,4,2019-02-11,60.38999938964844
5,5,2019-02-12,61.0099983215332
6,6,2019-02-13,62.09000015258789
7,7,2019-02-14,62.369998931884766
8,8,2019-02-15,62.38999938964844
9,9,2019-02-19,63.11000061035156
10,10,2019-02-20,60.16999816894531
11,11,2019-02-21,59.97999954223633
12,12,2019-02-22,59.93999862670898
13,13,2019-02-25,59.83000183105469
14,14,2019-02-26,58.4900016784668
15,15,2019-02-27,58.400001525878906
16,16,2019-02-28,59.29999923706055
17,17,2019-03-01,60.06999969482422
18,18,2019-03-04,59.7599983215332
19,19,2019-03-05,58.869998931884766
20,20,2019-03-06,57.70000076293945
21,21,2019-03-07,57.400001525878906
22,22,2019-03-08,58.56999969482422
23,23,2019-03-11,59.93000030517578
24,24,2019-03-12,59.709999084472656
25,25,2019-03-13,60.150001525878906
26,26,2019-03-14,59.09999847412109
27,27,2019-03-15,59.290000915527344
28,28,2019-03-18,59.77999877929688
29,29,2019-03-19,60.5
30,30,2019-03-20,60.119998931884766
31,31,2019-03-21,61.220001220703125
32,32,2019-03-22,59.79999923706055
33,33,2019-03-25,58.869998931884766
34,34,2019-03-26,59.34000015258789
35,35,2019-03-27,58.790000915527344
36,36,2019-03-28,58.88999938964844
37,37,2019-03-29,60.11000061035156
38,38,2019-04-01,60.9900016784668
39,39,2019-04-02,60.66999816894531
40,40,2019-04-03,60.560001373291016
41,41,2019-04-04,61.36000061035156
42,42,2019-04-05,62.72999954223633
43,43,2019-04-08,61.630001068115234
44,44,2019-04-09,61.9900016784668
45,45,2019-04-10,61.84000015258789
46,46,2019-04-11,60.93000030517578
47,47,2019-04-12,61.77999877929688
48,48,2019-04-15,61.88999938964844
49,49,2019-04-16,61.33000183105469
50,50,2019-04-17,60.72999954223633
51,51,2019-04-18,61.5
52,52,2019-04-22,61.400001525878906
53,53,2019-04-23,63.2599983215332
54,54,2019-04-24,64.18000030517578
55,55,2019-04-25,63.81999969482422
56,56,2019-04-26,64.47000122070312
57,57,2019-04-29,63.4900016784668
