,Unnamed: 0,Date,AMD
0,0,2019-02-05,23.309999465942383
1,1,2019-02-06,23.26000022888184
2,2,2019-02-07,22.670000076293945
3,3,2019-02-08,23.049999237060547
4,4,2019-02-11,22.959999084472656
5,5,2019-02-12,22.81999969482422
6,6,2019-02-13,22.850000381469727
7,7,2019-02-14,23.1299991607666
8,8,2019-02-15,23.68000030517578
9,9,2019-02-19,23.950000762939453
10,10,2019-02-20,23.950000762939453
11,11,2019-02-21,23.920000076293945
12,12,2019-02-22,24.36000061035156
13,13,2019-02-25,24.709999084472656
14,14,2019-02-26,24.209999084472656
15,15,2019-02-27,23.479999542236328
16,16,2019-02-28,23.530000686645508
17,17,2019-03-01,23.68000030517578
18,18,2019-03-04,23.3700008392334
19,19,2019-03-05,23.5
20,20,2019-03-06,22.40999984741211
21,21,2019-03-07,22.07999992370605
22,22,2019-03-08,22.01000022888184
23,23,2019-03-11,22.959999084472656
24,24,2019-03-12,23.489999771118164
25,25,2019-03-13,23.3799991607666
26,26,2019-03-14,22.81999969482422
27,27,2019-03-15,23.290000915527344
28,28,2019-03-18,23.25
29,29,2019-03-19,26.0
30,30,2019-03-20,25.700000762939453
31,31,2019-03-21,27.88999938964844
32,32,2019-03-22,26.3700008392334
33,33,2019-03-25,25.96999931335449
34,34,2019-03-26,25.690000534057617
35,35,2019-03-27,24.88999938964844
36,36,2019-03-28,25.059999465942383
37,37,2019-03-29,25.520000457763672
38,38,2019-04-01,26.36000061035156
39,39,2019-04-02,26.75
40,40,2019-04-03,29.020000457763672
41,41,2019-04-04,29.09000015258789
42,42,2019-04-05,28.979999542236328
43,43,2019-04-08,28.530000686645508
44,44,2019-04-09,27.239999771118164
45,45,2019-04-10,27.82999992370605
46,46,2019-04-11,27.790000915527344
47,47,2019-04-12,27.850000381469727
48,48,2019-04-15,27.32999992370605
49,49,2019-04-16,27.93000030517578
50,50,2019-04-17,27.489999771118164
51,51,2019-04-18,27.68000030517578
52,52,2019-04-22,28.18000030517578
53,53,2019-04-23,27.96999931335449
54,54,2019-04-24,28.459999084472656
55,55,2019-04-25,27.65999984741211
56,56,2019-04-26,27.8799991607666
57,57,2019-04-29,27.690000534057617
58,58,2019-04-30,27.6299991607666
59,59,2019-05-01,26.809999465942383
60,60,2019-05-02,28.290000915527344
61,61,2019-05-03,28.21999931335449
62,62,2019-05-06,27.420000076293945
63,63,2019-05-07,26.65999984741211
64,64,2019-05-08,27.09000015258789
65,65,2019-05-09,27.209999084472656
66,66,2019-05-10,27.959999084472656
67,67,2019-05-13,26.239999771118164
68,68,2019-05-14,27.31999969482422
69,69,2019-05-15,27.57999992370605
70,70,2019-05-16,28.01000022888184
71,71,2019-05-17,27.5
72,72,2019-05-20,26.68000030517578
73,73,2019-05-21,27.350000381469727
74,74,2019-05-22,27.40999984741211
75,75,2019-05-23,26.36000061035156
76,76,2019-05-24,26.440000534057617
77,77,2019-05-28,29.049999237060547
78,78,2019-05-29,28.09000015258789
79,79,2019-05-30,28.030000686645508
80,80,2019-05-31,27.40999984741211
81,81,2019-06-03,27.57999992370605
82,82,2019-06-04,29.56999969482422
83,83,2019-06-05,29.5
84,84,2019-06-06,31.81999969482422
85,85,2019-06-07,32.40999984741211
86,86,2019-06-10,33.22999954223633
87,87,2019-06-11,32.40999984741211
88,88,2019-06-12,32.18000030517578
89,89,2019-06-13,31.38999938964844
90,90,2019-06-14,30.36000061035156
91,91,2019-06-17,29.200000762939453
92,92,2019-06-18,30.450000762939453
93,93,2019-06-19,30.5
94,94,2019-06-20,30.01000022888184
95,95,2019-06-21,29.100000381469727
96,96,2019-06-24,29.26000022888184
97,97,2019-06-25,28.86000061035156
98,98,2019-06-26,29.920000076293945
99,99,2019-06-27,30.739999771118164
100,100,2019-06-28,30.3700008392334
101,101,2019-07-01,31.200000762939453
102,102,2019-07-02,31.239999771118164
103,103,2019-07-03,31.190000534057617
104,104,2019-07-05,31.5
105,105,2019-07-08,32.040000915527344
106,106,2019-07-09,33.150001525878906
107,107,2019-07-10,33.790000915527344
108,108,2019-07-11,33.060001373291016
109,109,2019-07-12,33.209999084472656
110,110,2019-07-15,34.38999938964844
111,111,2019-07-16,33.849998474121094
112,112,2019-07-17,33.599998474121094
113,113,2019-07-18,33.0
114,114,2019-07-19,32.5099983215332
115,115,2019-07-22,32.849998474121094
116,116,2019-07-23,33.4900016784668
117,117,2019-07-24,34.11000061035156
118,118,2019-07-25,33.66999816894531
119,119,2019-07-26,34.02000045776367
120,120,2019-07-29,33.47999954223633
121,121,2019-07-30,33.869998931884766
122,122,2019-07-31,30.450000762939453
123,123,2019-08-01,29.86000061035156
124,124,2019-08-02,29.440000534057617
125,125,2019-08-05,27.989999771118164
126,126,2019-08-06,28.86000061035156
127,127,2019-08-07,29.190000534057617
128,128,2019-08-08,33.91999816894531
129,129,2019-08-09,34.189998626708984
130,130,2019-08-12,32.43000030517578
131,131,2019-08-13,32.11000061035156
132,132,2019-08-14,30.239999771118164
133,133,2019-08-15,29.670000076293945
134,134,2019-08-16,31.18000030517578
135,135,2019-08-19,31.479999542236328
136,136,2019-08-20,30.71999931335449
137,137,2019-08-21,31.700000762939453
138,138,2019-08-22,31.899999618530277
139,139,2019-08-23,29.540000915527344
140,140,2019-08-26,30.280000686645508
141,141,2019-08-27,30.200000762939453
142,142,2019-08-28,30.780000686645508
143,143,2019-08-29,31.450000762939453
144,144,2019-08-30,31.450000762939453
145,145,2019-09-03,30.899999618530277
146,146,2019-09-04,30.950000762939453
147,147,2019-09-05,31.5
148,148,2019-09-06,30.559999465942383
149,149,2019-09-09,30.5
150,150,2019-09-10,30.229999542236328
151,151,2019-09-11,29.76000022888184
152,152,2019-09-12,30.209999084472656
153,153,2019-09-13,30.690000534057617
154,154,2019-09-16,30.82999992370605
155,155,2019-09-17,30.989999771118164
156,156,2019-09-18,30.420000076293945
157,157,2019-09-19,30.290000915527344
