,Unnamed: 0,Date,VLTO
0,0,2023-10-04,77.71586608886719
1,1,2023-10-05,74.3694839477539
2,2,2023-10-06,77.89566802978516
3,3,2023-10-09,74.52931213378906
4,4,2023-10-10,74.91889190673828
5,5,2023-10-11,74.38946533203125
6,6,2023-10-12,74.14972686767578
7,7,2023-10-13,71.77229309082031
8,8,2023-10-16,74.12974548339844
9,9,2023-10-17,74.39945220947266
10,10,2023-10-18,72.37164306640625
11,11,2023-10-19,70.21398162841797
12,12,2023-10-20,69.8543701171875
13,13,2023-10-23,71.8222427368164
14,14,2023-10-24,71.93212890625
15,15,2023-10-25,70.71344757080078
16,16,2023-10-26,69.92430114746094
17,17,2023-10-27,67.91646575927734
18,18,2023-10-30,68.28607177734375
19,19,2023-10-31,68.92537689208984
20,20,2023-11-01,67.4369888305664
21,21,2023-11-02,70.20399475097656
22,22,2023-11-03,70.72343444824219
23,23,2023-11-06,68.1861801147461
24,24,2023-11-07,69.99422454833984
25,25,2023-11-08,69.72451782226562
26,26,2023-11-09,69.55469512939453
27,27,2023-11-10,70.47370910644531
28,28,2023-11-13,72.90107727050781
29,29,2023-11-14,73.55036926269531
30,30,2023-11-15,73.83007049560547
31,31,2023-11-16,70.8033447265625
32,32,2023-11-17,70.91322326660156
33,33,2023-11-20,70.68347930908203
34,34,2023-11-21,72.23179626464844
35,35,2023-11-22,72.86112213134766
36,36,2023-11-24,73.92996215820312
37,37,2023-11-27,73.4205093383789
38,38,2023-11-28,73.24070739746094
39,39,2023-11-29,74.13973236083984
40,40,2023-11-30,77.16645812988281
41,41,2023-12-01,76.42726135253906
42,42,2023-12-04,75.69804382324219
43,43,2023-12-05,75.46829986572266
44,44,2023-12-06,75.74799346923828
45,45,2023-12-07,74.54928588867188
46,46,2023-12-08,75.34842681884766
47,47,2023-12-11,76.73692321777344
48,48,2023-12-12,77.3662338256836
49,49,2023-12-13,77.65592193603516
50,50,2023-12-14,79.24420928955078
51,51,2023-12-15,78.76472473144531
52,52,2023-12-18,80.75257110595703
53,53,2023-12-19,83.34976196289062
54,54,2023-12-20,80.55278778076172
55,55,2023-12-21,81.03227233886719
56,56,2023-12-22,81.55171203613281
57,57,2023-12-26,82.04117584228516
58,58,2023-12-27,83.1300048828125
59,59,2023-12-28,83.04000091552734
60,60,2023-12-29,82.26000213623047
61,61,2024-01-02,81.0199966430664
62,62,2024-01-03,78.05000305175781
63,63,2024-01-04,76.61000061035156
64,64,2024-01-05,76.9000015258789
65,65,2024-01-08,77.51000213623047
66,66,2024-01-09,76.73999786376953
67,67,2024-01-10,76.43000030517578
68,68,2024-01-11,76.08000183105469
69,69,2024-01-12,75.76000213623047
70,70,2024-01-16,74.55000305175781
71,71,2024-01-17,75.87999725341797
72,72,2024-01-18,76.01000213623047
73,73,2024-01-19,77.55000305175781
74,74,2024-01-22,79.69000244140625
75,75,2024-01-23,78.88999938964844
76,76,2024-01-24,76.26000213623047
77,77,2024-01-25,76.69999694824219
78,78,2024-01-26,76.98999786376953
79,79,2024-01-29,77.9000015258789
80,80,2024-01-30,78.33000183105469
81,81,2024-01-31,76.69000244140625
82,82,2024-02-01,76.79000091552734
83,83,2024-02-02,76.83999633789062
84,84,2024-02-05,75.63999938964844
