,Unnamed: 0,Date,SHW
0,0,2019-02-05,134.36984252929688
1,1,2019-02-06,134.12135314941406
2,2,2019-02-07,133.18487548828125
3,3,2019-02-08,134.1085968017578
4,4,2019-02-11,134.96868896484375
5,5,2019-02-12,139.27854919433594
6,6,2019-02-13,138.24327087402344
7,7,2019-02-14,137.53929138183594
8,8,2019-02-15,139.89646911621094
9,9,2019-02-19,139.37725830078125
10,10,2019-02-20,139.92515563964844
11,11,2019-02-21,140.06214904785156
12,12,2019-02-22,140.48049926757812
13,13,2019-02-25,139.7778778076172
14,14,2019-02-26,138.704833984375
15,15,2019-02-27,140.62100219726562
16,16,2019-02-28,138.34713745117188
17,17,2019-03-01,139.43936157226562
18,18,2019-03-04,139.80023193359375
19,19,2019-03-05,137.7819061279297
20,20,2019-03-06,134.85336303710938
21,21,2019-03-07,132.2313690185547
22,22,2019-03-08,133.16397094726562
23,23,2019-03-11,136.6832733154297
24,24,2019-03-12,134.99392700195312
25,25,2019-03-13,135.7954559326172
26,26,2019-03-14,136.94834899902344
27,27,2019-03-15,137.6540985107422
28,28,2019-03-18,137.75633239746094
29,29,2019-03-19,137.41143798828125
30,30,2019-03-20,137.08888244628906
31,31,2019-03-21,138.48443603515625
32,32,2019-03-22,134.3615264892578
33,33,2019-03-25,134.8948516845703
34,34,2019-03-26,134.2593231201172
35,35,2019-03-27,136.2681121826172
36,36,2019-03-28,137.7147979736328
37,37,2019-03-29,137.55197143554688
38,38,2019-04-01,138.38864135742188
39,39,2019-04-02,139.61500549316406
40,40,2019-04-03,140.7359619140625
41,41,2019-04-04,141.91758728027344
42,42,2019-04-05,143.4665069580078
43,43,2019-04-08,142.57229614257812
44,44,2019-04-09,141.7131805419922
45,45,2019-04-10,141.70364379882812
46,46,2019-04-11,141.5599365234375
47,47,2019-04-12,141.00743103027344
48,48,2019-04-15,141.72283935546875
49,49,2019-04-16,143.86251831054688
50,50,2019-04-17,141.44815063476562
51,51,2019-04-18,144.48846435546875
52,52,2019-04-22,144.31597900390625
53,53,2019-04-23,147.0465545654297
54,54,2019-04-24,146.23536682128906
55,55,2019-04-25,144.1276092529297
56,56,2019-04-26,145.84254455566406
57,57,2019-04-29,144.20101928710938
58,58,2019-04-30,145.2549285888672
59,59,2019-05-01,142.91403198242188
60,60,2019-05-02,144.56515502929688
61,61,2019-05-03,145.599853515625
62,62,2019-05-06,144.47885131835938
63,63,2019-05-07,142.74798583984375
64,64,2019-05-08,141.9591064453125
65,65,2019-05-09,141.14479064941406
