,Unnamed: 0,Date,COR
0,0,2019-02-05,79.52594757080078
1,1,2019-02-06,80.33262634277344
2,2,2019-02-07,79.55378723144531
3,3,2019-02-08,78.17225646972656
4,4,2019-02-11,77.55101013183594
5,5,2019-02-12,79.54449462890625
6,6,2019-02-13,80.11934661865234
7,7,2019-02-14,80.15644836425781
8,8,2019-02-15,80.72467803955078
9,9,2019-02-19,80.90165710449219
10,10,2019-02-20,80.41727447509766
11,11,2019-02-21,79.15973663330078
12,12,2019-02-22,79.80247497558594
13,13,2019-02-25,78.8709716796875
14,14,2019-02-26,78.17233276367188
15,15,2019-02-27,77.11973571777344
16,16,2019-02-28,77.59479522705078
17,17,2019-03-01,77.29672241210938
18,18,2019-03-04,74.96794128417969
19,19,2019-03-05,74.2041015625
20,20,2019-03-06,71.3816146850586
21,21,2019-03-07,71.10218048095703
22,22,2019-03-08,71.17669677734375
23,23,2019-03-11,72.6112289428711
24,24,2019-03-12,73.04901885986328
25,25,2019-03-13,74.32520294189453
26,26,2019-03-14,74.06437683105469
27,27,2019-03-15,74.68846893310547
28,28,2019-03-18,74.88411712646484
29,29,2019-03-19,75.51752471923828
30,30,2019-03-20,73.84081268310547
31,31,2019-03-21,74.85615539550781
32,32,2019-03-22,73.37507629394531
33,33,2019-03-25,71.8194351196289
34,34,2019-03-26,71.31643676757812
35,35,2019-03-27,71.26052856445312
36,36,2019-03-28,72.5553207397461
37,37,2019-03-29,74.07367706298828
38,38,2019-04-01,73.67314910888672
39,39,2019-04-02,69.38819122314453
40,40,2019-04-03,69.90985870361328
41,41,2019-04-04,70.76683044433594
42,42,2019-04-05,71.97779083251953
43,43,2019-04-08,72.76956939697266
44,44,2019-04-09,72.12684631347656
45,45,2019-04-10,68.93174743652344
46,46,2019-04-11,69.09943389892578
47,47,2019-04-12,69.62108612060547
48,48,2019-04-15,70.89723205566406
49,49,2019-04-16,70.18927764892578
50,50,2019-04-17,67.34819793701172
51,51,2019-04-18,67.48790740966797
