,Unnamed: 0,Date,GNRC
0,0,2019-02-05,52.83000183105469
1,1,2019-02-06,50.77999877929688
2,2,2019-02-07,49.810001373291016
3,3,2019-02-08,49.9900016784668
4,4,2019-02-11,50.209999084472656
5,5,2019-02-12,51.41999816894531
6,6,2019-02-13,51.15999984741211
7,7,2019-02-14,52.18000030517578
8,8,2019-02-15,52.630001068115234
9,9,2019-02-19,52.7400016784668
10,10,2019-02-20,53.84999847412109
11,11,2019-02-21,53.119998931884766
12,12,2019-02-22,52.93999862670898
13,13,2019-02-25,52.79999923706055
14,14,2019-02-26,51.970001220703125
15,15,2019-02-27,51.88999938964844
16,16,2019-02-28,51.560001373291016
17,17,2019-03-01,52.5
18,18,2019-03-04,52.65999984741211
19,19,2019-03-05,52.13999938964844
20,20,2019-03-06,51.06999969482422
21,21,2019-03-07,51.27000045776367
22,22,2019-03-08,51.52000045776367
23,23,2019-03-11,52.790000915527344
24,24,2019-03-12,52.66999816894531
25,25,2019-03-13,52.900001525878906
26,26,2019-03-14,52.83000183105469
27,27,2019-03-15,52.88999938964844
28,28,2019-03-18,53.04999923706055
29,29,2019-03-19,52.560001373291016
30,30,2019-03-20,51.54999923706055
31,31,2019-03-21,51.900001525878906
32,32,2019-03-22,49.72999954223633
33,33,2019-03-25,49.58000183105469
34,34,2019-03-26,50.43999862670898
35,35,2019-03-27,50.47999954223633
36,36,2019-03-28,50.7599983215332
37,37,2019-03-29,51.22999954223633
38,38,2019-04-01,52.65999984741211
39,39,2019-04-02,52.150001525878906
40,40,2019-04-03,52.38999938964844
41,41,2019-04-04,53.0
42,42,2019-04-05,53.83000183105469
43,43,2019-04-08,54.5
44,44,2019-04-09,53.41999816894531
45,45,2019-04-10,54.060001373291016
46,46,2019-04-11,54.61000061035156
47,47,2019-04-12,54.93000030517578
48,48,2019-04-15,54.36000061035156
49,49,2019-04-16,53.97999954223633
50,50,2019-04-17,54.47999954223633
51,51,2019-04-18,55.02000045776367
52,52,2019-04-22,54.33000183105469
53,53,2019-04-23,55.5099983215332
54,54,2019-04-24,56.27000045776367
55,55,2019-04-25,54.77999877929688
56,56,2019-04-26,55.34000015258789
57,57,2019-04-29,54.9900016784668
58,58,2019-04-30,54.9900016784668
59,59,2019-05-01,54.81999969482422
60,60,2019-05-02,57.5
61,61,2019-05-03,59.9900016784668
62,62,2019-05-06,59.38999938964844
63,63,2019-05-07,58.75
64,64,2019-05-08,58.040000915527344
65,65,2019-05-09,58.08000183105469
66,66,2019-05-10,58.08000183105469
67,67,2019-05-13,57.08000183105469
68,68,2019-05-14,56.91999816894531
69,69,2019-05-15,56.63999938964844
70,70,2019-05-16,57.18000030517578
71,71,2019-05-17,56.54999923706055
72,72,2019-05-20,56.459999084472656
73,73,2019-05-21,57.02999877929688
74,74,2019-05-22,57.09999847412109
75,75,2019-05-23,56.2400016784668
76,76,2019-05-24,56.5
77,77,2019-05-28,56.45000076293945
78,78,2019-05-29,55.68999862670898
79,79,2019-05-30,55.84999847412109
80,80,2019-05-31,55.150001525878906
81,81,2019-06-03,55.81999969482422
82,82,2019-06-04,57.869998931884766
83,83,2019-06-05,58.11000061035156
84,84,2019-06-06,58.83000183105469
85,85,2019-06-07,60.220001220703125
86,86,2019-06-10,62.75
87,87,2019-06-11,62.56999969482422
88,88,2019-06-12,63.09999847412109
89,89,2019-06-13,65.44000244140625
90,90,2019-06-14,64.75
91,91,2019-06-17,64.26000213623047
92,92,2019-06-18,65.4000015258789
93,93,2019-06-19,65.83000183105469
94,94,2019-06-20,67.79000091552734
95,95,2019-06-21,68.61000061035156
96,96,2019-06-24,68.91999816894531
97,97,2019-06-25,68.87000274658203
98,98,2019-06-26,68.48999786376953
99,99,2019-06-27,69.7699966430664
100,100,2019-06-28,69.41000366210938
101,101,2019-07-01,70.5
102,102,2019-07-02,70.81999969482422
103,103,2019-07-03,71.08000183105469
104,104,2019-07-05,71.11000061035156
105,105,2019-07-08,70.73999786376953
106,106,2019-07-09,70.41000366210938
107,107,2019-07-10,69.79000091552734
108,108,2019-07-11,69.08000183105469
109,109,2019-07-12,70.5199966430664
110,110,2019-07-15,71.51000213623047
111,111,2019-07-16,71.55999755859375
112,112,2019-07-17,68.69000244140625
113,113,2019-07-18,70.87999725341797
114,114,2019-07-19,71.11000061035156
115,115,2019-07-22,71.48999786376953
116,116,2019-07-23,73.0
117,117,2019-07-24,72.66000366210938
118,118,2019-07-25,72.80000305175781
119,119,2019-07-26,73.5
120,120,2019-07-29,72.48999786376953
121,121,2019-07-30,73.25
122,122,2019-07-31,72.30000305175781
123,123,2019-08-01,70.91999816894531
124,124,2019-08-02,71.0
125,125,2019-08-05,70.0
126,126,2019-08-06,72.08000183105469
127,127,2019-08-07,72.47000122070312
128,128,2019-08-08,73.3499984741211
129,129,2019-08-09,73.0
130,130,2019-08-12,72.4000015258789
131,131,2019-08-13,73.26000213623047
132,132,2019-08-14,71.97000122070312
133,133,2019-08-15,71.91999816894531
134,134,2019-08-16,73.7699966430664
135,135,2019-08-19,74.33999633789062
136,136,2019-08-20,74.12999725341797
137,137,2019-08-21,74.6500015258789
138,138,2019-08-22,76.27999877929688
139,139,2019-08-23,74.7699966430664
140,140,2019-08-26,74.97000122070312
141,141,2019-08-27,75.05000305175781
142,142,2019-08-28,76.70999908447266
143,143,2019-08-29,77.19000244140625
144,144,2019-08-30,77.98999786376953
145,145,2019-09-03,73.79000091552734
146,146,2019-09-04,75.79000091552734
147,147,2019-09-05,80.30999755859375
148,148,2019-09-06,79.83999633789062
