,Unnamed: 0,Date,OXY
0,0,2019-02-05,59.721824645996094
1,1,2019-02-06,59.12726593017578
2,2,2019-02-07,57.60981369018555
3,3,2019-02-08,57.64530563354492
4,4,2019-02-11,57.53881454467773
5,5,2019-02-12,58.34634399414063
6,6,2019-02-13,58.4350814819336
7,7,2019-02-14,59.07401657104492
8,8,2019-02-15,59.624210357666016
9,9,2019-02-19,60.0146598815918
10,10,2019-02-20,60.56484222412109
11,11,2019-02-21,59.10063552856445
12,12,2019-02-22,58.50609588623047
13,13,2019-02-25,58.77231216430664
14,14,2019-02-26,58.60369110107422
15,15,2019-02-27,59.1450080871582
16,16,2019-02-28,58.701316833496094
17,17,2019-03-01,59.94367599487305
18,18,2019-03-04,59.85493850708008
19,19,2019-03-05,59.92591857910156
20,20,2019-03-06,58.73682403564453
21,21,2019-03-07,58.33748245239258
22,22,2019-03-08,56.31686019897461
23,23,2019-03-11,57.36758041381836
24,24,2019-03-12,57.65496063232422
25,25,2019-03-13,58.42728042602539
26,26,2019-03-14,58.561988830566406
27,27,2019-03-15,58.79548645019531
28,28,2019-03-18,60.178489685058594
29,29,2019-03-19,59.42413330078125
30,30,2019-03-20,60.40299224853516
31,31,2019-03-21,60.385032653808594
32,32,2019-03-22,58.58892440795898
33,33,2019-03-25,58.49015045166016
34,34,2019-03-26,60.24135208129883
35,35,2019-03-27,59.58576583862305
36,36,2019-03-28,59.78334426879883
37,37,2019-03-29,59.451053619384766
38,38,2019-04-01,60.33114242553711
39,39,2019-04-02,59.83722686767578
40,40,2019-04-03,59.3253288269043
41,41,2019-04-04,59.666595458984375
42,42,2019-04-05,61.103477478027344
43,43,2019-04-08,61.39982986450195
44,44,2019-04-09,60.42095947265625
45,45,2019-04-10,60.33114242553711
46,46,2019-04-11,60.33114242553711
47,47,2019-04-12,58.66975784301758
48,48,2019-04-15,56.90060043334961
49,49,2019-04-16,57.17898941040039
50,50,2019-04-17,56.26298141479492
51,51,2019-04-18,55.51759719848633
52,52,2019-04-22,56.6222038269043
53,53,2019-04-23,56.00254440307617
54,54,2019-04-24,55.67924118041992
55,55,2019-04-25,55.53554534912109
56,56,2019-04-26,55.05958938598633
57,57,2019-04-29,53.99989700317383
58,58,2019-04-30,52.87732696533203
59,59,2019-05-01,51.62004852294922
60,60,2019-05-02,51.5032958984375
61,61,2019-05-03,52.04212951660156
62,62,2019-05-06,52.778541564941406
63,63,2019-05-07,53.604740142822266
64,64,2019-05-08,54.07172775268555
65,65,2019-05-09,50.587284088134766
66,66,2019-05-10,49.36592483520508
67,67,2019-05-13,48.64749526977539
68,68,2019-05-14,48.98875045776367
69,69,2019-05-15,48.719337463378906
70,70,2019-05-16,48.27032470703125
71,71,2019-05-17,47.38123321533203
72,72,2019-05-20,48.009883880615234
73,73,2019-05-21,48.05477523803711
74,74,2019-05-22,47.399200439453125
75,75,2019-05-23,47.51594924926758
76,76,2019-05-24,48.01887130737305
77,77,2019-05-28,46.95017623901367
78,78,2019-05-29,46.69871520996094
79,79,2019-05-30,46.61790084838867
80,80,2019-05-31,44.69606399536133
81,81,2019-06-03,44.29193878173828
82,82,2019-06-04,44.62422180175781
83,83,2019-06-05,42.5946159362793
84,84,2019-06-06,44.040489196777344
85,85,2019-06-07,43.65720748901367
86,86,2019-06-10,43.71196365356445
87,87,2019-06-11,44.761417388916016
88,88,2019-06-12,44.52415466308594
89,89,2019-06-13,45.38196563720703
90,90,2019-06-14,44.99868392944336
91,91,2019-06-17,45.45497131347656
92,92,2019-06-18,45.94774627685547
93,93,2019-06-19,45.90211868286133
94,94,2019-06-20,46.81468963623047
95,95,2019-06-21,46.18501663208008
96,96,2019-06-24,45.52797317504883
97,97,2019-06-25,45.06256866455078
98,98,2019-06-26,46.01163101196289
99,99,2019-06-27,45.40021133422852
100,100,2019-06-28,45.88387680053711
101,101,2019-07-01,45.427581787109375
102,102,2019-07-02,44.515018463134766
103,103,2019-07-03,44.87092208862305
104,104,2019-07-05,44.9713020324707
105,105,2019-07-08,44.98955154418945
106,106,2019-07-09,45.272457122802734
107,107,2019-07-10,45.84737014770508
108,108,2019-07-11,46.02988052368164
109,109,2019-07-12,47.19796752929688
110,110,2019-07-15,47.11583709716797
111,111,2019-07-16,46.632171630859375
112,112,2019-07-17,46.70518493652344
113,113,2019-07-18,46.55004501342773
114,114,2019-07-19,47.75463485717773
115,115,2019-07-22,47.91889572143555
116,116,2019-07-23,47.270973205566406
117,117,2019-07-24,47.49911880493164
118,118,2019-07-25,46.66868209838867
119,119,2019-07-26,47.07933807373047
120,120,2019-07-29,46.458778381347656
121,121,2019-07-30,47.88239288330078
122,122,2019-07-31,46.86944580078125
123,123,2019-08-01,48.52117919921875
124,124,2019-08-02,46.70518493652344
125,125,2019-08-05,45.099063873291016
126,126,2019-08-06,43.41994094848633
127,127,2019-08-07,41.97809219360352
128,128,2019-08-08,43.00927734375
129,129,2019-08-09,43.00927734375
130,130,2019-08-12,41.05639266967773
131,131,2019-08-13,40.84650039672852
132,132,2019-08-14,39.87918472290039
133,133,2019-08-15,40.11645126342773
134,134,2019-08-16,40.673118591308594
135,135,2019-08-19,41.59480667114258
136,136,2019-08-20,41.30278778076172
137,137,2019-08-21,41.12026977539063
138,138,2019-08-22,40.791751861572266
139,139,2019-08-23,38.66545486450195
140,140,2019-08-26,38.44644546508789
141,141,2019-08-27,38.64720916748047
142,142,2019-08-28,39.34076690673828
143,143,2019-08-29,39.57802581787109
144,144,2019-08-30,39.67841339111328
145,145,2019-09-03,38.948360443115234
