,Unnamed: 0,Date,BKR
0,0,2019-02-05,21.607994079589844
1,1,2019-02-06,21.478496551513672
2,2,2019-02-07,21.05548858642578
3,3,2019-02-08,21.24541473388672
4,4,2019-02-11,21.42670249938965
5,5,2019-02-12,21.35763931274414
6,6,2019-02-13,21.694320678710938
7,7,2019-02-14,22.13459587097168
8,8,2019-02-15,22.29861831665039
9,9,2019-02-19,22.5230770111084
10,10,2019-02-20,22.94608688354492
11,11,2019-02-21,22.678466796875
12,12,2019-02-22,22.74752426147461
13,13,2019-02-25,23.092845916748047
14,14,2019-02-26,23.092845916748047
15,15,2019-02-27,23.023778915405277
16,16,2019-02-28,22.773422241210938
17,17,2019-03-01,23.39499282836914
18,18,2019-03-04,23.38635635375977
19,19,2019-03-05,23.40361976623535
20,20,2019-03-06,22.712995529174805
21,21,2019-03-07,22.48854255676269
22,22,2019-03-08,22.21229362487793
23,23,2019-03-11,22.87701988220215
24,24,2019-03-12,23.15327262878418
25,25,2019-03-13,23.52447509765625
26,26,2019-03-14,23.921592712402344
27,27,2019-03-15,24.042455673217773
28,28,2019-03-18,24.327333450317383
29,29,2019-03-19,24.01655578613281
30,30,2019-03-20,24.38776588439941
31,31,2019-03-21,24.56905174255371
32,32,2019-03-22,23.44678497314453
33,33,2019-03-25,23.67987823486328
34,34,2019-03-26,23.89569854736328
35,35,2019-03-27,23.55038070678711
36,36,2019-03-28,23.44678497314453
37,37,2019-03-29,23.93022727966309
38,38,2019-04-01,24.0338191986084
39,39,2019-04-02,23.300024032592773
40,40,2019-04-03,22.85112190246582
41,41,2019-04-04,23.11010360717773
42,42,2019-04-05,23.11873817443848
43,43,2019-04-08,23.15327262878418
44,44,2019-04-09,23.032413482666016
45,45,2019-04-10,23.196435928344727
46,46,2019-04-11,23.015146255493164
47,47,2019-04-12,22.773422241210938
48,48,2019-04-15,22.4022159576416
49,49,2019-04-16,22.30725479125977
50,50,2019-04-17,22.25545883178711
51,51,2019-04-18,22.100067138671875
52,52,2019-04-22,22.96334457397461
53,53,2019-04-23,22.41948127746582
54,54,2019-04-24,22.108699798583984
55,55,2019-04-25,22.07416343688965
56,56,2019-04-26,22.082801818847656
57,57,2019-04-29,22.41948127746582
58,58,2019-04-30,20.73607635498047
59,59,2019-05-01,20.330331802368164
60,60,2019-05-02,20.30443572998047
61,61,2019-05-03,20.831039428710938
62,62,2019-05-06,20.667015075683597
63,63,2019-05-07,20.036813735961918
64,64,2019-05-08,19.81236267089844
65,65,2019-05-09,19.51885223388672
66,66,2019-05-10,19.26849174499512
67,67,2019-05-13,18.76778793334961
68,68,2019-05-14,19.233963012695312
69,69,2019-05-15,19.631074905395508
70,70,2019-05-16,19.83826065063477
71,71,2019-05-17,19.777833938598636
72,72,2019-05-20,20.26509666442871
73,73,2019-05-21,20.54354286193848
74,74,2019-05-22,20.32600975036621
75,75,2019-05-23,20.06497001647949
76,76,2019-05-24,19.325366973876957
77,77,2019-05-28,19.290563583374023
78,78,2019-05-29,18.88160896301269
79,79,2019-05-30,18.420446395874023
80,80,2019-05-31,18.629268646240234
81,81,2019-06-03,19.003427505493164
82,82,2019-06-04,19.177452087402344
83,83,2019-06-05,19.342771530151367
84,84,2019-06-06,19.969261169433597
85,85,2019-06-07,20.29119873046875
86,86,2019-06-10,20.36951446533203
87,87,2019-06-11,20.1519832611084
88,88,2019-06-12,19.40367889404297
89,89,2019-06-13,19.821334838867188
90,90,2019-06-14,19.273162841796875
91,91,2019-06-17,19.490694046020508
92,92,2019-06-18,20.0910758972168
93,93,2019-06-19,20.29119873046875
94,94,2019-06-20,21.196128845214844
95,95,2019-06-21,21.90092086791992
96,96,2019-06-24,21.509370803833008
97,97,2019-06-25,21.4223575592041
98,98,2019-06-26,21.53547477722168
99,99,2019-06-27,21.483266830444336
100,100,2019-06-28,21.431058883666992
101,101,2019-07-01,21.90962600708008
102,102,2019-07-02,21.335344314575195
103,103,2019-07-03,21.32664680480957
104,104,2019-07-05,21.361452102661133
105,105,2019-07-08,21.918325424194336
106,106,2019-07-09,21.75300025939941
107,107,2019-07-10,22.083648681640625
108,108,2019-07-11,21.961833953857425
109,109,2019-07-12,21.76170921325684
110,110,2019-07-15,21.483266830444336
111,111,2019-07-16,20.9611930847168
112,112,2019-07-17,20.17808532714844
113,113,2019-07-18,20.282495498657227
114,114,2019-07-19,20.500030517578125
115,115,2019-07-22,20.848079681396484
116,116,2019-07-23,21.15262222290039
117,117,2019-07-24,21.63119125366211
118,118,2019-07-25,21.4223575592041
119,119,2019-07-26,21.61378669738769
120,120,2019-07-29,20.9611930847168
121,121,2019-07-30,21.32664680480957
122,122,2019-07-31,22.092357635498047
123,123,2019-08-01,21.98793601989746
124,124,2019-08-02,20.95249366760254
125,125,2019-08-05,20.71756172180176
126,126,2019-08-06,20.61314582824707
127,127,2019-08-07,20.32600975036621
128,128,2019-08-08,21.00470352172852
129,129,2019-08-09,20.60444450378418
130,130,2019-08-12,20.534303665161133
131,131,2019-08-13,20.66581916809082
132,132,2019-08-14,19.29804039001465
133,133,2019-08-15,18.1582145690918
134,134,2019-08-16,18.465089797973636
135,135,2019-08-19,18.780733108520508
136,136,2019-08-20,18.508928298950195
137,137,2019-08-21,18.62291145324707
138,138,2019-08-22,18.78950309753418
139,139,2019-08-23,18.307268142700195
140,140,2019-08-26,18.675519943237305
141,141,2019-08-27,18.666749954223636
142,142,2019-08-28,18.97362327575684
143,143,2019-08-29,19.184053421020508
144,144,2019-08-30,19.01746368408203
145,145,2019-09-03,19.420787811279297
