,Unnamed: 0.1,Unnamed: 0,Date,ABNB,ABNB_6m,ABNB_12m
0,0,0,2020-12-10,144.7100067138672,,
1,1,1,2020-12-11,139.25,,
2,2,2,2020-12-14,130.0,,
3,3,3,2020-12-15,124.8000030517578,,
4,4,4,2020-12-16,137.99000549316406,,
5,5,5,2020-12-17,147.0500030517578,,
6,6,6,2020-12-18,157.3000030517578,144.7100067138672,
7,7,7,2020-12-21,163.02000427246094,139.25,
8,8,8,2020-12-22,163.19000244140625,130.0,
9,9,9,2020-12-23,158.00999450683594,124.8000030517578,
10,10,10,2020-12-24,154.83999633789062,137.99000549316406,
11,11,11,2020-12-28,149.0,147.0500030517578,
12,12,12,2020-12-29,150.0,157.3000030517578,144.7100067138672
13,13,13,2020-12-30,148.42999267578125,163.02000427246094,139.25
14,14,14,2020-12-31,146.8000030517578,163.19000244140625,130.0
15,15,15,2021-01-04,139.14999389648438,158.00999450683594,124.8000030517578
16,16,16,2021-01-05,148.3000030517578,154.83999633789062,137.99000549316406
17,17,17,2021-01-06,142.77000427246094,149.0,147.0500030517578
18,18,18,2021-01-07,151.27000427246094,150.0,157.3000030517578
19,19,19,2021-01-08,149.77000427246094,148.42999267578125,163.02000427246094
20,20,20,2021-01-11,148.1300048828125,146.8000030517578,163.19000244140625
21,21,21,2021-01-12,160.8000030517578,139.14999389648438,158.00999450683594
22,22,22,2021-01-13,169.99000549316406,148.3000030517578,154.83999633789062
23,23,23,2021-01-14,180.5,142.77000427246094,149.0
24,24,24,2021-01-15,169.27000427246094,151.27000427246094,150.0
25,25,25,2021-01-19,173.69000244140625,149.77000427246094,148.42999267578125
26,26,26,2021-01-20,161.8300018310547,148.1300048828125,146.8000030517578
27,27,27,2021-01-21,180.3999938964844,160.8000030517578,139.14999389648438
28,28,28,2021-01-22,181.8699951171875,169.99000549316406,148.3000030517578
29,29,29,2021-01-25,177.52999877929688,180.5,142.77000427246094
30,30,30,2021-01-26,192.7400054931641,169.27000427246094,151.27000427246094
31,31,31,2021-01-27,201.25,173.69000244140625,149.77000427246094
32,32,32,2021-01-28,187.3699951171875,161.8300018310547,148.1300048828125
33,33,33,2021-01-29,183.6300048828125,180.3999938964844,160.8000030517578
34,34,34,2021-02-01,180.44000244140625,181.8699951171875,169.99000549316406
