,Unnamed: 0,Date,NWSA
0,0,2019-02-05,12.20941925048828
1,1,2019-02-06,12.15298080444336
2,2,2019-02-07,11.955449104309082
3,3,2019-02-08,11.720290184020996
4,4,2019-02-11,11.494539260864258
5,5,2019-02-12,11.66385269165039
6,6,2019-02-13,11.701478004455566
7,7,2019-02-14,11.757916450500488
8,8,2019-02-15,11.99307346343994
9,9,2019-02-19,12.002480506896973
10,10,2019-02-20,12.115357398986816
11,11,2019-02-21,12.040106773376465
12,12,2019-02-22,12.20941925048828
13,13,2019-02-25,12.24704647064209
14,14,2019-02-26,12.24704647064209
15,15,2019-02-27,12.265857696533203
16,16,2019-02-28,12.24704647064209
17,17,2019-03-01,12.46339225769043
18,18,2019-03-04,12.453985214233398
19,19,2019-03-05,12.397546768188477
20,20,2019-03-06,12.341109275817873
21,21,2019-03-07,12.134170532226562
22,22,2019-03-08,12.040106773376465
23,23,2019-03-11,12.265857696533203
24,24,2019-03-12,12.199503898620604
25,25,2019-03-13,12.076276779174805
26,26,2019-03-14,11.981488227844238
27,27,2019-03-15,11.981488227844238
28,28,2019-03-18,11.962530136108398
29,29,2019-03-19,11.88669776916504
30,30,2019-03-20,11.943571090698242
31,31,2019-03-21,12.180546760559082
32,32,2019-03-22,11.972009658813477
33,33,2019-03-25,11.905653953552246
34,34,2019-03-26,11.77294921875
35,35,2019-03-27,11.668681144714355
36,36,2019-03-28,11.73503303527832
37,37,2019-03-29,11.791906356811523
38,38,2019-04-01,11.867738723754885
39,39,2019-04-02,11.791906356811523
40,40,2019-04-03,11.83930206298828
41,41,2019-04-04,11.84878158569336
42,42,2019-04-05,11.8961763381958
43,43,2019-04-08,11.867738723754885
44,44,2019-04-09,11.867738723754885
45,45,2019-04-10,11.990965843200684
46,46,2019-04-11,11.88669776916504
47,47,2019-04-12,11.990965843200684
48,48,2019-04-15,11.88669776916504
49,49,2019-04-16,12.00992488861084
50,50,2019-04-17,11.934093475341797
51,51,2019-04-18,11.867738723754885
52,52,2019-04-22,11.791906356811523
53,53,2019-04-23,11.84878158569336
54,54,2019-04-24,11.85826015472412
55,55,2019-04-25,11.70659637451172
56,56,2019-04-26,11.81086540222168
57,57,2019-04-29,11.791906356811523
58,58,2019-04-30,11.77294921875
59,59,2019-05-01,11.72555446624756
60,60,2019-05-02,11.621285438537598
61,61,2019-05-03,11.697114944458008
62,62,2019-05-06,11.403267860412598
63,63,2019-05-07,10.967230796813965
64,64,2019-05-08,10.82504653930664
65,65,2019-05-09,10.834525108337402
66,66,2019-05-10,11.28003978729248
67,67,2019-05-13,10.862963676452637
68,68,2019-05-14,10.91983699798584
69,69,2019-05-15,10.967230796813965
70,70,2019-05-16,10.929314613342283
71,71,2019-05-17,10.81556797027588
72,72,2019-05-20,10.98618984222412
73,73,2019-05-21,11.18524932861328
74,74,2019-05-22,11.147335052490234
75,75,2019-05-23,11.175769805908203
76,76,2019-05-24,11.166292190551758
77,77,2019-05-28,11.166292190551758
78,78,2019-05-29,11.005146980285645
79,79,2019-05-30,10.853485107421877
80,80,2019-05-31,10.796608924865724
81,81,2019-06-03,10.82504653930664
82,82,2019-06-04,10.97671127319336
83,83,2019-06-05,11.014625549316406
84,84,2019-06-06,10.995670318603516
85,85,2019-06-07,11.109418869018556
86,86,2019-06-10,11.156813621520996
87,87,2019-06-11,11.18524932861328
88,88,2019-06-12,11.128375053405762
89,89,2019-06-13,11.175769805908203
90,90,2019-06-14,11.213685989379885
91,91,2019-06-17,11.602325439453123
92,92,2019-06-18,12.218463897705078
93,93,2019-06-19,12.673456192016602
94,94,2019-06-20,12.853557586669922
95,95,2019-06-21,12.825119972229004
96,96,2019-06-24,12.626060485839844
97,97,2019-06-25,12.55970859527588
98,98,2019-06-26,12.60710334777832
99,99,2019-06-27,12.73033046722412
100,100,2019-06-28,12.787205696105955
101,101,2019-07-01,12.891474723815918
102,102,2019-07-02,12.806163787841797
103,103,2019-07-03,12.74928855895996
104,104,2019-07-05,12.758767127990724
105,105,2019-07-08,12.597623825073242
106,106,2019-07-09,12.60710334777832
107,107,2019-07-10,12.60710334777832
108,108,2019-07-11,12.53127098083496
109,109,2019-07-12,12.616581916809082
110,110,2019-07-15,12.663976669311523
111,111,2019-07-16,12.872515678405762
112,112,2019-07-17,12.53127098083496
113,113,2019-07-18,12.58814525604248
114,114,2019-07-19,12.455438613891602
115,115,2019-07-22,12.569189071655272
116,116,2019-07-23,12.68293571472168
117,117,2019-07-24,12.863036155700684
118,118,2019-07-25,12.673456192016602
119,119,2019-07-26,12.73033046722412
120,120,2019-07-29,12.68293571472168
121,121,2019-07-30,12.68293571472168
122,122,2019-07-31,12.474397659301758
123,123,2019-08-01,12.35116958618164
124,124,2019-08-02,12.303772926330566
125,125,2019-08-05,12.095234870910645
126,126,2019-08-06,12.227943420410156
127,127,2019-08-07,12.123672485351562
128,128,2019-08-08,12.35116958618164
129,129,2019-08-09,12.9862642288208
130,130,2019-08-12,13.299072265625
131,131,2019-08-13,13.308550834655762
132,132,2019-08-14,12.68293571472168
133,133,2019-08-15,12.938867568969728
134,134,2019-08-16,13.043139457702637
135,135,2019-08-19,13.26115608215332
136,136,2019-08-20,13.19480323791504
137,137,2019-08-21,13.365426063537598
138,138,2019-08-22,13.41282081604004
139,139,2019-08-23,12.834599494934082
140,140,2019-08-26,12.94834804534912
141,141,2019-08-27,12.806163787841797
142,142,2019-08-28,13.00522232055664
143,143,2019-08-29,13.0810546875
144,144,2019-08-30,13.03365993499756
145,145,2019-09-03,12.844078063964844
