,Unnamed: 0,Date,ALGN
0,0,2019-02-05,243.50999450683597
1,1,2019-02-06,244.0399932861328
2,2,2019-02-07,239.4499969482422
3,3,2019-02-08,241.25999450683597
4,4,2019-02-11,244.57000732421875
5,5,2019-02-12,254.32000732421875
6,6,2019-02-13,251.8500061035156
7,7,2019-02-14,250.75
8,8,2019-02-15,254.9600067138672
9,9,2019-02-19,255.2400054931641
10,10,2019-02-20,253.7899932861328
11,11,2019-02-21,250.22999572753903
12,12,2019-02-22,253.9900054931641
13,13,2019-02-25,262.3500061035156
14,14,2019-02-26,259.7900085449219
15,15,2019-02-27,258.25
16,16,2019-02-28,258.9700012207031
17,17,2019-03-01,263.3500061035156
18,18,2019-03-04,256.3099975585937
19,19,2019-03-05,239.22000122070312
20,20,2019-03-06,231.4499969482422
21,21,2019-03-07,230.75
22,22,2019-03-08,230.83999633789065
23,23,2019-03-11,243.3600006103516
24,24,2019-03-12,250.83999633789065
25,25,2019-03-13,252.1300048828125
26,26,2019-03-14,247.58999633789065
27,27,2019-03-15,252.3300018310547
28,28,2019-03-18,253.72999572753903
29,29,2019-03-19,259.2900085449219
30,30,2019-03-20,265.67999267578125
31,31,2019-03-21,280.7300109863281
32,32,2019-03-22,269.6199951171875
33,33,2019-03-25,271.0199890136719
34,34,2019-03-26,274.2699890136719
35,35,2019-03-27,268.9599914550781
36,36,2019-03-28,273.9100036621094
37,37,2019-03-29,284.3299865722656
38,38,2019-04-01,285.1499938964844
39,39,2019-04-02,292.0299987792969
40,40,2019-04-03,289.2699890136719
41,41,2019-04-04,287.9599914550781
42,42,2019-04-05,295.8800048828125
43,43,2019-04-08,292.7099914550781
44,44,2019-04-09,285.25
45,45,2019-04-10,290.1199951171875
46,46,2019-04-11,289.6600036621094
47,47,2019-04-12,293.0799865722656
48,48,2019-04-15,292.54998779296875
49,49,2019-04-16,288.3800048828125
50,50,2019-04-17,273.67999267578125
51,51,2019-04-18,281.489990234375
52,52,2019-04-22,290.6300048828125
53,53,2019-04-23,296.0799865722656
54,54,2019-04-24,297.0799865722656
55,55,2019-04-25,296.739990234375
56,56,2019-04-26,317.9800109863281
57,57,2019-04-29,317.5
58,58,2019-04-30,324.67999267578125
