,Unnamed: 0,Date,FMC
0,0,2019-02-05,66.4721908569336
1,1,2019-02-06,66.8006820678711
2,2,2019-02-07,65.87776184082031
3,3,2019-02-08,66.1280517578125
4,4,2019-02-11,66.29228973388672
5,5,2019-02-12,64.33699798583984
6,6,2019-02-13,65.92469024658203
7,7,2019-02-14,65.67442321777344
8,8,2019-02-15,66.75375366210938
9,9,2019-02-19,67.64534759521484
10,10,2019-02-20,68.39619445800781
11,11,2019-02-21,68.98279571533203
12,12,2019-02-22,69.22525024414062
13,13,2019-02-25,69.89004516601562
14,14,2019-02-26,69.27998352050781
15,15,2019-02-27,70.0933837890625
16,16,2019-02-28,69.99951934814453
17,17,2019-03-01,70.7347183227539
18,18,2019-03-04,71.20467376708984
19,19,2019-03-05,71.3218994140625
20,20,2019-03-06,70.75379943847656
21,21,2019-03-07,70.1766586303711
22,22,2019-03-08,69.9151382446289
23,23,2019-03-11,70.73577117919922
24,24,2019-03-12,70.7628173828125
25,25,2019-03-13,70.77182006835938
26,26,2019-03-14,69.58149719238281
27,27,2019-03-15,69.65361785888672
28,28,2019-03-18,69.36504364013672
29,29,2019-03-19,68.77889251708984
30,30,2019-03-20,68.24684143066406
31,31,2019-03-21,69.98727416992188
32,32,2019-03-22,67.61560821533203
33,33,2019-03-25,67.15568542480469
34,34,2019-03-26,67.70578002929688
35,35,2019-03-27,67.92218780517578
36,36,2019-03-28,68.9829330444336
37,37,2019-03-29,69.64472961425781
38,38,2019-04-01,71.56672668457031
39,39,2019-04-02,71.5848388671875
40,40,2019-04-03,71.75709533691406
41,41,2019-04-04,72.8268814086914
42,42,2019-04-05,72.90848541259766
43,43,2019-04-08,73.1804428100586
44,44,2019-04-09,72.56395721435547
45,45,2019-04-10,72.90848541259766
46,46,2019-04-11,72.42797088623047
47,47,2019-04-12,72.50050354003906
48,48,2019-04-15,72.31011199951172
49,49,2019-04-16,73.21671295166016
50,50,2019-04-17,73.20765686035156
51,51,2019-04-18,72.48238372802734
52,52,2019-04-22,72.04722595214844
53,53,2019-04-23,72.65463256835938
54,54,2019-04-24,72.2919921875
55,55,2019-04-25,71.61204528808594
56,56,2019-04-26,72.06535339355469
57,57,2019-04-29,71.90215301513672
