,Date,EA
103,2019-07-02 00:00:00-04:00,100.87538146972656
104,2019-07-03 00:00:00-04:00,96.34818267822266
105,2019-07-05 00:00:00-04:00,91.91915893554688
106,2019-07-08 00:00:00-04:00,91.76203155517578
107,2019-07-09 00:00:00-04:00,90.39698791503906
108,2019-07-10 00:00:00-04:00,92.27268981933594
109,2019-07-11 00:00:00-04:00,91.81112670898438
110,2019-07-12 00:00:00-04:00,91.15316772460938
111,2019-07-15 00:00:00-04:00,90.56393432617188
112,2019-07-16 00:00:00-04:00,87.94189453125
113,2019-07-17 00:00:00-04:00,88.08918762207031
114,2019-07-18 00:00:00-04:00,87.58834838867188
115,2019-07-19 00:00:00-04:00,85.92869567871094
116,2019-07-22 00:00:00-04:00,86.55720520019531
117,2019-07-23 00:00:00-04:00,86.63577270507812
118,2019-07-24 00:00:00-04:00,88.16776275634766
119,2019-07-25 00:00:00-04:00,87.55887603759766
120,2019-07-26 00:00:00-04:00,87.90260314941406
121,2019-07-29 00:00:00-04:00,87.27410125732422
122,2019-07-30 00:00:00-04:00,86.9794692993164
123,2019-07-31 00:00:00-04:00,90.8388900756836
124,2019-08-01 00:00:00-04:00,92.90118408203125
125,2019-08-02 00:00:00-04:00,91.22189331054688
126,2019-08-05 00:00:00-04:00,86.99911499023438
127,2019-08-06 00:00:00-04:00,88.48200225830078
128,2019-08-07 00:00:00-04:00,90.613037109375
129,2019-08-08 00:00:00-04:00,93.5198974609375
130,2019-08-09 00:00:00-04:00,90.31842803955078
131,2019-08-12 00:00:00-04:00,90.12201690673828
132,2019-08-13 00:00:00-04:00,90.68177032470703
133,2019-08-14 00:00:00-04:00,86.5179214477539
134,2019-08-15 00:00:00-04:00,86.3018798828125
135,2019-08-16 00:00:00-04:00,87.95170593261719
136,2019-08-19 00:00:00-04:00,89.27745819091797
137,2019-08-20 00:00:00-04:00,91.0353012084961
138,2019-08-21 00:00:00-04:00,92.35125732421875
139,2019-08-22 00:00:00-04:00,92.92082977294922
140,2019-08-23 00:00:00-04:00,91.24156188964844
141,2019-08-26 00:00:00-04:00,92.68515014648438
142,2019-08-27 00:00:00-04:00,92.37088775634766
143,2019-08-28 00:00:00-04:00,90.74070739746094
144,2019-08-29 00:00:00-04:00,91.35938262939453
145,2019-08-30 00:00:00-04:00,91.99771881103516
146,2019-09-03 00:00:00-04:00,93.12706756591797
147,2019-09-04 00:00:00-04:00,96.1910400390625
148,2019-09-05 00:00:00-04:00,95.70000457763672
149,2019-09-06 00:00:00-04:00,96.76063537597656
150,2019-09-09 00:00:00-04:00,96.9079360961914
151,2019-09-10 00:00:00-04:00,97.71321105957031
152,2019-09-11 00:00:00-04:00,97.33020782470703
153,2019-09-12 00:00:00-04:00,96.57404327392578
154,2019-09-13 00:00:00-04:00,96.71151733398438
155,2019-09-16 00:00:00-04:00,97.34002685546875
156,2019-09-17 00:00:00-04:00,96.65260314941406
157,2019-09-18 00:00:00-04:00,96.51509857177734
158,2019-09-19 00:00:00-04:00,97.89979553222656
159,2019-09-20 00:00:00-04:00,96.92756652832031
160,2019-09-23 00:00:00-04:00,96.41691589355469
161,2019-09-24 00:00:00-04:00,95.61164093017578
162,2019-09-25 00:00:00-04:00,95.87678527832031
163,2019-09-26 00:00:00-04:00,94.88493347167969
164,2019-09-27 00:00:00-04:00,93.95198822021484
165,2019-09-30 00:00:00-04:00,96.06336212158203
166,2019-10-01 00:00:00-04:00,95.01260375976562
