,Unnamed: 0.1,Unnamed: 0,Date,CAH,CAH_6m,CAH_12m
0,0,0,2019-02-05,42.40556716918945,,
1,1,1,2019-02-06,42.90394592285156,,
2,2,2,2019-02-07,45.82672119140625,,
3,3,3,2019-02-08,44.49203872680664,,
4,4,4,2019-02-11,44.93130111694336,,
5,5,5,2019-02-12,46.0632438659668,,
6,6,6,2019-02-13,46.50250625610352,42.40556716918945,
7,7,7,2019-02-14,46.88263702392578,42.90394592285156,
8,8,8,2019-02-15,46.8657455444336,45.82672119140625,
9,9,9,2019-02-19,47.97234344482422,44.49203872680664,
10,10,10,2019-02-20,47.22897338867188,44.93130111694336,
11,11,11,2019-02-21,46.24909210205078,46.0632438659668,
12,12,12,2019-02-22,46.37580108642578,46.50250625610352,42.40556716918945
13,13,13,2019-02-25,46.10548782348633,46.88263702392578,42.90394592285156
14,14,14,2019-02-26,45.27764892578125,46.8657455444336,45.82672119140625
15,15,15,2019-02-27,45.302982330322266,47.97234344482422,44.49203872680664
16,16,16,2019-02-28,45.90274810791016,47.22897338867188,44.93130111694336
17,17,17,2019-03-01,44.81304168701172,46.24909210205078,46.0632438659668
18,18,18,2019-03-04,42.99687957763672,46.37580108642578,46.50250625610352
19,19,19,2019-03-05,42.118350982666016,46.10548782348633,46.88263702392578
20,20,20,2019-03-06,40.741432189941406,45.27764892578125,46.8657455444336
21,21,21,2019-03-07,40.124778747558594,45.302982330322266,47.97234344482422
22,22,22,2019-03-08,40.293724060058594,45.90274810791016,47.22897338867188
23,23,23,2019-03-11,41.265167236328125,44.81304168701172,46.24909210205078
24,24,24,2019-03-12,41.6706428527832,42.99687957763672,46.37580108642578
25,25,25,2019-03-13,42.78568649291992,42.118350982666016,46.10548782348633
26,26,26,2019-03-14,42.91239547729492,40.741432189941406,45.27764892578125
27,27,27,2019-03-15,42.46469497680664,40.124778747558594,45.302982330322266
28,28,28,2019-03-18,42.21126937866211,40.293724060058594,45.90274810791016
29,29,29,2019-03-19,42.701210021972656,41.265167236328125,44.81304168701172
30,30,30,2019-03-20,41.69598388671875,41.6706428527832,42.99687957763672
31,31,31,2019-03-21,42.37177276611328,42.78568649291992,42.118350982666016
32,32,32,2019-03-22,41.0877799987793,42.91239547729492,40.741432189941406
33,33,33,2019-03-25,40.17546844482422,42.46469497680664,40.124778747558594
34,34,34,2019-03-26,40.369754791259766,42.21126937866211,40.293724060058594
35,35,35,2019-03-27,40.59782791137695,42.701210021972656,41.265167236328125
36,36,36,2019-03-28,40.47956466674805,41.69598388671875,41.6706428527832
37,37,37,2019-03-29,41.08193588256836,42.37177276611328,42.78568649291992
38,38,38,2019-04-01,41.90953826904297,41.0877799987793,42.91239547729492
39,39,39,2019-04-02,40.23725891113281,40.17546844482422,42.46469497680664
40,40,40,2019-04-03,40.16899871826172,40.369754791259766,42.21126937866211
41,41,41,2019-04-04,39.98982620239258,40.59782791137695,42.701210021972656
42,42,42,2019-04-05,40.518821716308594,40.47956466674805,41.69598388671875
43,43,43,2019-04-08,40.57000732421875,41.08193588256836,42.37177276611328
44,44,44,2019-04-09,40.39083480834961,41.90953826904297,41.0877799987793
45,45,45,2019-04-10,40.0495491027832,40.23725891113281,40.17546844482422
46,46,46,2019-04-11,39.57175064086914,40.16899871826172,40.369754791259766
47,47,47,2019-04-12,39.921573638916016,39.98982620239258,40.59782791137695
48,48,48,2019-04-15,40.16899871826172,40.518821716308594,40.47956466674805
49,49,49,2019-04-16,39.88743591308594,40.57000732421875,41.08193588256836
50,50,50,2019-04-17,38.29194641113281,40.39083480834961,41.90953826904297
51,51,51,2019-04-18,39.24753952026367,40.0495491027832,40.23725891113281
52,52,52,2019-04-22,38.61616134643555,39.57175064086914,40.16899871826172
53,53,53,2019-04-23,39.3157958984375,39.921573638916016,39.98982620239258
54,54,54,2019-04-24,39.74239730834961,40.16899871826172,40.518821716308594
55,55,55,2019-04-25,39.97276306152344,39.88743591308594,40.57000732421875
56,56,56,2019-04-26,40.5358772277832,38.29194641113281,40.39083480834961
57,57,57,2019-04-29,40.47615814208984,39.24753952026367,40.0495491027832
58,58,58,2019-04-30,41.55973052978516,38.61616134643555,39.57175064086914
59,59,59,2019-05-01,40.61266708374024,39.3157958984375,39.921573638916016
60,60,60,2019-05-02,41.58532333374024,39.74239730834961,40.16899871826172
61,61,61,2019-05-03,42.28496170043945,39.97276306152344,39.88743591308594
