,Unnamed: 0,Date,ADM
0,0,2019-02-05,36.62395095825195
1,1,2019-02-06,36.64145660400391
2,2,2019-02-07,36.23014831542969
3,3,2019-02-08,36.545196533203125
4,4,2019-02-11,36.76397705078125
5,5,2019-02-12,37.05276107788086
6,6,2019-02-13,37.105281829833984
7,7,2019-02-14,36.96525955200195
8,8,2019-02-15,37.04467010498047
9,9,2019-02-19,36.92994689941406
10,10,2019-02-20,37.03584671020508
11,11,2019-02-21,37.565311431884766
12,12,2019-02-22,37.49472427368164
13,13,2019-02-25,37.44178009033203
14,14,2019-02-26,37.344703674316406
15,15,2019-02-27,37.60942840576172
16,16,2019-02-28,37.5035400390625
17,17,2019-03-01,37.44178009033203
18,18,2019-03-04,37.274112701416016
19,19,2019-03-05,37.282936096191406
20,20,2019-03-06,37.17704391479492
21,21,2019-03-07,37.21232604980469
22,22,2019-03-08,36.991729736328125
23,23,2019-03-11,37.80357360839844
24,24,2019-03-12,37.865333557128906
25,25,2019-03-13,38.18301773071289
26,26,2019-03-14,38.253604888916016
27,27,2019-03-15,38.10359573364258
28,28,2019-03-18,37.48589324951172
29,29,2019-03-19,37.95358657836914
30,30,2019-03-20,37.32705307006836
31,31,2019-03-21,37.838863372802734
32,32,2019-03-22,37.60942840576172
33,33,2019-03-25,37.37117767333984
34,34,2019-03-26,37.3182258605957
35,35,2019-03-27,37.49472427368164
36,36,2019-03-28,37.69768142700195
37,37,2019-03-29,38.059478759765625
38,38,2019-04-01,37.662384033203125
39,39,2019-04-02,37.29175567626953
40,40,2019-04-03,37.25646209716797
41,41,2019-04-04,37.70650100708008
42,42,2019-04-05,37.88298797607422
43,43,2019-04-08,38.02417755126953
44,44,2019-04-09,37.75061798095703
45,45,2019-04-10,38.156551361083984
46,46,2019-04-11,38.200660705566406
47,47,2019-04-12,38.28008270263672
48,48,2019-04-15,38.24479293823242
49,49,2019-04-16,37.92710876464844
50,50,2019-04-17,37.98006057739258
51,51,2019-04-18,37.73297119140625
52,52,2019-04-22,37.64472961425781
53,53,2019-04-23,37.68002700805664
