,Date,DG
103,2019-07-02 00:00:00-04:00,130.80690002441406
104,2019-07-03 00:00:00-04:00,132.6958465576172
105,2019-07-05 00:00:00-04:00,133.516357421875
106,2019-07-08 00:00:00-04:00,132.50277709960938
107,2019-07-09 00:00:00-04:00,133.43984985351562
108,2019-07-10 00:00:00-04:00,134.75941467285156
109,2019-07-11 00:00:00-04:00,134.21437072753906
110,2019-07-12 00:00:00-04:00,135.32362365722656
111,2019-07-15 00:00:00-04:00,136.03115844726562
112,2019-07-16 00:00:00-04:00,137.88626098632812
113,2019-07-17 00:00:00-04:00,138.62252807617188
114,2019-07-18 00:00:00-04:00,136.56666564941406
115,2019-07-19 00:00:00-04:00,135.0940704345703
116,2019-07-22 00:00:00-04:00,131.9959259033203
117,2019-07-23 00:00:00-04:00,131.21185302734375
118,2019-07-24 00:00:00-04:00,133.0573272705078
119,2019-07-25 00:00:00-04:00,131.68995666503906
120,2019-07-26 00:00:00-04:00,131.92904663085938
121,2019-07-29 00:00:00-04:00,129.8540496826172
122,2019-07-30 00:00:00-04:00,128.32406616210938
123,2019-07-31 00:00:00-04:00,128.1519775390625
124,2019-08-01 00:00:00-04:00,126.36383056640625
125,2019-08-02 00:00:00-04:00,127.83644104003906
126,2019-08-05 00:00:00-04:00,126.84195709228516
127,2019-08-06 00:00:00-04:00,128.57272338867188
128,2019-08-07 00:00:00-04:00,128.69699096679688
129,2019-08-08 00:00:00-04:00,131.3744354248047
130,2019-08-09 00:00:00-04:00,129.6436767578125
131,2019-08-12 00:00:00-04:00,129.03170776367188
132,2019-08-13 00:00:00-04:00,129.4524383544922
133,2019-08-14 00:00:00-04:00,127.9894027709961
134,2019-08-15 00:00:00-04:00,127.95113372802734
135,2019-08-16 00:00:00-04:00,129.95921325683594
136,2019-08-19 00:00:00-04:00,132.0532989501953
137,2019-08-20 00:00:00-04:00,131.20230102539062
138,2019-08-21 00:00:00-04:00,132.71310424804688
139,2019-08-22 00:00:00-04:00,133.62149047851562
140,2019-08-23 00:00:00-04:00,130.9918975830078
141,2019-08-26 00:00:00-04:00,133.12429809570312
142,2019-08-27 00:00:00-04:00,132.6748504638672
143,2019-08-28 00:00:00-04:00,134.85501098632812
144,2019-08-29 00:00:00-04:00,149.255615234375
145,2019-08-30 00:00:00-04:00,149.255615234375
146,2019-09-03 00:00:00-04:00,148.81578063964844
147,2019-09-04 00:00:00-04:00,150.89076232910156
148,2019-09-05 00:00:00-04:00,152.8223419189453
149,2019-09-06 00:00:00-04:00,154.46697998046875
150,2019-09-09 00:00:00-04:00,153.72116088867188
151,2019-09-10 00:00:00-04:00,150.2118377685547
152,2019-09-11 00:00:00-04:00,149.17913818359375
153,2019-09-12 00:00:00-04:00,150.22142028808594
154,2019-09-13 00:00:00-04:00,150.87167358398438
155,2019-09-16 00:00:00-04:00,146.4635009765625
156,2019-09-17 00:00:00-04:00,149.9536895751953
157,2019-09-18 00:00:00-04:00,149.8389434814453
158,2019-09-19 00:00:00-04:00,149.94410705566406
159,2019-09-20 00:00:00-04:00,149.38949584960938
160,2019-09-23 00:00:00-04:00,151.76092529296875
161,2019-09-24 00:00:00-04:00,151.8565673828125
162,2019-09-25 00:00:00-04:00,152.18167114257812
163,2019-09-26 00:00:00-04:00,152.51629638671875
164,2019-09-27 00:00:00-04:00,153.0135498046875
165,2019-09-30 00:00:00-04:00,151.98085021972656
166,2019-10-01 00:00:00-04:00,152.07644653320312
167,2019-10-02 00:00:00-04:00,150.71864318847656
168,2019-10-03 00:00:00-04:00,150.51788330078125
169,2019-10-04 00:00:00-04:00,153.92196655273438
170,2019-10-07 00:00:00-04:00,153.30873107910156
171,2019-10-08 00:00:00-04:00,153.14588928222656
172,2019-10-09 00:00:00-04:00,154.11361694335938
173,2019-10-10 00:00:00-04:00,153.7974090576172
174,2019-10-11 00:00:00-04:00,155.45497131347656
175,2019-10-14 00:00:00-04:00,154.45852661132812
176,2019-10-15 00:00:00-04:00,155.2825164794922
177,2019-10-16 00:00:00-04:00,155.44537353515625
178,2019-10-17 00:00:00-04:00,156.04898071289062
179,2019-10-18 00:00:00-04:00,157.5244903564453
180,2019-10-21 00:00:00-04:00,157.4669952392578
181,2019-10-22 00:00:00-04:00,158.8563232421875
182,2019-10-23 00:00:00-04:00,156.15438842773438
183,2019-10-24 00:00:00-04:00,156.0873260498047
184,2019-10-25 00:00:00-04:00,155.3878936767578
185,2019-10-28 00:00:00-04:00,155.82862854003906
186,2019-10-29 00:00:00-04:00,153.8931884765625
187,2019-10-30 00:00:00-04:00,154.86090087890625
188,2019-10-31 00:00:00-04:00,153.6249237060547
189,2019-11-01 00:00:00-04:00,153.20335388183594
190,2019-11-04 00:00:00-05:00,151.58413696289062
191,2019-11-05 00:00:00-05:00,153.00216674804688
192,2019-11-06 00:00:00-05:00,152.925537109375
193,2019-11-07 00:00:00-05:00,152.5614471435547
194,2019-11-08 00:00:00-05:00,151.24880981445312
195,2019-11-11 00:00:00-05:00,150.4248046875
196,2019-11-12 00:00:00-05:00,150.4056854248047
197,2019-11-13 00:00:00-05:00,151.37338256835938
198,2019-11-14 00:00:00-05:00,152.81056213378906
199,2019-11-15 00:00:00-05:00,153.43333435058594
200,2019-11-18 00:00:00-05:00,153.280029296875
201,2019-11-19 00:00:00-05:00,151.79493713378906
202,2019-11-20 00:00:00-05:00,154.2093963623047
203,2019-11-21 00:00:00-05:00,154.04653930664062
204,2019-11-22 00:00:00-05:00,153.0979766845703
205,2019-11-25 00:00:00-05:00,153.2225341796875
206,2019-11-26 00:00:00-05:00,151.833251953125
207,2019-11-27 00:00:00-05:00,151.78536987304688
208,2019-11-29 00:00:00-05:00,150.76976013183594
209,2019-12-02 00:00:00-05:00,148.2019805908203
210,2019-12-03 00:00:00-05:00,146.59237670898438
211,2019-12-04 00:00:00-05:00,147.1193084716797
212,2019-12-05 00:00:00-05:00,148.60440063476562
213,2019-12-06 00:00:00-05:00,148.2403106689453
