,Unnamed: 0,Date,KDP
0,0,2019-02-05,24.28137969970703
1,1,2019-02-06,24.290332794189453
2,2,2019-02-07,24.335115432739254
3,3,2019-02-08,24.881467819213867
4,4,2019-02-11,25.23973274230957
5,5,2019-02-12,25.347211837768555
6,6,2019-02-13,25.45469284057617
7,7,2019-02-14,25.01581573486328
8,8,2019-02-15,25.2934684753418
9,9,2019-02-19,25.23077392578125
10,10,2019-02-20,25.23077392578125
11,11,2019-02-21,25.23077392578125
12,12,2019-02-22,24.612768173217773
13,13,2019-02-25,24.18285179138184
14,14,2019-02-26,23.779804229736328
15,15,2019-02-27,24.12911033630371
16,16,2019-02-28,22.52587509155273
17,17,2019-03-01,23.287187576293945
18,18,2019-03-04,23.331972122192383
19,19,2019-03-05,23.287187576293945
20,20,2019-03-06,23.743980407714844
21,21,2019-03-07,23.770849227905277
22,22,2019-03-08,23.645456314086918
23,23,2019-03-11,24.07537078857422
24,24,2019-03-12,24.38885498046875
25,25,2019-03-13,24.48737525939941
26,26,2019-03-14,24.51424598693848
27,27,2019-03-15,24.79190444946289
28,28,2019-03-18,24.926252365112305
29,29,2019-03-19,24.63068199157715
30,30,2019-03-20,24.86355781555176
31,31,2019-03-21,25.11434364318848
32,32,2019-03-22,24.818775177001957
33,33,2019-03-25,24.90833282470703
34,34,2019-03-26,25.212862014770508
35,35,2019-03-27,25.006855010986328
36,36,2019-03-28,25.051645278930664
37,37,2019-03-29,25.051645278930664
38,38,2019-04-01,24.809816360473636
39,39,2019-04-02,24.51424598693848
40,40,2019-04-03,24.720245361328125
41,41,2019-04-04,24.54914093017578
42,42,2019-04-05,24.594167709350582
43,43,2019-04-08,24.864336013793945
44,44,2019-04-09,24.92737579345703
45,45,2019-04-10,25.269588470458984
46,46,2019-04-11,24.19792366027832
47,47,2019-04-12,23.87372589111328
48,48,2019-04-15,23.909748077392575
49,49,2019-04-16,23.792675018310547
50,50,2019-04-17,23.63057327270508
51,51,2019-04-18,23.96378326416016
52,52,2019-04-22,24.17991828918457
53,53,2019-04-23,24.63019561767578
54,54,2019-04-24,24.765277862548828
55,55,2019-04-25,24.909366607666016
56,56,2019-04-26,25.69285011291504
57,57,2019-04-29,25.7648983001709
58,58,2019-04-30,26.179147720336918
59,59,2019-05-01,25.638816833496094
60,60,2019-05-02,26.07108497619629
61,61,2019-05-03,26.161136627197266
62,62,2019-05-06,26.512357711791992
63,63,2019-05-07,26.170141220092773
64,64,2019-05-08,26.21516990661621
65,65,2019-05-09,25.467714309692383
66,66,2019-05-10,26.48533821105957
67,67,2019-05-13,26.37726783752441
68,68,2019-05-14,26.64743423461914
69,69,2019-05-15,26.602413177490234
70,70,2019-05-16,25.75588607788086
71,71,2019-05-17,26.35025405883789
72,72,2019-05-20,26.25119400024414
73,73,2019-05-21,26.179147720336918
74,74,2019-05-22,26.224178314208984
75,75,2019-05-23,26.07108497619629
76,76,2019-05-24,26.30522727966309
77,77,2019-05-28,25.972021102905277
78,78,2019-05-29,25.602792739868164
79,79,2019-05-30,25.54875946044922
80,80,2019-05-31,25.386659622192383
81,81,2019-06-03,25.386659622192383
82,82,2019-06-04,25.27859687805176
83,83,2019-06-05,25.53976058959961
84,84,2019-06-06,25.53976058959961
85,85,2019-06-07,25.5217399597168
86,86,2019-06-10,25.77389907836914
87,87,2019-06-11,25.512739181518555
88,88,2019-06-12,25.647823333740234
89,89,2019-06-13,25.77389907836914
90,90,2019-06-14,25.78290367126465
91,91,2019-06-17,27.05268669128418
92,92,2019-06-18,27.07970428466797
93,93,2019-06-19,27.403905868530277
94,94,2019-06-20,27.83617210388184
95,95,2019-06-21,27.60202980041504
96,96,2019-06-24,26.98964500427246
97,97,2019-06-25,26.62942886352539
98,98,2019-06-26,25.89997673034668
99,99,2019-06-27,25.827930450439453
100,100,2019-06-28,26.026052474975582
101,101,2019-07-01,26.54837417602539
102,102,2019-07-02,26.80053329467773
103,103,2019-07-03,27.334552764892575
104,104,2019-07-05,27.225940704345703
105,105,2019-07-08,27.081117630004883
106,106,2019-07-09,26.60140419006348
107,107,2019-07-10,26.39323234558105
108,108,2019-07-11,26.284618377685547
109,109,2019-07-12,26.004026412963867
110,110,2019-07-15,25.79585266113281
111,111,2019-07-16,25.60577774047852
112,112,2019-07-17,25.32519149780273
113,113,2019-07-18,25.316137313842773
114,114,2019-07-19,25.008398056030277
115,115,2019-07-22,24.99029541015625
116,116,2019-07-23,25.089859008789062
117,117,2019-07-24,25.126066207885746
118,118,2019-07-25,25.35234260559082
119,119,2019-07-26,25.433809280395508
120,120,2019-07-29,25.34329032897949
121,121,2019-07-30,25.52431869506836
122,122,2019-07-31,25.470008850097656
123,123,2019-08-01,25.479061126708984
124,124,2019-08-02,25.433809280395508
125,125,2019-08-05,25.29803466796875
126,126,2019-08-06,25.20752716064453
127,127,2019-08-07,24.99029541015625
128,128,2019-08-08,26.275562286376957
129,129,2019-08-09,26.32987403869629
130,130,2019-08-12,25.904464721679688
131,131,2019-08-13,25.76869773864746
132,132,2019-08-14,24.818323135375977
133,133,2019-08-15,25.19847297668457
134,134,2019-08-16,25.35234260559082
135,135,2019-08-19,25.29803466796875
136,136,2019-08-20,25.243730545043945
137,137,2019-08-21,25.098915100097656
138,138,2019-08-22,24.88168716430664
139,139,2019-08-23,24.18474006652832
140,140,2019-08-26,24.202842712402344
141,141,2019-08-27,24.211896896362305
