,Unnamed: 0,Date,CRM
0,0,2019-02-05,158.99000549316406
1,1,2019-02-06,158.1300048828125
2,2,2019-02-07,154.92999267578125
3,3,2019-02-08,156.6699981689453
4,4,2019-02-11,159.91000366210938
5,5,2019-02-12,162.7899932861328
6,6,2019-02-13,160.39999389648438
7,7,2019-02-14,159.47000122070312
8,8,2019-02-15,159.0500030517578
9,9,2019-02-19,160.61000061035156
10,10,2019-02-20,158.5399932861328
11,11,2019-02-21,159.6300048828125
12,12,2019-02-22,161.30999755859375
13,13,2019-02-25,161.36000061035156
14,14,2019-02-26,163.0
15,15,2019-02-27,163.1199951171875
16,16,2019-02-28,163.64999389648438
17,17,2019-03-01,164.52999877929688
18,18,2019-03-04,158.5
19,19,2019-03-05,156.97000122070312
20,20,2019-03-06,156.7899932861328
21,21,2019-03-07,155.60000610351562
22,22,2019-03-08,155.05999755859375
23,23,2019-03-11,157.64999389648438
24,24,2019-03-12,158.27999877929688
25,25,2019-03-13,159.80999755859375
26,26,2019-03-14,160.6699981689453
27,27,2019-03-15,161.50999450683594
28,28,2019-03-18,161.9499969482422
29,29,2019-03-19,163.92999267578125
30,30,2019-03-20,163.50999450683594
31,31,2019-03-21,166.9499969482422
32,32,2019-03-22,161.5
33,33,2019-03-25,160.8800048828125
34,34,2019-03-26,159.39999389648438
35,35,2019-03-27,155.1199951171875
36,36,2019-03-28,155.17999267578125
37,37,2019-03-29,158.3699951171875
38,38,2019-04-01,161.17999267578125
39,39,2019-04-02,160.50999450683594
40,40,2019-04-03,162.6199951171875
41,41,2019-04-04,158.52000427246094
42,42,2019-04-05,158.55999755859375
43,43,2019-04-08,158.47000122070312
44,44,2019-04-09,156.97000122070312
45,45,2019-04-10,160.24000549316406
46,46,2019-04-11,160.72999572753906
47,47,2019-04-12,160.7100067138672
48,48,2019-04-15,160.08999633789062
49,49,2019-04-16,158.69000244140625
50,50,2019-04-17,155.33999633789062
51,51,2019-04-18,155.99000549316406
52,52,2019-04-22,158.75999450683594
53,53,2019-04-23,161.22999572753906
54,54,2019-04-24,159.55999755859375
55,55,2019-04-25,163.08999633789062
56,56,2019-04-26,165.9600067138672
57,57,2019-04-29,165.36000061035156
58,58,2019-04-30,165.35000610351562
59,59,2019-05-01,162.14999389648438
60,60,2019-05-02,161.8300018310547
61,61,2019-05-03,163.33999633789062
62,62,2019-05-06,162.5
63,63,2019-05-07,156.89999389648438
64,64,2019-05-08,156.86000061035156
65,65,2019-05-09,156.30999755859375
66,66,2019-05-10,159.94000244140625
67,67,2019-05-13,153.14999389648438
68,68,2019-05-14,158.07000732421875
69,69,2019-05-15,155.05999755859375
70,70,2019-05-16,158.47999572753906
71,71,2019-05-17,154.57000732421875
72,72,2019-05-20,155.97999572753906
73,73,2019-05-21,155.77999877929688
74,74,2019-05-22,157.63999938964844
75,75,2019-05-23,153.7100067138672
76,76,2019-05-24,154.50999450683594
77,77,2019-05-28,155.19000244140625
78,78,2019-05-29,152.88999938964844
79,79,2019-05-30,155.66000366210938
80,80,2019-05-31,151.41000366210938
81,81,2019-06-03,145.10000610351562
82,82,2019-06-04,150.80999755859375
83,83,2019-06-05,158.44000244140625
84,84,2019-06-06,159.30999755859375
85,85,2019-06-07,161.27000427246094
86,86,2019-06-10,152.7899932861328
87,87,2019-06-11,150.14999389648438
88,88,2019-06-12,151.27999877929688
89,89,2019-06-13,151.33999633789062
90,90,2019-06-14,150.00999450683594
91,91,2019-06-17,150.2899932861328
92,92,2019-06-18,150.58999633789062
93,93,2019-06-19,154.13999938964844
94,94,2019-06-20,157.1999969482422
95,95,2019-06-21,156.83999633789062
96,96,2019-06-24,152.55999755859375
97,97,2019-06-25,149.33999633789062
98,98,2019-06-26,149.0399932861328
99,99,2019-06-27,150.69000244140625
100,100,2019-06-28,151.72999572753906
101,101,2019-07-01,154.05999755859375
102,102,2019-07-02,154.1199951171875
103,103,2019-07-03,155.58999633789062
104,104,2019-07-05,154.5800018310547
105,105,2019-07-08,152.80999755859375
106,106,2019-07-09,153.9499969482422
107,107,2019-07-10,156.27000427246094
108,108,2019-07-11,158.89999389648438
109,109,2019-07-12,158.0800018310547
110,110,2019-07-15,159.64999389648438
111,111,2019-07-16,157.1300048828125
112,112,2019-07-17,158.24000549316406
113,113,2019-07-18,157.97999572753906
114,114,2019-07-19,156.75
115,115,2019-07-22,157.6999969482422
116,116,2019-07-23,156.25
117,117,2019-07-24,159.75
118,118,2019-07-25,159.35000610351562
119,119,2019-07-26,159.97000122070312
120,120,2019-07-29,156.2100067138672
121,121,2019-07-30,156.9600067138672
122,122,2019-07-31,154.5
123,123,2019-08-01,150.80999755859375
124,124,2019-08-02,145.6999969482422
125,125,2019-08-05,142.82000732421875
126,126,2019-08-06,142.8000030517578
127,127,2019-08-07,141.63999938964844
128,128,2019-08-08,143.82000732421875
129,129,2019-08-09,143.3699951171875
130,130,2019-08-12,140.72000122070312
131,131,2019-08-13,143.8800048828125
132,132,2019-08-14,139.72000122070312
133,133,2019-08-15,142.1300048828125
134,134,2019-08-16,143.88999938964844
135,135,2019-08-19,143.6699981689453
136,136,2019-08-20,145.5399932861328
137,137,2019-08-21,147.3800048828125
138,138,2019-08-22,148.24000549316406
139,139,2019-08-23,151.57000732421875
140,140,2019-08-26,155.13999938964844
141,141,2019-08-27,153.57000732421875
142,142,2019-08-28,151.8300018310547
143,143,2019-08-29,155.92999267578125
144,144,2019-08-30,156.07000732421875
145,145,2019-09-03,152.72999572753906
146,146,2019-09-04,152.4600067138672
147,147,2019-09-05,153.77000427246094
