,Unnamed: 0,Date,MHK
0,0,2019-02-05,126.9000015258789
1,1,2019-02-06,127.43000030517578
2,2,2019-02-07,128.1999969482422
3,3,2019-02-08,135.77999877929688
4,4,2019-02-11,137.97999572753906
5,5,2019-02-12,143.13999938964844
6,6,2019-02-13,139.41000366210938
7,7,2019-02-14,138.8000030517578
8,8,2019-02-15,139.2100067138672
9,9,2019-02-19,139.7100067138672
10,10,2019-02-20,139.77000427246094
11,11,2019-02-21,140.02999877929688
12,12,2019-02-22,140.5
13,13,2019-02-25,141.39999389648438
14,14,2019-02-26,140.02000427246094
15,15,2019-02-27,138.60000610351562
16,16,2019-02-28,136.1199951171875
17,17,2019-03-01,137.47999572753906
18,18,2019-03-04,138.22999572753906
19,19,2019-03-05,135.1699981689453
20,20,2019-03-06,133.3300018310547
21,21,2019-03-07,129.61000061035156
22,22,2019-03-08,132.0800018310547
23,23,2019-03-11,133.11000061035156
24,24,2019-03-12,133.25999450683594
25,25,2019-03-13,133.0
26,26,2019-03-14,129.25999450683594
27,27,2019-03-15,128.57000732421875
28,28,2019-03-18,129.50999450683594
29,29,2019-03-19,127.9000015258789
30,30,2019-03-20,126.0199966430664
31,31,2019-03-21,128.13999938964844
32,32,2019-03-22,124.86000061035156
33,33,2019-03-25,124.75
34,34,2019-03-26,125.26000213623048
35,35,2019-03-27,126.12999725341795
36,36,2019-03-28,125.9800033569336
37,37,2019-03-29,126.1500015258789
38,38,2019-04-01,127.87999725341795
39,39,2019-04-02,127.36000061035156
40,40,2019-04-03,126.81999969482422
41,41,2019-04-04,129.69000244140625
42,42,2019-04-05,131.58999633789062
43,43,2019-04-08,132.75
44,44,2019-04-09,131.30999755859375
45,45,2019-04-10,131.1999969482422
46,46,2019-04-11,131.39999389648438
47,47,2019-04-12,132.1300048828125
48,48,2019-04-15,131.5800018310547
49,49,2019-04-16,131.10000610351562
50,50,2019-04-17,130.8699951171875
51,51,2019-04-18,131.77000427246094
52,52,2019-04-22,131.39999389648438
53,53,2019-04-23,134.13999938964844
54,54,2019-04-24,134.16000366210938
55,55,2019-04-25,130.7100067138672
56,56,2019-04-26,127.0
57,57,2019-04-29,130.55999755859375
58,58,2019-04-30,136.25
59,59,2019-05-01,135.35000610351562
60,60,2019-05-02,135.8300018310547
61,61,2019-05-03,139.08999633789062
62,62,2019-05-06,137.77999877929688
63,63,2019-05-07,136.4600067138672
64,64,2019-05-08,134.0399932861328
65,65,2019-05-09,132.83999633789062
66,66,2019-05-10,135.36000061035156
67,67,2019-05-13,131.16000366210938
68,68,2019-05-14,134.2100067138672
69,69,2019-05-15,135.97000122070312
70,70,2019-05-16,140.30999755859375
71,71,2019-05-17,138.69000244140625
72,72,2019-05-20,137.1199951171875
73,73,2019-05-21,141.02999877929688
74,74,2019-05-22,140.49000549316406
