,Date,LLY
103,2019-07-02 00:00:00-04:00,106.52073669433594
104,2019-07-03 00:00:00-04:00,106.72593688964844
105,2019-07-05 00:00:00-04:00,105.23353576660156
106,2019-07-08 00:00:00-04:00,104.02095031738281
107,2019-07-09 00:00:00-04:00,105.47605895996094
108,2019-07-10 00:00:00-04:00,106.82852935791016
109,2019-07-11 00:00:00-04:00,102.43526458740234
110,2019-07-12 00:00:00-04:00,101.00814819335938
111,2019-07-15 00:00:00-04:00,101.17605590820312
112,2019-07-16 00:00:00-04:00,101.50250244140625
113,2019-07-17 00:00:00-04:00,99.88882446289062
114,2019-07-18 00:00:00-04:00,101.05477905273438
115,2019-07-19 00:00:00-04:00,99.6090087890625
116,2019-07-22 00:00:00-04:00,100.05673217773438
117,2019-07-23 00:00:00-04:00,100.94285583496094
118,2019-07-24 00:00:00-04:00,101.2226791381836
119,2019-07-25 00:00:00-04:00,100.56974029541016
120,2019-07-26 00:00:00-04:00,100.98949432373047
121,2019-07-29 00:00:00-04:00,101.40922546386719
122,2019-07-30 00:00:00-04:00,101.38123321533203
123,2019-07-31 00:00:00-04:00,101.6237564086914
124,2019-08-01 00:00:00-04:00,103.078857421875
125,2019-08-02 00:00:00-04:00,104.86040496826172
126,2019-08-05 00:00:00-04:00,101.39986419677734
127,2019-08-06 00:00:00-04:00,103.90901947021484
128,2019-08-07 00:00:00-04:00,103.6478500366211
129,2019-08-08 00:00:00-04:00,106.30619812011719
130,2019-08-09 00:00:00-04:00,106.1196517944336
131,2019-08-12 00:00:00-04:00,105.96107482910156
132,2019-08-13 00:00:00-04:00,107.91986846923828
133,2019-08-14 00:00:00-04:00,103.45037078857422
134,2019-08-15 00:00:00-04:00,103.39408874511719
135,2019-08-16 00:00:00-04:00,103.66609954833984
136,2019-08-19 00:00:00-04:00,105.55145263671875
137,2019-08-20 00:00:00-04:00,104.1257095336914
138,2019-08-21 00:00:00-04:00,104.54780578613281
139,2019-08-22 00:00:00-04:00,104.6884994506836
140,2019-08-23 00:00:00-04:00,102.71874237060547
141,2019-08-26 00:00:00-04:00,104.84796142578125
142,2019-08-27 00:00:00-04:00,103.8630599975586
143,2019-08-28 00:00:00-04:00,104.08819580078125
144,2019-08-29 00:00:00-04:00,105.28880310058594
145,2019-08-30 00:00:00-04:00,105.96417236328125
146,2019-09-03 00:00:00-04:00,106.89277648925781
147,2019-09-04 00:00:00-04:00,106.22679901123047
148,2019-09-05 00:00:00-04:00,107.49308013916016
149,2019-09-06 00:00:00-04:00,106.9771957397461
150,2019-09-09 00:00:00-04:00,104.1819839477539
151,2019-09-10 00:00:00-04:00,104.21013641357422
152,2019-09-11 00:00:00-04:00,104.76354217529297
153,2019-09-12 00:00:00-04:00,104.55718994140625
154,2019-09-13 00:00:00-04:00,104.01314544677734
155,2019-09-16 00:00:00-04:00,103.30029296875
156,2019-09-17 00:00:00-04:00,104.22889709472656
157,2019-09-18 00:00:00-04:00,105.72967529296875
158,2019-09-19 00:00:00-04:00,107.25858306884766
159,2019-09-20 00:00:00-04:00,108.95633697509766
160,2019-09-23 00:00:00-04:00,107.09911346435547
161,2019-09-24 00:00:00-04:00,106.22679901123047
162,2019-09-25 00:00:00-04:00,104.48213958740234
163,2019-09-26 00:00:00-04:00,104.88549041748047
164,2019-09-27 00:00:00-04:00,105.40137481689453
165,2019-09-30 00:00:00-04:00,104.89486694335938
166,2019-10-01 00:00:00-04:00,104.07881164550781
167,2019-10-02 00:00:00-04:00,100.36439514160156
168,2019-10-03 00:00:00-04:00,100.63639831542969
169,2019-10-04 00:00:00-04:00,101.48997497558594
170,2019-10-07 00:00:00-04:00,101.1429214477539
171,2019-10-08 00:00:00-04:00,100.5426254272461
172,2019-10-09 00:00:00-04:00,100.64579772949219
173,2019-10-10 00:00:00-04:00,100.28935241699219
174,2019-10-11 00:00:00-04:00,101.64006042480469
175,2019-10-14 00:00:00-04:00,101.20858001708984
176,2019-10-15 00:00:00-04:00,102.89693450927734
177,2019-10-16 00:00:00-04:00,101.25547790527344
178,2019-10-17 00:00:00-04:00,101.73385620117188
179,2019-10-18 00:00:00-04:00,101.90269470214844
180,2019-10-21 00:00:00-04:00,101.21795654296875
181,2019-10-22 00:00:00-04:00,103.02827453613281
182,2019-10-23 00:00:00-04:00,100.73958587646484
183,2019-10-24 00:00:00-04:00,101.15230560302734
184,2019-10-25 00:00:00-04:00,103.36592864990234
185,2019-10-28 00:00:00-04:00,105.98291015625
186,2019-10-29 00:00:00-04:00,104.74478149414062
187,2019-10-30 00:00:00-04:00,105.72967529296875
188,2019-10-31 00:00:00-04:00,106.88337707519531
189,2019-11-01 00:00:00-04:00,105.53268432617188
190,2019-11-04 00:00:00-05:00,106.09546661376953
191,2019-11-05 00:00:00-05:00,104.35083770751953
192,2019-11-06 00:00:00-05:00,106.76145935058594
193,2019-11-07 00:00:00-05:00,105.77656555175781
194,2019-11-08 00:00:00-05:00,106.48943328857422
195,2019-11-11 00:00:00-05:00,105.80471801757812
196,2019-11-12 00:00:00-05:00,106.1517562866211
197,2019-11-13 00:00:00-05:00,105.79533386230469
198,2019-11-14 00:00:00-05:00,105.08307647705078
199,2019-11-15 00:00:00-05:00,106.78117370605469
200,2019-11-18 00:00:00-05:00,107.61133575439453
201,2019-11-19 00:00:00-05:00,108.5830078125
202,2019-11-20 00:00:00-05:00,108.12077331542969
203,2019-11-21 00:00:00-05:00,108.25282287597656
204,2019-11-22 00:00:00-05:00,109.6207275390625
205,2019-11-25 00:00:00-05:00,110.8188247680664
206,2019-11-26 00:00:00-05:00,110.46034240722656
207,2019-11-27 00:00:00-05:00,110.79051971435547
208,2019-11-29 00:00:00-05:00,110.70561981201172
209,2019-12-02 00:00:00-05:00,110.13015747070312
210,2019-12-03 00:00:00-05:00,110.9509048461914
211,2019-12-04 00:00:00-05:00,111.95087432861328
212,2019-12-05 00:00:00-05:00,112.98859405517578
213,2019-12-06 00:00:00-05:00,112.86595916748047
214,2019-12-09 00:00:00-05:00,113.4319839477539
215,2019-12-10 00:00:00-05:00,113.81877899169922
216,2019-12-11 00:00:00-05:00,113.94141387939453
217,2019-12-12 00:00:00-05:00,114.80931854248047
218,2019-12-13 00:00:00-05:00,114.64895629882812
219,2019-12-16 00:00:00-05:00,115.89421844482422
220,2019-12-17 00:00:00-05:00,118.23380279541016
221,2019-12-18 00:00:00-05:00,122.1488037109375
222,2019-12-19 00:00:00-05:00,123.44124603271484
223,2019-12-20 00:00:00-05:00,124.93177032470703
224,2019-12-23 00:00:00-05:00,123.7242431640625
225,2019-12-24 00:00:00-05:00,123.68653106689453
226,2019-12-26 00:00:00-05:00,123.71482849121094
227,2019-12-27 00:00:00-05:00,124.07331848144531
228,2019-12-30 00:00:00-05:00,123.86577606201172
229,2019-12-31 00:00:00-05:00,123.98841094970703
230,2020-01-02 00:00:00-05:00,124.7242660522461
231,2020-01-03 00:00:00-05:00,124.30913543701172
232,2020-01-06 00:00:00-05:00,124.77140808105469
233,2020-01-07 00:00:00-05:00,125.00724029541016
234,2020-01-08 00:00:00-05:00,126.13932800292969
235,2020-01-09 00:00:00-05:00,128.22418212890625
236,2020-01-10 00:00:00-05:00,130.18643188476562
237,2020-01-13 00:00:00-05:00,131.0731964111328
238,2020-01-14 00:00:00-05:00,132.6864013671875
239,2020-01-15 00:00:00-05:00,133.12033081054688
240,2020-01-16 00:00:00-05:00,133.42221069335938
241,2020-01-17 00:00:00-05:00,131.6769561767578
242,2020-01-21 00:00:00-05:00,132.93165588378906
243,2020-01-22 00:00:00-05:00,133.5448455810547
244,2020-01-23 00:00:00-05:00,133.21470642089844
245,2020-01-24 00:00:00-05:00,131.19583129882812
246,2020-01-27 00:00:00-05:00,130.47885131835938
247,2020-01-28 00:00:00-05:00,131.37506103515625
248,2020-01-29 00:00:00-05:00,131.99769592285156
249,2020-01-30 00:00:00-05:00,134.59201049804688
250,2020-01-31 00:00:00-05:00,131.73355102539062
251,2020-02-03 00:00:00-05:00,133.0165557861328
252,2020-02-04 00:00:00-05:00,135.3184051513672
253,2020-02-05 00:00:00-05:00,139.00701904296875
