,Unnamed: 0,Date,NSC
0,0,2019-02-05,152.85848999023438
1,1,2019-02-06,152.94900512695312
2,2,2019-02-07,154.29766845703125
3,3,2019-02-08,155.1937713623047
4,4,2019-02-11,160.1628875732422
5,5,2019-02-12,163.47567749023438
6,6,2019-02-13,163.7833709716797
7,7,2019-02-14,164.4894256591797
8,8,2019-02-15,165.521240234375
9,9,2019-02-19,165.42169189453125
10,10,2019-02-20,166.0824432373047
11,11,2019-02-21,165.58465576171875
12,12,2019-02-22,165.91050720214844
13,13,2019-02-25,164.19979858398438
14,14,2019-02-26,163.38516235351562
15,15,2019-02-27,163.66578674316406
16,16,2019-02-28,162.2899169921875
17,17,2019-03-01,161.90074157714844
18,18,2019-03-04,162.74253845214844
19,19,2019-03-05,160.96844482421875
20,20,2019-03-06,161.96412658691406
21,21,2019-03-07,161.7559356689453
22,22,2019-03-08,160.00901794433594
23,23,2019-03-11,163.68385314941406
24,24,2019-03-12,162.335205078125
25,25,2019-03-13,162.7334747314453
26,26,2019-03-14,162.00938415527344
27,27,2019-03-15,162.4890899658203
28,28,2019-03-18,165.21351623535156
29,29,2019-03-19,161.81927490234375
30,30,2019-03-20,161.34861755371094
31,31,2019-03-21,163.47567749023438
32,32,2019-03-22,161.0589599609375
33,33,2019-03-25,162.7515869140625
34,34,2019-03-26,164.21786499023438
35,35,2019-03-27,165.11398315429688
36,36,2019-03-28,168.7073211669922
37,37,2019-03-29,169.15992736816406
38,38,2019-04-01,175.1790313720703
39,39,2019-04-02,174.6902618408203
40,40,2019-04-03,174.03854370117188
41,41,2019-04-04,173.3415985107422
42,42,2019-04-05,173.95709228515625
43,43,2019-04-08,175.62249755859375
44,44,2019-04-09,174.46397399902344
45,45,2019-04-10,174.33721923828125
46,46,2019-04-11,174.85317993164062
47,47,2019-04-12,177.54141235351562
48,48,2019-04-15,175.34193420410156
49,49,2019-04-16,174.88938903808594
50,50,2019-04-17,178.40126037597656
51,51,2019-04-18,179.74087524414062
52,52,2019-04-22,182.37486267089844
53,53,2019-04-23,182.5377197265625
54,54,2019-04-24,187.09051513671875
55,55,2019-04-25,183.56956481933597
56,56,2019-04-26,184.77337646484372
57,57,2019-04-29,183.5967712402344
58,58,2019-04-30,184.664794921875
59,59,2019-05-01,181.2072296142578
60,60,2019-05-02,182.8343811035156
61,61,2019-05-03,186.4068756103516
62,62,2019-05-06,185.6796112060547
63,63,2019-05-07,182.888916015625
64,64,2019-05-08,183.21615600585935
65,65,2019-05-09,184.27066040039065
66,66,2019-05-10,184.1615447998047
67,67,2019-05-13,178.9073486328125
68,68,2019-05-14,182.2889404296875
69,69,2019-05-15,182.53440856933597
70,70,2019-05-16,186.5523376464844
71,71,2019-05-17,185.00694274902344
72,72,2019-05-20,185.87962341308597
73,73,2019-05-21,186.02505493164065
74,74,2019-05-22,184.9615020751953
75,75,2019-05-23,181.76171875
76,76,2019-05-24,181.1435394287109
77,77,2019-05-28,179.68910217285156
78,78,2019-05-29,177.43467712402344
79,79,2019-05-30,180.10723876953125
80,80,2019-05-31,177.3892364501953
81,81,2019-06-03,178.48007202148438
82,82,2019-06-04,182.91616821289065
83,83,2019-06-05,184.49789428710935
84,84,2019-06-06,181.6798553466797
85,85,2019-06-07,184.57058715820312
86,86,2019-06-10,183.08889770507807
87,87,2019-06-11,180.8708648681641
88,88,2019-06-12,181.1071929931641
89,89,2019-06-13,178.63461303710938
90,90,2019-06-14,177.02561950683594
91,91,2019-06-17,173.41677856445312
92,92,2019-06-18,175.84384155273438
93,93,2019-06-19,174.89849853515625
94,94,2019-06-20,178.45278930664062
95,95,2019-06-21,179.25277709960938
96,96,2019-06-24,175.67115783691406
97,97,2019-06-25,174.77122497558594
98,98,2019-06-26,175.2529754638672
99,99,2019-06-27,175.8075408935547
100,100,2019-06-28,181.19810485839844
101,101,2019-07-01,182.64344787597656
102,102,2019-07-02,182.2071075439453
103,103,2019-07-03,184.0888214111328
104,104,2019-07-05,182.6616668701172
105,105,2019-07-08,180.8435821533203
106,106,2019-07-09,179.72543334960938
107,107,2019-07-10,180.1799774169922
108,108,2019-07-11,183.17068481445312
109,109,2019-07-12,187.17042541503903
110,110,2019-07-15,185.54327392578125
111,111,2019-07-16,187.67953491210935
112,112,2019-07-17,173.64402770996094
113,113,2019-07-18,178.0437469482422
114,114,2019-07-19,177.43467712402344
115,115,2019-07-22,178.44374084472656
116,116,2019-07-23,178.78005981445312
117,117,2019-07-24,168.1625518798828
118,118,2019-07-25,170.49874877929688
119,119,2019-07-26,172.70770263671875
120,120,2019-07-29,174.5257568359375
121,121,2019-07-30,174.9984588623047
122,122,2019-07-31,173.73492431640625
123,123,2019-08-01,169.06246948242188
124,124,2019-08-02,166.3032684326172
125,125,2019-08-05,164.39369201660156
126,126,2019-08-06,165.70025634765625
127,127,2019-08-07,163.57139587402344
128,128,2019-08-08,164.9236297607422
129,129,2019-08-09,162.35623168945312
130,130,2019-08-12,159.45997619628906
131,131,2019-08-13,162.1735382080078
132,132,2019-08-14,156.31700134277344
133,133,2019-08-15,155.18405151367188
134,134,2019-08-16,158.06207275390625
135,135,2019-08-19,159.3137664794922
136,136,2019-08-20,156.98399353027344
137,137,2019-08-21,159.1584930419922
138,138,2019-08-22,158.78384399414062
139,139,2019-08-23,154.6632843017578
140,140,2019-08-26,156.55455017089844
141,141,2019-08-27,155.2754364013672
142,142,2019-08-28,157.5595703125
143,143,2019-08-29,159.38687133789062
144,144,2019-08-30,159.0214080810547
145,145,2019-09-03,156.10687255859375
