,Date,NDSN
103,2019-07-02 00:00:00-04:00,134.03863525390625
104,2019-07-03 00:00:00-04:00,134.85247802734375
105,2019-07-05 00:00:00-04:00,132.76515197753906
106,2019-07-08 00:00:00-04:00,130.50552368164062
107,2019-07-09 00:00:00-04:00,129.42356872558594
108,2019-07-10 00:00:00-04:00,128.72459411621094
109,2019-07-11 00:00:00-04:00,130.00762939453125
110,2019-07-12 00:00:00-04:00,132.96624755859375
111,2019-07-15 00:00:00-04:00,133.0715789794922
112,2019-07-16 00:00:00-04:00,133.9333038330078
113,2019-07-17 00:00:00-04:00,132.3151397705078
114,2019-07-18 00:00:00-04:00,130.99380493164062
115,2019-07-19 00:00:00-04:00,131.6640625
116,2019-07-22 00:00:00-04:00,132.5066375732422
117,2019-07-23 00:00:00-04:00,134.23013305664062
118,2019-07-24 00:00:00-04:00,136.96856689453125
119,2019-07-25 00:00:00-04:00,135.388671875
120,2019-07-26 00:00:00-04:00,135.80043029785156
121,2019-07-29 00:00:00-04:00,133.77053833007812
122,2019-07-30 00:00:00-04:00,136.46109008789062
123,2019-07-31 00:00:00-04:00,135.6376190185547
124,2019-08-01 00:00:00-04:00,132.6407012939453
125,2019-08-02 00:00:00-04:00,129.65333557128906
126,2019-08-05 00:00:00-04:00,126.38833618164062
127,2019-08-06 00:00:00-04:00,127.62346649169922
128,2019-08-07 00:00:00-04:00,128.7532958984375
129,2019-08-08 00:00:00-04:00,133.3205108642578
130,2019-08-09 00:00:00-04:00,132.40133666992188
131,2019-08-12 00:00:00-04:00,130.41934204101562
132,2019-08-13 00:00:00-04:00,132.975830078125
133,2019-08-14 00:00:00-04:00,127.77669525146484
134,2019-08-15 00:00:00-04:00,126.65641784667969
135,2019-08-16 00:00:00-04:00,131.0225830078125
136,2019-08-19 00:00:00-04:00,131.3672637939453
137,2019-08-20 00:00:00-04:00,129.72036743164062
138,2019-08-21 00:00:00-04:00,127.40326690673828
139,2019-08-22 00:00:00-04:00,129.08843994140625
140,2019-08-23 00:00:00-04:00,125.27760314941406
141,2019-08-26 00:00:00-04:00,126.1706771850586
142,2019-08-27 00:00:00-04:00,127.65911102294922
143,2019-08-28 00:00:00-04:00,127.90876770019531
144,2019-08-29 00:00:00-04:00,130.19422912597656
145,2019-08-30 00:00:00-04:00,130.5591278076172
146,2019-09-03 00:00:00-04:00,126.55476379394531
147,2019-09-04 00:00:00-04:00,128.16807556152344
148,2019-09-05 00:00:00-04:00,133.2287139892578
149,2019-09-06 00:00:00-04:00,132.9310302734375
150,2019-09-09 00:00:00-04:00,136.66651916503906
151,2019-09-10 00:00:00-04:00,139.5953369140625
152,2019-09-11 00:00:00-04:00,141.59274291992188
153,2019-09-12 00:00:00-04:00,140.9685516357422
154,2019-09-13 00:00:00-04:00,140.45001220703125
155,2019-09-16 00:00:00-04:00,139.51852416992188
156,2019-09-17 00:00:00-04:00,140.1042938232422
157,2019-09-18 00:00:00-04:00,139.23045349121094
158,2019-09-19 00:00:00-04:00,139.5569305419922
159,2019-09-20 00:00:00-04:00,137.99168395996094
160,2019-09-23 00:00:00-04:00,139.51852416992188
161,2019-09-24 00:00:00-04:00,137.32908630371094
162,2019-09-25 00:00:00-04:00,139.4512939453125
163,2019-09-26 00:00:00-04:00,138.884765625
164,2019-09-27 00:00:00-04:00,138.53903198242188
165,2019-09-30 00:00:00-04:00,140.45001220703125
166,2019-10-01 00:00:00-04:00,136.2919921875
167,2019-10-02 00:00:00-04:00,132.47007751464844
