,Unnamed: 0,Date,TXT
0,0,2019-02-05,53.98542404174805
1,1,2019-02-06,53.717384338378906
2,2,2019-02-07,52.68492889404297
3,3,2019-02-08,52.198486328125
4,4,2019-02-11,52.36725234985352
5,5,2019-02-12,53.39971160888672
6,6,2019-02-13,54.15418243408203
7,7,2019-02-14,53.60818099975586
8,8,2019-02-15,54.42222595214844
9,9,2019-02-19,54.20382308959961
10,10,2019-02-20,54.591007232666016
11,11,2019-02-21,54.29317092895508
12,12,2019-02-22,54.660491943359375
13,13,2019-02-25,54.63071060180664
14,14,2019-02-26,54.084693908691406
15,15,2019-02-27,54.32295608520508
16,16,2019-02-28,53.90599822998047
17,17,2019-03-01,54.03505706787109
18,18,2019-03-04,53.72731399536133
19,19,2019-03-05,53.250789642333984
20,20,2019-03-06,52.46652221679688
21,21,2019-03-07,51.53334426879883
22,22,2019-03-08,50.72921752929688
23,23,2019-03-11,51.70211410522461
24,24,2019-03-12,51.55320358276367
25,25,2019-03-13,51.98008728027344
26,26,2019-03-14,51.42393493652344
27,27,2019-03-15,51.42393493652344
28,28,2019-03-18,52.16876983642578
29,29,2019-03-19,51.67220687866211
30,30,2019-03-20,51.05647277832031
31,31,2019-03-21,51.50337600708008
32,32,2019-03-22,49.62637710571289
33,33,2019-03-25,49.556861877441406
34,34,2019-03-26,49.65616989135742
35,35,2019-03-27,49.43767547607422
36,36,2019-03-28,49.75548553466797
37,37,2019-03-29,50.31162643432617
38,38,2019-04-01,51.22531127929688
39,39,2019-04-02,50.51025390625
40,40,2019-04-03,50.1229362487793
41,41,2019-04-04,50.77839660644531
42,42,2019-04-05,51.10612106323242
43,43,2019-04-08,51.14584732055664
44,44,2019-04-09,50.09314727783203
45,45,2019-04-10,50.11301040649414
46,46,2019-04-11,50.42087173461914
47,47,2019-04-12,51.28488540649414
48,48,2019-04-15,51.05647277832031
49,49,2019-04-16,51.78145599365234
50,50,2019-04-17,53.85708999633789
51,51,2019-04-18,54.770755767822266
52,52,2019-04-22,53.54920959472656
53,53,2019-04-23,53.90673828125
54,54,2019-04-24,53.85708999633789
55,55,2019-04-25,52.97321319580078
56,56,2019-04-26,53.23141479492188
57,57,2019-04-29,53.12217330932617
58,58,2019-04-30,52.63553237915039
59,59,2019-05-01,52.49650192260742
60,60,2019-05-02,52.12904739379883
61,61,2019-05-03,52.933475494384766
62,62,2019-05-06,52.82421875
63,63,2019-05-07,51.4040641784668
64,64,2019-05-08,51.38421249389648
65,65,2019-05-09,50.49039459228516
66,66,2019-05-10,51.13592147827149
67,67,2019-05-13,48.76235580444336
68,68,2019-05-14,49.745548248291016
69,69,2019-05-15,49.745548248291016
70,70,2019-05-16,50.62942886352539
71,71,2019-05-17,48.76235580444336
72,72,2019-05-20,48.30552291870117
73,73,2019-05-21,49.08015441894531
74,74,2019-05-22,48.3651123046875
75,75,2019-05-23,47.10383605957031
76,76,2019-05-24,47.23295211791992
77,77,2019-05-28,46.468238830566406
78,78,2019-05-29,46.13057327270508
79,79,2019-05-30,45.822715759277344
80,80,2019-05-31,44.98849487304688
81,81,2019-06-03,45.99153900146485
82,82,2019-06-04,48.0572395324707
83,83,2019-06-05,48.20621109008789
84,84,2019-06-06,48.04731750488281
85,85,2019-06-07,48.77228546142578
86,86,2019-06-10,49.229122161865234
87,87,2019-06-11,48.32537841796875
88,88,2019-06-12,48.41475677490234
89,89,2019-06-13,49.40827941894531
90,90,2019-06-14,49.13011169433594
91,91,2019-06-17,48.95126724243164
92,92,2019-06-18,50.64027404785156
93,93,2019-06-19,50.68000411987305
94,94,2019-06-20,52.13056945800781
95,95,2019-06-21,51.57419204711914
96,96,2019-06-24,51.47484588623047
97,97,2019-06-25,51.276123046875
98,98,2019-06-26,51.057559967041016
99,99,2019-06-27,51.53445053100586
100,100,2019-06-28,52.69688415527344
101,101,2019-07-01,52.78630447387695
102,102,2019-07-02,52.52798080444336
103,103,2019-07-03,52.547847747802734
104,104,2019-07-05,52.80616760253906
105,105,2019-07-08,52.33920669555664
106,106,2019-07-09,52.99495315551758
107,107,2019-07-10,52.08089447021485
108,108,2019-07-11,52.18024444580078
109,109,2019-07-12,53.2631950378418
110,110,2019-07-15,53.08436965942383
111,111,2019-07-16,53.68048095703125
112,112,2019-07-17,48.56379699707031
113,113,2019-07-18,48.53398895263672
114,114,2019-07-19,48.822113037109375
115,115,2019-07-22,49.45796585083008
116,116,2019-07-23,50.719757080078125
117,117,2019-07-24,51.77289962768555
118,118,2019-07-25,50.46144485473633
119,119,2019-07-26,49.7162971496582
120,120,2019-07-29,49.53745269775391
121,121,2019-07-30,50.01435089111328
122,122,2019-07-31,48.9810676574707
123,123,2019-08-01,47.69941329956055
124,124,2019-08-02,46.72576522827149
125,125,2019-08-05,46.34822082519531
126,126,2019-08-06,47.17285537719727
127,127,2019-08-07,46.79530715942383
128,128,2019-08-08,47.937870025634766
129,129,2019-08-09,46.46744918823242
130,130,2019-08-12,45.09637451171875
131,131,2019-08-13,45.09637451171875
132,132,2019-08-14,42.900665283203125
133,133,2019-08-15,43.07949447631836
134,134,2019-08-16,44.07304763793945
135,135,2019-08-19,44.9076042175293
136,136,2019-08-20,44.47044372558594
137,137,2019-08-21,44.78837203979492
138,138,2019-08-22,44.569801330566406
139,139,2019-08-23,42.79137420654297
140,140,2019-08-26,43.029823303222656
141,141,2019-08-27,42.49332046508789
142,142,2019-08-28,43.11923599243164
143,143,2019-08-29,44.301544189453125
144,144,2019-08-30,44.70888519287109
145,145,2019-09-03,43.357688903808594
