,Date,AXP
103,2019-07-02 00:00:00-04:00,116.99076843261719
104,2019-07-03 00:00:00-04:00,118.06959533691406
105,2019-07-05 00:00:00-04:00,117.63807678222656
106,2019-07-08 00:00:00-04:00,117.12210083007812
107,2019-07-09 00:00:00-04:00,118.10712432861328
108,2019-07-10 00:00:00-04:00,119.03583526611328
109,2019-07-11 00:00:00-04:00,119.40169525146484
110,2019-07-12 00:00:00-04:00,120.03961944580078
111,2019-07-15 00:00:00-04:00,120.61186981201172
112,2019-07-16 00:00:00-04:00,120.1334228515625
113,2019-07-17 00:00:00-04:00,119.21408081054688
114,2019-07-18 00:00:00-04:00,120.4523696899414
115,2019-07-19 00:00:00-04:00,117.0939712524414
116,2019-07-22 00:00:00-04:00,118.20091247558594
117,2019-07-23 00:00:00-04:00,120.2647476196289
118,2019-07-24 00:00:00-04:00,120.03021240234375
119,2019-07-25 00:00:00-04:00,119.27974700927734
120,2019-07-26 00:00:00-04:00,118.93265533447266
121,2019-07-29 00:00:00-04:00,119.31729125976562
122,2019-07-30 00:00:00-04:00,118.64183807373047
123,2019-07-31 00:00:00-04:00,116.67184448242188
124,2019-08-01 00:00:00-04:00,116.4091567993164
125,2019-08-02 00:00:00-04:00,116.61553955078125
126,2019-08-05 00:00:00-04:00,113.24775695800781
127,2019-08-06 00:00:00-04:00,114.9644775390625
128,2019-08-07 00:00:00-04:00,115.89318084716797
129,2019-08-08 00:00:00-04:00,117.53486633300781
130,2019-08-09 00:00:00-04:00,118.36040496826172
131,2019-08-12 00:00:00-04:00,116.27781677246094
132,2019-08-13 00:00:00-04:00,118.50112915039062
133,2019-08-14 00:00:00-04:00,115.05829620361328
134,2019-08-15 00:00:00-04:00,114.80499267578125
135,2019-08-16 00:00:00-04:00,116.91571807861328
136,2019-08-19 00:00:00-04:00,116.69996643066406
137,2019-08-20 00:00:00-04:00,113.90441131591797
138,2019-08-21 00:00:00-04:00,114.91757202148438
139,2019-08-22 00:00:00-04:00,114.70179748535156
140,2019-08-23 00:00:00-04:00,110.4709701538086
141,2019-08-26 00:00:00-04:00,111.19329833984375
142,2019-08-27 00:00:00-04:00,110.46157836914062
143,2019-08-28 00:00:00-04:00,111.71863555908203
144,2019-08-29 00:00:00-04:00,113.2665023803711
145,2019-08-30 00:00:00-04:00,112.91940307617188
146,2019-09-03 00:00:00-04:00,110.32084655761719
147,2019-09-04 00:00:00-04:00,111.07134246826172
148,2019-09-05 00:00:00-04:00,113.20083618164062
149,2019-09-06 00:00:00-04:00,112.75054931640625
150,2019-09-09 00:00:00-04:00,112.49726104736328
151,2019-09-10 00:00:00-04:00,110.04882049560547
152,2019-09-11 00:00:00-04:00,110.69612884521484
153,2019-09-12 00:00:00-04:00,111.65296173095703
154,2019-09-13 00:00:00-04:00,111.82182312011719
155,2019-09-16 00:00:00-04:00,110.3583984375
156,2019-09-17 00:00:00-04:00,111.68112182617188
157,2019-09-18 00:00:00-04:00,111.39031219482422
158,2019-09-19 00:00:00-04:00,110.49911499023438
159,2019-09-20 00:00:00-04:00,109.57039642333984
160,2019-09-23 00:00:00-04:00,110.92124938964844
161,2019-09-24 00:00:00-04:00,110.8555908203125
162,2019-09-25 00:00:00-04:00,111.74678039550781
163,2019-09-26 00:00:00-04:00,111.54978942871094
164,2019-09-27 00:00:00-04:00,111.24958801269531
165,2019-09-30 00:00:00-04:00,110.9587631225586
166,2019-10-01 00:00:00-04:00,109.47657012939453
167,2019-10-02 00:00:00-04:00,105.87425994873047
168,2019-10-03 00:00:00-04:00,105.98725891113281
169,2019-10-04 00:00:00-04:00,107.73881530761719
