,Unnamed: 0,Date,HON
0,0,2019-02-05,134.20947265625
1,1,2019-02-06,134.39898681640625
2,2,2019-02-07,133.72210693359375
3,3,2019-02-08,134.1372528076172
4,4,2019-02-11,134.01995849609375
5,5,2019-02-12,135.71685791015625
6,6,2019-02-13,136.727783203125
7,7,2019-02-14,135.8612518310547
8,8,2019-02-15,138.38864135742188
9,9,2019-02-19,138.3524627685547
10,10,2019-02-20,139.52589416503906
11,11,2019-02-21,138.48231506347656
12,12,2019-02-22,139.01773071289062
13,13,2019-02-25,139.79812622070312
14,14,2019-02-26,139.67108154296875
15,15,2019-02-27,140.2881317138672
16,16,2019-02-28,139.8071746826172
17,17,2019-03-01,141.30447387695312
18,18,2019-03-04,140.1973419189453
19,19,2019-03-05,139.87974548339844
20,20,2019-03-06,139.5077362060547
21,21,2019-03-07,138.36436462402344
22,22,2019-03-08,137.5567626953125
23,23,2019-03-11,139.00863647460938
24,24,2019-03-12,139.28994750976562
25,25,2019-03-13,140.68739318847656
26,26,2019-03-14,140.87794494628906
27,27,2019-03-15,140.96865844726562
28,28,2019-03-18,142.40240478515625
29,29,2019-03-19,142.6837158203125
30,30,2019-03-20,141.82164001464844
31,31,2019-03-21,143.78173828125
32,32,2019-03-22,141.40426635742188
33,33,2019-03-25,141.4949951171875
34,34,2019-03-26,142.9014892578125
35,35,2019-03-27,142.56578063964844
36,36,2019-03-28,143.8633575439453
37,37,2019-03-29,144.20822143554688
38,38,2019-04-01,146.52212524414062
39,39,2019-04-02,146.13194274902344
40,40,2019-04-03,145.45135498046875
41,41,2019-04-04,146.15919494628906
42,42,2019-04-05,146.73085021972656
43,43,2019-04-08,147.0575408935547
44,44,2019-04-09,145.9595489501953
45,45,2019-04-10,145.16102600097656
46,46,2019-04-11,146.00491333007812
47,47,2019-04-12,147.42955017089844
48,48,2019-04-15,147.0030517578125
49,49,2019-04-16,147.78346252441406
50,50,2019-04-17,147.8107147216797
51,51,2019-04-18,153.40951538085938
52,52,2019-04-22,152.6654510498047
53,53,2019-04-23,155.90489196777344
54,54,2019-04-24,155.4330291748047
55,55,2019-04-25,154.64361572265625
56,56,2019-04-26,156.30421447753906
57,57,2019-04-29,156.57643127441406
58,58,2019-04-30,157.55642700195312
59,59,2019-05-01,155.115478515625
60,60,2019-05-02,155.5147705078125
61,61,2019-05-03,157.47476196289062
62,62,2019-05-06,156.630859375
63,63,2019-05-07,154.12635803222656
64,64,2019-05-08,154.58914184570312
65,65,2019-05-09,154.6164093017578
66,66,2019-05-10,155.74154663085938
67,67,2019-05-13,151.37686157226562
68,68,2019-05-14,152.59278869628906
69,69,2019-05-15,153.69985961914062
