,Unnamed: 0.1,Unnamed: 0,Date,EQR,EQR_6m,EQR_12m
0,0,0,2019-02-05,60.91095733642578,,
1,1,1,2019-02-06,60.95269775390625,,
2,2,2,2019-02-07,61.403587341308594,,
3,3,3,2019-02-08,61.320091247558594,,
4,4,4,2019-02-11,61.3367805480957,,
5,5,5,2019-02-12,60.568603515625,,
6,6,6,2019-02-13,61.19484329223633,60.91095733642578,
7,7,7,2019-02-14,61.05289077758789,60.95269775390625,
8,8,8,2019-02-15,61.128055572509766,61.403587341308594,
9,9,9,2019-02-19,61.39523696899414,61.320091247558594,
10,10,10,2019-02-20,60.685523986816406,61.3367805480957,
11,11,11,2019-02-21,61.670780181884766,60.568603515625,
12,12,12,2019-02-22,61.97972106933594,61.19484329223633,60.91095733642578
13,13,13,2019-02-25,61.37017440795898,61.05289077758789,60.95269775390625
14,14,14,2019-02-26,61.55387115478516,61.128055572509766,61.403587341308594
15,15,15,2019-02-27,61.22824096679688,61.39523696899414,61.320091247558594
16,16,16,2019-02-28,61.5288314819336,60.685523986816406,61.3367805480957
17,17,17,2019-03-01,61.37017440795898,61.670780181884766,60.568603515625
18,18,18,2019-03-04,61.77096176147461,61.97972106933594,61.19484329223633
19,19,19,2019-03-05,61.72923278808594,61.37017440795898,61.05289077758789
20,20,20,2019-03-06,61.41193389892578,61.55387115478516,61.128055572509766
21,21,21,2019-03-07,61.311744689941406,61.22824096679688,61.39523696899414
22,22,22,2019-03-08,61.48708724975586,61.5288314819336,60.685523986816406
23,23,23,2019-03-11,62.15507125854492,61.37017440795898,61.670780181884766
24,24,24,2019-03-12,62.66438293457031,61.77096176147461,61.97972106933594
25,25,25,2019-03-13,62.54749298095703,61.72923278808594,61.37017440795898
26,26,26,2019-03-14,62.67273712158203,61.41193389892578,61.55387115478516
27,27,27,2019-03-15,62.42225646972656,61.311744689941406,61.22824096679688
28,28,28,2019-03-18,61.77096176147461,61.48708724975586,61.5288314819336
29,29,29,2019-03-19,61.37017440795898,62.15507125854492,61.37017440795898
30,30,30,2019-03-20,61.47038269042969,62.66438293457031,61.77096176147461
31,31,31,2019-03-21,62.4472885131836,62.54749298095703,61.72923278808594
32,32,32,2019-03-22,62.59705352783203,62.67273712158203,61.41193389892578
33,33,33,2019-03-25,62.65594482421875,62.42225646972656,61.311744689941406
34,34,34,2019-03-26,63.21965026855469,61.77096176147461,61.48708724975586
35,35,35,2019-03-27,63.08504104614258,61.37017440795898,62.15507125854492
36,36,36,2019-03-28,63.63191223144531,61.47038269042969,62.66438293457031
37,37,37,2019-03-29,63.3711051940918,62.4472885131836,62.54749298095703
38,38,38,2019-04-01,63.08504104614258,62.59705352783203,62.67273712158203
39,39,39,2019-04-02,63.68241882324219,62.65594482421875,62.42225646972656
40,40,40,2019-04-03,63.42999649047852,63.21965026855469,61.77096176147461
41,41,41,2019-04-04,63.33746337890625,63.08504104614258,61.37017440795898
42,42,42,2019-04-05,63.61509323120117,63.63191223144531,61.47038269042969
43,43,43,2019-04-08,63.573036193847656,63.3711051940918,62.4472885131836
44,44,44,2019-04-09,63.42999649047852,63.08504104614258,62.59705352783203
45,45,45,2019-04-10,64.23771667480469,63.68241882324219,62.65594482421875
46,46,46,2019-04-11,64.5237808227539,63.42999649047852,63.21965026855469
47,47,47,2019-04-12,65.16319274902344,63.33746337890625,63.08504104614258
48,48,48,2019-04-15,65.28941345214844,63.61509323120117,63.63191223144531
49,49,49,2019-04-16,63.716064453125,63.573036193847656,63.3711051940918
50,50,50,2019-04-17,62.504512786865234,63.42999649047852,63.08504104614258
51,51,51,2019-04-18,63.160770416259766,64.23771667480469,63.68241882324219
52,52,52,2019-04-22,62.40353393554688,64.5237808227539,63.42999649047852
53,53,53,2019-04-23,63.06822967529297,65.16319274902344,63.33746337890625
54,54,54,2019-04-24,63.4973030090332,65.28941345214844,63.61509323120117
55,55,55,2019-04-25,63.91799545288086,63.716064453125,63.573036193847656
56,56,56,2019-04-26,64.11149597167969,62.504512786865234,63.42999649047852
57,57,57,2019-04-29,63.354278564453125,63.160770416259766,64.23771667480469
58,58,58,2019-04-30,64.29659271240234,62.40353393554688,64.5237808227539
59,59,59,2019-05-01,64.3807373046875,63.06822967529297,65.16319274902344
60,60,60,2019-05-02,64.27977752685547,63.4973030090332,65.28941345214844
61,61,61,2019-05-03,64.43963623046875,63.91799545288086,63.716064453125
62,62,62,2019-05-06,64.11991882324219,64.11149597167969,62.504512786865234
63,63,63,2019-05-07,62.90835571289063,63.354278564453125,63.160770416259766
64,64,64,2019-05-08,62.630706787109375,64.29659271240234,62.40353393554688
65,65,65,2019-05-09,62.9504280090332,64.3807373046875,63.06822967529297
66,66,66,2019-05-10,63.80020904541016,64.27977752685547,63.4973030090332
67,67,67,2019-05-13,63.80862045288086,64.43963623046875,63.91799545288086
68,68,68,2019-05-14,63.78336715698242,64.11991882324219,64.11149597167969
69,69,69,2019-05-15,64.10308074951172,62.90835571289063,63.354278564453125
70,70,70,2019-05-16,64.62472534179688,62.630706787109375,64.29659271240234
71,71,71,2019-05-17,64.46485137939453,62.9504280090332,64.3807373046875
72,72,72,2019-05-20,63.73287963867188,63.80020904541016,64.27977752685547
73,73,73,2019-05-21,64.24610900878906,63.80862045288086,64.43963623046875
74,74,74,2019-05-22,64.48169708251953,63.78336715698242,64.11991882324219
75,75,75,2019-05-23,64.87713623046875,64.10308074951172,62.90835571289063
76,76,76,2019-05-24,64.9444580078125,64.62472534179688,62.630706787109375
77,77,77,2019-05-28,64.11991882324219,64.46485137939453,62.9504280090332
78,78,78,2019-05-29,63.66556167602539,63.73287963867188,63.80020904541016
79,79,79,2019-05-30,63.791778564453125,64.24610900878906,63.80862045288086
80,80,80,2019-05-31,64.42281341552734,64.48169708251953,63.78336715698242
81,81,81,2019-06-03,64.14515686035156,64.87713623046875,64.10308074951172
82,82,82,2019-06-04,63.505741119384766,64.9444580078125,64.62472534179688
83,83,83,2019-06-05,64.99493408203125,64.11991882324219,64.46485137939453
84,84,84,2019-06-06,65.44926452636719,63.66556167602539,63.73287963867188
85,85,85,2019-06-07,65.60911560058594,63.791778564453125,64.24610900878906
86,86,86,2019-06-10,65.48291778564453,64.42281341552734,64.48169708251953
87,87,87,2019-06-11,65.45767974853516,64.14515686035156,64.87713623046875
88,88,88,2019-06-12,65.33145904541016,63.505741119384766,64.9444580078125
89,89,89,2019-06-13,65.56705474853516,64.99493408203125,64.11991882324219
90,90,90,2019-06-14,65.84471130371094,65.44926452636719,63.66556167602539
91,91,91,2019-06-17,66.18965148925781,65.60911560058594,63.791778564453125
92,92,92,2019-06-18,65.66800689697266,65.48291778564453,64.42281341552734
93,93,93,2019-06-19,65.98771667480469,65.45767974853516,64.14515686035156
94,94,94,2019-06-20,66.32428741455078,65.33145904541016,63.505741119384766
95,95,95,2019-06-21,65.65119171142578,65.56705474853516,64.99493408203125
96,96,96,2019-06-24,65.85309600830078,65.84471130371094,65.44926452636719
97,97,97,2019-06-25,64.70884704589844,66.18965148925781,65.60911560058594
98,98,98,2019-06-26,63.64875793457031,65.66800689697266,65.48291778564453
99,99,99,2019-06-27,64.09635925292969,65.98771667480469,65.45767974853516
100,100,100,2019-06-28,64.35914611816406,66.32428741455078,65.33145904541016
101,101,101,2019-07-01,64.54564666748047,65.65119171142578,65.56705474853516
102,102,102,2019-07-02,65.63921356201172,65.85309600830078,65.84471130371094
103,103,103,2019-07-03,66.41062927246094,64.70884704589844,66.18965148925781
104,104,104,2019-07-05,66.0545883178711,63.64875793457031,65.66800689697266
105,105,105,2019-07-08,66.82601928710938,64.09635925292969,65.98771667480469
106,106,106,2019-07-09,67.24140167236328,64.35914611816406,66.32428741455078
107,107,107,2019-07-10,67.45333099365234,64.54564666748047,65.65119171142578
108,108,108,2019-07-11,67.21597290039062,65.63921356201172,65.85309600830078
109,109,109,2019-07-12,66.84296417236328,66.41062927246094,64.70884704589844
110,110,110,2019-07-15,67.08035278320312,66.0545883178711,63.64875793457031
111,111,111,2019-07-16,66.84296417236328,66.82601928710938,64.09635925292969
112,112,112,2019-07-17,66.66496276855469,67.24140167236328,64.35914611816406
113,113,113,2019-07-18,66.62255859375,67.45333099365234,64.54564666748047
114,114,114,2019-07-19,65.40185546875,67.21597290039062,65.63921356201172
115,115,115,2019-07-22,65.17296600341797,66.84296417236328,66.41062927246094
116,116,116,2019-07-23,66.08849334716797,67.08035278320312,66.0545883178711
117,117,117,2019-07-24,65.63921356201172,66.84296417236328,66.82601928710938
118,118,118,2019-07-25,66.20719146728516,66.66496276855469,67.24140167236328
119,119,119,2019-07-26,66.59713745117188,66.62255859375,67.45333099365234
120,120,120,2019-07-29,67.48725128173828,65.40185546875,67.21597290039062
121,121,121,2019-07-30,67.42790222167969,65.17296600341797,66.84296417236328
122,122,122,2019-07-31,66.87689971923828,66.08849334716797,67.08035278320312
123,123,123,2019-08-01,67.46182250976562,65.63921356201172,66.84296417236328
124,124,124,2019-08-02,68.2247543334961,66.20719146728516,66.66496276855469
125,125,125,2019-08-05,66.27498626708984,66.59713745117188,66.62255859375
126,126,126,2019-08-06,67.08882904052734,67.48725128173828,65.40185546875
127,127,127,2019-08-07,67.63134765625,67.42790222167969,65.17296600341797
128,128,128,2019-08-08,68.52993774414062,66.87689971923828,66.08849334716797
129,129,129,2019-08-09,68.89444732666016,67.46182250976562,65.63921356201172
130,130,130,2019-08-12,68.85208892822266,68.2247543334961,66.20719146728516
131,131,131,2019-08-13,68.57232666015625,66.27498626708984,66.59713745117188
132,132,132,2019-08-14,67.6652603149414,67.08882904052734,67.48725128173828
133,133,133,2019-08-15,68.7927474975586,67.63134765625,67.42790222167969
134,134,134,2019-08-16,69.2081298828125,68.52993774414062,66.87689971923828
135,135,135,2019-08-19,70.16605377197266,68.89444732666016,67.46182250976562
136,136,136,2019-08-20,69.88630676269531,68.85208892822266,68.2247543334961
137,137,137,2019-08-21,70.04736328125,68.57232666015625,66.27498626708984
138,138,138,2019-08-22,70.36103057861328,67.6652603149414,67.08882904052734
139,139,139,2019-08-23,70.14910125732422,68.7927474975586,67.63134765625
140,140,140,2019-08-26,70.87814331054688,69.2081298828125,68.52993774414062
141,141,141,2019-08-27,71.02225494384766,70.16605377197266,68.89444732666016
142,142,142,2019-08-28,70.89508819580078,69.88630676269531,68.85208892822266
143,143,143,2019-08-29,71.4376449584961,70.04736328125,68.57232666015625
144,144,144,2019-08-30,71.85303497314453,70.36103057861328,67.6652603149414
145,145,145,2019-09-03,72.72618103027344,70.14910125732422,68.7927474975586
146,146,146,2019-09-04,73.15003967285156,70.87814331054688,69.2081298828125
147,147,147,2019-09-05,72.89572143554688,71.02225494384766,70.16605377197266
148,148,148,2019-09-06,73.62477111816406,70.89508819580078,69.88630676269531
149,149,149,2019-09-09,72.14971923828125,71.4376449584961,70.04736328125
150,150,150,2019-09-10,71.59869384765625,71.85303497314453,70.36103057861328
151,151,151,2019-09-11,71.86151123046875,72.72618103027344,70.14910125732422
152,152,152,2019-09-12,72.36164855957031,73.15003967285156,70.87814331054688
153,153,153,2019-09-13,71.67500305175781,72.89572143554688,71.02225494384766
154,154,154,2019-09-16,72.0988540649414,73.62477111816406,70.89508819580078
155,155,155,2019-09-17,72.79397583007812,72.14971923828125,71.4376449584961
156,156,156,2019-09-18,72.28535461425781,71.59869384765625,71.85303497314453
157,157,157,2019-09-19,72.48880767822266,71.86151123046875,72.72618103027344
158,158,158,2019-09-20,72.20059204101562,72.36164855957031,73.15003967285156
159,159,159,2019-09-23,72.25146484375,71.67500305175781,72.89572143554688
160,160,160,2019-09-24,72.45490264892578,72.0988540649414,73.62477111816406
161,161,161,2019-09-25,72.9804916381836,72.79397583007812,72.14971923828125
162,162,162,2019-09-26,73.5484619140625,72.28535461425781,71.59869384765625
163,163,163,2019-09-27,73.59796142578125,72.48880767822266,71.86151123046875
164,164,164,2019-09-30,73.60648345947266,72.20059204101562,72.36164855957031
165,165,165,2019-10-01,73.52970123291016,72.25146484375,71.67500305175781
166,166,166,2019-10-02,73.4699478149414,72.45490264892578,72.0988540649414
167,167,167,2019-10-03,74.30621337890625,72.9804916381836,72.79397583007812
168,168,168,2019-10-04,74.63898468017578,73.5484619140625,72.28535461425781
169,169,169,2019-10-07,74.88645935058594,73.59796142578125,72.48880767822266
170,170,170,2019-10-08,74.70724487304688,73.60648345947266,72.20059204101562
171,171,171,2019-10-09,74.73285675048828,73.52970123291016,72.25146484375
172,172,172,2019-10-10,75.227783203125,73.4699478149414,72.45490264892578
173,173,173,2019-10-11,74.77552032470703,74.30621337890625,72.9804916381836
174,174,174,2019-10-14,74.73285675048828,74.63898468017578,73.5484619140625
175,175,175,2019-10-15,74.71578979492188,74.88645935058594,73.59796142578125
176,176,176,2019-10-16,75.10831451416016,74.70724487304688,73.60648345947266
177,177,177,2019-10-17,74.87791442871094,74.73285675048828,73.52970123291016
178,178,178,2019-10-18,75.40696716308594,75.227783203125,73.4699478149414
179,179,179,2019-10-21,75.70561981201172,74.77552032470703,74.30621337890625
180,180,180,2019-10-22,75.46671295166016,74.73285675048828,74.63898468017578
181,181,181,2019-10-23,74.95472717285156,74.71578979492188,74.88645935058594
182,182,182,2019-10-24,74.73285675048828,75.10831451416016,74.70724487304688
183,183,183,2019-10-25,74.81819152832031,74.87791442871094,74.73285675048828
184,184,184,2019-10-28,74.62193298339844,75.40696716308594,75.227783203125
185,185,185,2019-10-29,74.72430419921875,75.70561981201172,74.77552032470703
186,186,186,2019-10-30,75.81655883789062,75.46671295166016,74.73285675048828
187,187,187,2019-10-31,75.65444946289062,74.95472717285156,74.71578979492188
188,188,188,2019-11-01,75.2107162475586,74.73285675048828,75.10831451416016
189,189,189,2019-11-04,74.26354217529297,74.81819152832031,74.87791442871094
190,190,190,2019-11-05,72.36919403076172,74.62193298339844,75.40696716308594
191,191,191,2019-11-06,73.02622985839844,74.72430419921875,75.70561981201172
192,192,192,2019-11-07,71.73774719238281,75.81655883789062,75.46671295166016
193,193,193,2019-11-08,71.66094970703125,75.65444946289062,74.95472717285156
194,194,194,2019-11-11,71.81454467773438,75.2107162475586,74.73285675048828
195,195,195,2019-11-12,71.17455291748047,74.26354217529297,74.81819152832031
196,196,196,2019-11-13,72.42040252685547,72.36919403076172,74.62193298339844
197,197,197,2019-11-14,73.1968994140625,73.02622985839844,74.72430419921875
198,198,198,2019-11-15,73.77714538574219,71.73774719238281,75.81655883789062
199,199,199,2019-11-18,74.22940063476562,71.66094970703125,75.65444946289062
200,200,200,2019-11-19,74.29766845703125,71.81454467773438,75.2107162475586
201,201,201,2019-11-20,73.94782257080078,71.17455291748047,74.26354217529297
202,202,202,2019-11-21,72.57398223876953,72.42040252685547,72.36919403076172
203,203,203,2019-11-22,72.35212707519531,73.1968994140625,73.02622985839844
204,204,204,2019-11-25,72.12171936035156,73.77714538574219,71.73774719238281
205,205,205,2019-11-26,72.84705352783203,74.22940063476562,71.66094970703125
206,206,206,2019-11-27,73.06890869140625,74.29766845703125,71.81454467773438
207,207,207,2019-11-29,72.61665344238281,73.94782257080078,71.17455291748047
208,208,208,2019-12-02,71.2513427734375,72.57398223876953,72.42040252685547
209,209,209,2019-12-03,71.55001831054688,72.35212707519531,73.1968994140625
210,210,210,2019-12-04,71.89134979248047,72.12171936035156,73.77714538574219
211,211,211,2019-12-05,72.1387939453125,72.84705352783203,74.22940063476562
212,212,212,2019-12-06,72.05345916748047,73.06890869140625,74.29766845703125
213,213,213,2019-12-09,72.1473388671875,72.61665344238281,73.94782257080078
214,214,214,2019-12-10,71.7974853515625,71.2513427734375,72.57398223876953
215,215,215,2019-12-11,70.55164337158203,71.55001831054688,72.35212707519531
216,216,216,2019-12-12,69.7836685180664,71.89134979248047,72.12171936035156
217,217,217,2019-12-13,69.12661743164062,72.1387939453125,72.84705352783203
218,218,218,2019-12-16,69.54473114013672,72.05345916748047,73.06890869140625
219,219,219,2019-12-17,68.358642578125,72.1473388671875,72.61665344238281
220,220,220,2019-12-18,68.51223754882812,71.7974853515625,71.2513427734375
221,221,221,2019-12-19,68.57196044921875,70.55164337158203,71.55001831054688
222,222,222,2019-12-20,68.52075958251953,69.7836685180664,71.89134979248047
223,223,223,2019-12-23,68.01731872558594,69.12661743164062,72.1387939453125
224,224,224,2019-12-24,68.58903503417969,69.54473114013672,72.05345916748047
225,225,225,2019-12-26,68.76824188232422,68.358642578125,72.1473388671875
226,226,226,2019-12-27,69.07542419433594,68.51223754882812,71.7974853515625
227,227,227,2019-12-30,68.87915802001953,68.57196044921875,70.55164337158203
228,228,228,2019-12-31,69.53915405273438,68.52075958251953,69.7836685180664
229,229,229,2020-01-02,68.55089569091797,68.01731872558594,69.12661743164062
230,230,230,2020-01-03,69.43601989746094,68.58903503417969,69.54473114013672
231,231,231,2020-01-06,69.63368225097656,68.76824188232422,68.358642578125
232,232,232,2020-01-07,68.60243225097656,69.07542419433594,68.51223754882812
233,233,233,2020-01-08,68.74852752685547,68.87915802001953,68.57196044921875
234,234,234,2020-01-09,69.10088348388672,69.53915405273438,68.52075958251953
235,235,235,2020-01-10,69.83132934570312,68.55089569091797,68.01731872558594
236,236,236,2020-01-13,70.7078628540039,69.43601989746094,68.58903503417969
237,237,237,2020-01-14,69.74540710449219,69.63368225097656,68.76824188232422
238,238,238,2020-01-15,70.52742004394531,68.60243225097656,69.07542419433594
239,239,239,2020-01-16,70.905517578125,68.74852752685547,68.87915802001953
240,240,240,2020-01-17,70.89693450927734,69.10088348388672,69.53915405273438
241,241,241,2020-01-21,71.58441925048828,69.83132934570312,68.55089569091797
242,242,242,2020-01-22,70.8023910522461,70.7078628540039,69.43601989746094
243,243,243,2020-01-23,71.3953628540039,69.74540710449219,69.63368225097656
244,244,244,2020-01-24,71.12036895751953,70.52742004394531,68.60243225097656
245,245,245,2020-01-27,70.75941467285156,70.905517578125,68.74852752685547
246,246,246,2020-01-28,71.08598327636719,70.89693450927734,69.10088348388672
247,247,247,2020-01-29,70.69925689697266,71.58441925048828,69.83132934570312
248,248,248,2020-01-30,72.16018676757812,70.8023910522461,70.7078628540039
249,249,249,2020-01-31,71.3953628540039,71.3953628540039,69.74540710449219
250,250,250,2020-02-03,71.18910217285156,71.12036895751953,70.52742004394531
251,251,251,2020-02-04,71.8766098022461,70.75941467285156,70.905517578125
252,252,252,2020-02-05,71.59300231933594,71.08598327636719,70.89693450927734
253,253,253,2020-02-06,72.07424926757812,70.69925689697266,71.58441925048828
254,254,254,2020-02-07,72.35782623291016,72.16018676757812,70.8023910522461
255,255,255,2020-02-10,72.99376678466797,71.3953628540039,71.3953628540039
256,256,256,2020-02-11,72.86486053466797,71.18910217285156,71.12036895751953
257,257,257,2020-02-12,72.86486053466797,71.8766098022461,70.75941467285156
258,258,258,2020-02-13,73.23435974121094,71.59300231933594,71.08598327636719
259,259,259,2020-02-14,74.29997253417969,72.07424926757812,70.69925689697266
260,260,260,2020-02-18,74.1366958618164,72.35782623291016,72.16018676757812
261,261,261,2020-02-19,73.3375015258789,72.99376678466797,71.3953628540039
262,262,262,2020-02-20,74.24840545654297,72.86486053466797,71.18910217285156
263,263,263,2020-02-21,74.77263641357422,72.86486053466797,71.8766098022461
264,264,264,2020-02-24,73.72420501708984,73.23435974121094,71.59300231933594
265,265,265,2020-02-25,71.76487731933594,74.29997253417969,72.07424926757812
266,266,266,2020-02-26,71.63595581054688,74.1366958618164,72.35782623291016
267,267,267,2020-02-27,67.42512512207031,73.3375015258789,72.99376678466797
268,268,268,2020-02-28,64.53768157958984,74.24840545654297,72.86486053466797
269,269,269,2020-03-02,67.94932556152344,74.77263641357422,72.86486053466797
270,270,270,2020-03-03,67.51105499267578,73.72420501708984,73.23435974121094
271,271,271,2020-03-04,69.63368225097656,71.76487731933594,74.29997253417969
272,272,272,2020-03-05,68.20714569091797,71.63595581054688,74.1366958618164
273,273,273,2020-03-06,66.72045135498047,67.42512512207031,73.3375015258789
274,274,274,2020-03-09,63.99629974365234,64.53768157958984,74.24840545654297
275,275,275,2020-03-10,68.68838500976562,67.94932556152344,74.77263641357422
276,276,276,2020-03-11,64.53768157958984,67.51105499267578,73.72420501708984
277,277,277,2020-03-12,60.16355895996094,69.63368225097656,71.76487731933594
278,278,278,2020-03-13,63.25724411010742,68.20714569091797,71.63595581054688
279,279,279,2020-03-16,52.55825424194336,66.72045135498047,67.42512512207031
280,280,280,2020-03-17,57.11284637451172,63.99629974365234,64.53768157958984
281,281,281,2020-03-18,52.30903625488281,68.68838500976562,67.94932556152344
282,282,282,2020-03-19,52.08560562133789,64.53768157958984,67.51105499267578
283,283,283,2020-03-20,47.99129104614258,60.16355895996094,69.63368225097656
284,284,284,2020-03-23,44.60611724853516,63.25724411010742,68.20714569091797
285,285,285,2020-03-24,45.26579666137695,52.55825424194336,66.72045135498047
286,286,286,2020-03-25,47.3663330078125,57.11284637451172,63.99629974365234
287,287,287,2020-03-26,51.41118621826172,52.30903625488281,68.68838500976562
288,288,288,2020-03-27,54.4057502746582,52.08560562133789,64.53768157958984
289,289,289,2020-03-30,54.31895065307617,47.99129104614258,60.16355895996094
290,290,290,2020-03-31,53.56380081176758,44.60611724853516,63.25724411010742
291,291,291,2020-04-01,50.083152770996094,45.26579666137695,52.55825424194336
292,292,292,2020-04-02,47.3663330078125,47.3663330078125,57.11284637451172
293,293,293,2020-04-03,47.09725570678711,51.41118621826172,52.30903625488281
294,294,294,2020-04-06,52.17501068115234,54.4057502746582,52.08560562133789
295,295,295,2020-04-07,52.669769287109375,54.31895065307617,47.99129104614258
296,296,296,2020-04-08,56.63648223876953,53.56380081176758,44.60611724853516
297,297,297,2020-04-09,60.25601959228516,50.083152770996094,45.26579666137695
298,298,298,2020-04-13,57.72147750854492,47.3663330078125,47.3663330078125
299,299,299,2020-04-14,59.82202911376953,47.09725570678711,51.41118621826172
300,300,300,2020-04-15,57.27880859375,52.17501068115234,54.4057502746582
301,301,301,2020-04-16,56.61913299560547,52.669769287109375,54.31895065307617
302,302,302,2020-04-17,60.577178955078125,56.63648223876953,53.56380081176758
303,303,303,2020-04-20,56.94896697998047,60.25601959228516,50.083152770996094
304,304,304,2020-04-21,55.3865852355957,57.72147750854492,47.3663330078125
305,305,305,2020-04-22,56.99236679077149,59.82202911376953,47.09725570678711
306,306,306,2020-04-23,55.3865852355957,57.27880859375,52.17501068115234
307,307,307,2020-04-24,55.54282379150391,56.61913299560547,52.669769287109375
308,308,308,2020-04-27,56.67989349365234,60.577178955078125,56.63648223876953
309,309,309,2020-04-28,56.30665969848633,56.94896697998047,60.25601959228516
310,310,310,2020-04-29,57.13124465942383,55.3865852355957,57.72147750854492
311,311,311,2020-04-30,56.47157287597656,56.99236679077149,59.82202911376953
312,312,312,2020-05-01,54.08460235595703,55.3865852355957,57.27880859375
313,313,313,2020-05-04,54.249507904052734,55.54282379150391,56.61913299560547
