,Unnamed: 0.1,Unnamed: 0,Date,CTLT,CTLT_6m,CTLT_12m
0,0,0,2019-02-05,39.22999954223633,,
1,1,1,2019-02-06,39.47999954223633,,
2,2,2,2019-02-07,39.52000045776367,,
3,3,3,2019-02-08,39.709999084472656,,
4,4,4,2019-02-11,40.0099983215332,,
5,5,5,2019-02-12,40.84999847412109,,
6,6,6,2019-02-13,41.130001068115234,39.22999954223633,
7,7,7,2019-02-14,41.58000183105469,39.47999954223633,
8,8,8,2019-02-15,42.02999877929688,39.52000045776367,
9,9,9,2019-02-19,42.2400016784668,39.709999084472656,
10,10,10,2019-02-20,42.790000915527344,40.0099983215332,
11,11,11,2019-02-21,42.540000915527344,40.84999847412109,
12,12,12,2019-02-22,43.58000183105469,41.130001068115234,39.22999954223633
13,13,13,2019-02-25,43.41999816894531,41.58000183105469,39.47999954223633
14,14,14,2019-02-26,42.86000061035156,42.02999877929688,39.52000045776367
15,15,15,2019-02-27,43.08000183105469,42.2400016784668,39.709999084472656
16,16,16,2019-02-28,43.220001220703125,42.790000915527344,40.0099983215332
17,17,17,2019-03-01,43.91999816894531,42.540000915527344,40.84999847412109
18,18,18,2019-03-04,43.709999084472656,43.58000183105469,41.130001068115234
19,19,19,2019-03-05,43.720001220703125,43.41999816894531,41.58000183105469
20,20,20,2019-03-06,42.63999938964844,42.86000061035156,42.02999877929688
21,21,21,2019-03-07,42.56999969482422,43.08000183105469,42.2400016784668
22,22,22,2019-03-08,42.220001220703125,43.220001220703125,42.790000915527344
23,23,23,2019-03-11,41.81999969482422,43.91999816894531,42.540000915527344
24,24,24,2019-03-12,41.79999923706055,43.709999084472656,43.58000183105469
25,25,25,2019-03-13,42.04999923706055,43.720001220703125,43.41999816894531
26,26,26,2019-03-14,41.88999938964844,42.63999938964844,42.86000061035156
27,27,27,2019-03-15,42.20000076293945,42.56999969482422,43.08000183105469
28,28,28,2019-03-18,42.56999969482422,42.220001220703125,43.220001220703125
29,29,29,2019-03-19,42.66999816894531,41.81999969482422,43.91999816894531
30,30,30,2019-03-20,42.45000076293945,41.79999923706055,43.709999084472656
31,31,31,2019-03-21,43.119998931884766,42.04999923706055,43.720001220703125
32,32,32,2019-03-22,40.66999816894531,41.88999938964844,42.63999938964844
33,33,33,2019-03-25,40.459999084472656,42.20000076293945,42.56999969482422
34,34,34,2019-03-26,40.869998931884766,42.56999969482422,42.220001220703125
35,35,35,2019-03-27,39.95000076293945,42.66999816894531,41.81999969482422
36,36,36,2019-03-28,40.52999877929688,42.45000076293945,41.79999923706055
37,37,37,2019-03-29,40.59000015258789,43.119998931884766,42.04999923706055
38,38,38,2019-04-01,40.72999954223633,40.66999816894531,41.88999938964844
39,39,39,2019-04-02,40.34000015258789,40.459999084472656,42.20000076293945
40,40,40,2019-04-03,40.380001068115234,40.869998931884766,42.56999969482422
41,41,41,2019-04-04,39.93999862670898,39.95000076293945,42.66999816894531
42,42,42,2019-04-05,40.06999969482422,40.52999877929688,42.45000076293945
43,43,43,2019-04-08,40.119998931884766,40.59000015258789,43.119998931884766
44,44,44,2019-04-09,39.54999923706055,40.72999954223633,40.66999816894531
45,45,45,2019-04-10,39.90999984741211,40.34000015258789,40.459999084472656
46,46,46,2019-04-11,39.47999954223633,40.380001068115234,40.869998931884766
47,47,47,2019-04-12,39.2599983215332,39.93999862670898,39.95000076293945
48,48,48,2019-04-15,44.40999984741211,40.06999969482422,40.52999877929688
49,49,49,2019-04-16,42.560001373291016,40.119998931884766,40.59000015258789
50,50,50,2019-04-17,42.75,39.54999923706055,40.72999954223633
51,51,51,2019-04-18,43.970001220703125,39.90999984741211,40.34000015258789
52,52,52,2019-04-22,44.040000915527344,39.47999954223633,40.380001068115234
53,53,53,2019-04-23,44.45000076293945,39.2599983215332,39.93999862670898
54,54,54,2019-04-24,44.45000076293945,44.40999984741211,40.06999969482422
55,55,55,2019-04-25,44.630001068115234,42.560001373291016,40.119998931884766
56,56,56,2019-04-26,45.0099983215332,42.75,39.54999923706055
57,57,57,2019-04-29,45.18000030517578,43.970001220703125,39.90999984741211
58,58,58,2019-04-30,44.81999969482422,44.040000915527344,39.47999954223633
59,59,59,2019-05-01,44.09000015258789,44.45000076293945,39.2599983215332
60,60,60,2019-05-02,44.41999816894531,44.45000076293945,44.40999984741211
61,61,61,2019-05-03,45.790000915527344,44.630001068115234,42.560001373291016
62,62,62,2019-05-06,46.5099983215332,45.0099983215332,42.75
63,63,63,2019-05-07,44.68999862670898,45.18000030517578,43.970001220703125
64,64,64,2019-05-08,45.040000915527344,44.81999969482422,44.040000915527344
65,65,65,2019-05-09,45.209999084472656,44.09000015258789,44.45000076293945
66,66,66,2019-05-10,44.77000045776367,44.41999816894531,44.45000076293945
67,67,67,2019-05-13,43.31999969482422,45.790000915527344,44.630001068115234
68,68,68,2019-05-14,43.9900016784668,46.5099983215332,45.0099983215332
69,69,69,2019-05-15,44.68000030517578,44.68999862670898,45.18000030517578
70,70,70,2019-05-16,45.459999084472656,45.040000915527344,44.81999969482422
71,71,71,2019-05-17,45.369998931884766,45.209999084472656,44.09000015258789
72,72,72,2019-05-20,45.369998931884766,44.77000045776367,44.41999816894531
73,73,73,2019-05-21,46.0099983215332,43.31999969482422,45.790000915527344
74,74,74,2019-05-22,46.18000030517578,43.9900016784668,46.5099983215332
75,75,75,2019-05-23,46.18999862670898,44.68000030517578,44.68999862670898
76,76,76,2019-05-24,46.22999954223633,45.459999084472656,45.040000915527344
77,77,77,2019-05-28,44.959999084472656,45.369998931884766,45.209999084472656
78,78,78,2019-05-29,45.38999938964844,45.369998931884766,44.77000045776367
79,79,79,2019-05-30,45.4900016784668,46.0099983215332,43.31999969482422
80,80,80,2019-05-31,45.5,46.18000030517578,43.9900016784668
81,81,81,2019-06-03,45.59000015258789,46.18999862670898,44.68000030517578
82,82,82,2019-06-04,46.77999877929688,46.22999954223633,45.459999084472656
