,Unnamed: 0,Date,COF
0,0,2019-02-05,73.74861145019531
1,1,2019-02-06,73.0919418334961
2,2,2019-02-07,72.07955932617188
3,3,2019-02-08,71.34622192382812
4,4,2019-02-11,71.53871154785156
5,5,2019-02-12,73.14291381835938
6,6,2019-02-13,73.32625579833984
7,7,2019-02-14,72.97792053222656
8,8,2019-02-15,74.77465057373047
9,9,2019-02-19,75.3521499633789
10,10,2019-02-20,75.82884216308594
11,11,2019-02-21,75.23300170898438
12,12,2019-02-22,74.4354476928711
13,13,2019-02-25,74.63713073730469
14,14,2019-02-26,74.16047668457031
15,15,2019-02-27,75.40716552734375
16,16,2019-02-28,76.6171875
17,17,2019-03-01,77.24054718017578
18,18,2019-03-04,76.36970520019531
19,19,2019-03-05,76.0580062866211
20,20,2019-03-06,75.6363296508789
21,21,2019-03-07,74.50880432128906
22,22,2019-03-08,74.59130096435547
23,23,2019-03-11,75.94800567626953
24,24,2019-03-12,76.03966522216797
25,25,2019-03-13,76.76385498046875
26,26,2019-03-14,76.27803039550781
27,27,2019-03-15,77.30470275878906
28,28,2019-03-18,77.82723999023438
29,29,2019-03-19,77.37804412841797
30,30,2019-03-20,76.03966522216797
31,31,2019-03-21,75.98468780517578
32,32,2019-03-22,73.33544921875
33,33,2019-03-25,72.74873352050781
34,34,2019-03-26,73.94044494628906
35,35,2019-03-27,73.39959716796875
36,36,2019-03-28,74.21546173095703
37,37,2019-03-29,74.88465118408203
38,38,2019-04-01,77.44221496582031
39,39,2019-04-02,77.62555694580078
40,40,2019-04-03,78.20306396484375
41,41,2019-04-04,79.47728729248047
42,42,2019-04-05,79.3305892944336
43,43,2019-04-08,78.87226104736328
44,44,2019-04-09,78.01056671142578
45,45,2019-04-10,78.49642181396484
46,46,2019-04-11,79.06476593017578
47,47,2019-04-12,80.51313781738281
48,48,2019-04-15,79.64227294921875
49,49,2019-04-16,80.58647918701172
50,50,2019-04-17,80.59564971923828
51,51,2019-04-18,80.76981353759766
52,52,2019-04-22,80.31147003173828
53,53,2019-04-23,80.8431396484375
54,54,2019-04-24,80.47647857666016
55,55,2019-04-25,80.7148208618164
56,56,2019-04-26,85.92162322998047
