,Unnamed: 0.1,Unnamed: 0,Date,V,V_6m,V_12m
0,0,0,2019-02-05,137.75135803222656,,
1,1,1,2019-02-06,136.7462158203125,,
2,2,2,2019-02-07,135.47048950195312,,
3,3,3,2019-02-08,135.6734161376953,,
4,4,4,2019-02-11,136.079345703125,,
5,5,5,2019-02-12,137.2294464111328,,
6,6,6,2019-02-13,138.67916870117188,137.75135803222656,
7,7,7,2019-02-14,138.60174560546875,136.7462158203125,
8,8,8,2019-02-15,140.29600524902344,135.47048950195312,
9,9,9,2019-02-19,139.84097290039062,135.6734161376953,
10,10,10,2019-02-20,140.1217498779297,136.079345703125,
11,11,11,2019-02-21,139.4149627685547,137.2294464111328,
12,12,12,2019-02-22,141.22540283203125,138.67916870117188,137.75135803222656
13,13,13,2019-02-25,141.4093780517578,138.60174560546875,136.7462158203125
14,14,14,2019-02-26,142.358154296875,140.29600524902344,135.47048950195312
15,15,15,2019-02-27,142.53244018554688,139.84097290039062,135.6734161376953
16,16,16,2019-02-28,143.4037628173828,140.1217498779297,136.079345703125
17,17,17,2019-03-01,144.7108154296875,139.4149627685547,137.2294464111328
18,18,18,2019-03-04,143.24888610839844,141.22540283203125,138.67916870117188
19,19,19,2019-03-05,143.2392120361328,141.4093780517578,138.60174560546875
20,20,20,2019-03-06,143.1036834716797,142.358154296875,140.29600524902344
21,21,21,2019-03-07,142.1548614501953,142.53244018554688,139.84097290039062
22,22,22,2019-03-08,142.6582794189453,143.4037628173828,140.1217498779297
23,23,23,2019-03-11,145.87258911132812,144.7108154296875,139.4149627685547
24,24,24,2019-03-12,146.8988494873047,143.24888610839844,141.22540283203125
25,25,25,2019-03-13,147.6153106689453,143.2392120361328,141.4093780517578
26,26,26,2019-03-14,149.2902374267578,143.1036834716797,142.358154296875
27,27,27,2019-03-15,150.5100555419922,142.1548614501953,142.53244018554688
28,28,28,2019-03-18,150.02597045898438,142.6582794189453,143.4037628173828
29,29,29,2019-03-19,149.667724609375,145.87258911132812,144.7108154296875
30,30,30,2019-03-20,148.85452270507812,146.8988494873047,143.24888610839844
31,31,31,2019-03-21,150.83924865722656,147.6153106689453,143.2392120361328
32,32,32,2019-03-22,148.19618225097656,149.2902374267578,143.1036834716797
33,33,33,2019-03-25,148.15745544433594,150.5100555419922,142.1548614501953
34,34,34,2019-03-26,150.3551483154297,150.02597045898438,142.6582794189453
35,35,35,2019-03-27,149.3095703125,149.667724609375,145.87258911132812
36,36,36,2019-03-28,149.74522399902344,148.85452270507812,146.8988494873047
37,37,37,2019-03-29,151.21682739257812,150.83924865722656,147.6153106689453
38,38,38,2019-04-01,152.2528076171875,148.19618225097656,149.2902374267578
39,39,39,2019-04-02,152.75619506835938,148.15745544433594,150.5100555419922
40,40,40,2019-04-03,153.41458129882812,150.3551483154297,150.02597045898438
41,41,41,2019-04-04,152.6206512451172,149.3095703125,149.667724609375
42,42,42,2019-04-05,152.6303253173828,149.74522399902344,148.85452270507812
43,43,43,2019-04-08,152.7271728515625,151.21682739257812,150.83924865722656
44,44,44,2019-04-09,152.47543334960938,152.2528076171875,148.19618225097656
45,45,45,2019-04-10,153.51136779785156,152.75619506835938,148.15745544433594
46,46,46,2019-04-11,152.83367919921875,153.41458129882812,150.3551483154297
47,47,47,2019-04-12,154.55699157714844,152.6206512451172,149.3095703125
48,48,48,2019-04-15,155.33152770996094,152.6303253173828,149.74522399902344
49,49,49,2019-04-16,155.12818908691406,152.7271728515625,151.21682739257812
50,50,50,2019-04-17,155.33152770996094,152.47543334960938,152.2528076171875
51,51,51,2019-04-18,155.0604248046875,153.51136779785156,152.75619506835938
52,52,52,2019-04-22,155.2928009033203,152.83367919921875,153.41458129882812
53,53,53,2019-04-23,156.51266479492188,154.55699157714844,152.6206512451172
54,54,54,2019-04-24,156.34808349609375,155.33152770996094,152.6303253173828
55,55,55,2019-04-25,155.89303588867188,155.12818908691406,152.7271728515625
56,56,56,2019-04-26,157.74221801757812,155.33152770996094,152.47543334960938
57,57,57,2019-04-29,158.92335510253906,155.0604248046875,153.51136779785156
58,58,58,2019-04-30,159.19447326660156,155.2928009033203,152.83367919921875
