,Date,ULTA
104,2019-07-03 00:00:00-04:00,345.42999267578125
105,2019-07-05 00:00:00-04:00,344.95001220703125
106,2019-07-08 00:00:00-04:00,352.69000244140625
107,2019-07-09 00:00:00-04:00,348.4800109863281
108,2019-07-10 00:00:00-04:00,347.20001220703125
109,2019-07-11 00:00:00-04:00,346.9800109863281
110,2019-07-12 00:00:00-04:00,356.3900146484375
111,2019-07-15 00:00:00-04:00,355.67999267578125
112,2019-07-16 00:00:00-04:00,360.5400085449219
113,2019-07-17 00:00:00-04:00,366.3900146484375
114,2019-07-18 00:00:00-04:00,366.2099914550781
115,2019-07-19 00:00:00-04:00,357.0
116,2019-07-22 00:00:00-04:00,352.95001220703125
117,2019-07-23 00:00:00-04:00,351.989990234375
118,2019-07-24 00:00:00-04:00,352.94000244140625
119,2019-07-25 00:00:00-04:00,354.6199951171875
120,2019-07-26 00:00:00-04:00,353.8800048828125
121,2019-07-29 00:00:00-04:00,346.1300048828125
122,2019-07-30 00:00:00-04:00,348.6300048828125
123,2019-07-31 00:00:00-04:00,349.25
124,2019-08-01 00:00:00-04:00,345.510009765625
125,2019-08-02 00:00:00-04:00,337.0199890136719
126,2019-08-05 00:00:00-04:00,330.1400146484375
127,2019-08-06 00:00:00-04:00,340.2799987792969
128,2019-08-07 00:00:00-04:00,343.67999267578125
129,2019-08-08 00:00:00-04:00,353.0400085449219
130,2019-08-09 00:00:00-04:00,346.70001220703125
131,2019-08-12 00:00:00-04:00,336.510009765625
132,2019-08-13 00:00:00-04:00,341.20001220703125
133,2019-08-14 00:00:00-04:00,321.0
134,2019-08-15 00:00:00-04:00,320.44000244140625
135,2019-08-16 00:00:00-04:00,322.0299987792969
136,2019-08-19 00:00:00-04:00,325.25
137,2019-08-20 00:00:00-04:00,323.0799865722656
138,2019-08-21 00:00:00-04:00,328.1199951171875
139,2019-08-22 00:00:00-04:00,334.8599853515625
140,2019-08-23 00:00:00-04:00,322.1000061035156
141,2019-08-26 00:00:00-04:00,330.2200012207031
142,2019-08-27 00:00:00-04:00,323.7699890136719
143,2019-08-28 00:00:00-04:00,330.3800048828125
144,2019-08-29 00:00:00-04:00,337.45001220703125
145,2019-08-30 00:00:00-04:00,237.72999572753906
146,2019-09-03 00:00:00-04:00,237.41000366210938
147,2019-09-04 00:00:00-04:00,228.75999450683594
148,2019-09-05 00:00:00-04:00,236.7100067138672
149,2019-09-06 00:00:00-04:00,233.10000610351562
150,2019-09-09 00:00:00-04:00,226.16000366210938
151,2019-09-10 00:00:00-04:00,231.4199981689453
152,2019-09-11 00:00:00-04:00,228.14999389648438
153,2019-09-12 00:00:00-04:00,226.16000366210938
154,2019-09-13 00:00:00-04:00,226.86000061035156
155,2019-09-16 00:00:00-04:00,225.4499969482422
156,2019-09-17 00:00:00-04:00,233.85000610351562
157,2019-09-18 00:00:00-04:00,229.33999633789062
158,2019-09-19 00:00:00-04:00,230.07000732421875
159,2019-09-20 00:00:00-04:00,228.75
160,2019-09-23 00:00:00-04:00,237.30999755859375
161,2019-09-24 00:00:00-04:00,239.47999572753906
162,2019-09-25 00:00:00-04:00,235.5399932861328
163,2019-09-26 00:00:00-04:00,236.30999755859375
164,2019-09-27 00:00:00-04:00,244.39999389648438
165,2019-09-30 00:00:00-04:00,250.64999389648438
166,2019-10-01 00:00:00-04:00,265.989990234375
167,2019-10-02 00:00:00-04:00,262.7900085449219
168,2019-10-03 00:00:00-04:00,257.42999267578125
169,2019-10-04 00:00:00-04:00,250.60000610351562
170,2019-10-07 00:00:00-04:00,242.75
171,2019-10-08 00:00:00-04:00,237.02999877929688
172,2019-10-09 00:00:00-04:00,238.0399932861328
173,2019-10-10 00:00:00-04:00,241.75
174,2019-10-11 00:00:00-04:00,248.4600067138672
175,2019-10-14 00:00:00-04:00,246.57000732421875
176,2019-10-15 00:00:00-04:00,245.39999389648438
177,2019-10-16 00:00:00-04:00,244.97999572753906
178,2019-10-17 00:00:00-04:00,248.10000610351562
179,2019-10-18 00:00:00-04:00,239.9199981689453
180,2019-10-21 00:00:00-04:00,235.3000030517578
181,2019-10-22 00:00:00-04:00,236.91000366210938
182,2019-10-23 00:00:00-04:00,237.8699951171875
183,2019-10-24 00:00:00-04:00,238.92999267578125
184,2019-10-25 00:00:00-04:00,240.89999389648438
185,2019-10-28 00:00:00-04:00,241.74000549316406
186,2019-10-29 00:00:00-04:00,242.11000061035156
187,2019-10-30 00:00:00-04:00,240.25
188,2019-10-31 00:00:00-04:00,233.14999389648438
189,2019-11-01 00:00:00-04:00,233.11000061035156
190,2019-11-04 00:00:00-05:00,237.19000244140625
191,2019-11-05 00:00:00-05:00,245.4199981689453
192,2019-11-06 00:00:00-05:00,243.99000549316406
193,2019-11-07 00:00:00-05:00,243.77000427246094
194,2019-11-08 00:00:00-05:00,239.2899932861328
195,2019-11-11 00:00:00-05:00,241.9600067138672
196,2019-11-12 00:00:00-05:00,243.97000122070312
197,2019-11-13 00:00:00-05:00,244.0399932861328
198,2019-11-14 00:00:00-05:00,242.8699951171875
199,2019-11-15 00:00:00-05:00,246.3000030517578
200,2019-11-18 00:00:00-05:00,244.3300018310547
201,2019-11-19 00:00:00-05:00,239.60000610351562
202,2019-11-20 00:00:00-05:00,234.2899932861328
203,2019-11-21 00:00:00-05:00,228.49000549316406
204,2019-11-22 00:00:00-05:00,228.86000061035156
205,2019-11-25 00:00:00-05:00,231.2100067138672
206,2019-11-26 00:00:00-05:00,235.97000122070312
207,2019-11-27 00:00:00-05:00,233.97999572753906
208,2019-11-29 00:00:00-05:00,233.86000061035156
209,2019-12-02 00:00:00-05:00,236.27000427246094
210,2019-12-03 00:00:00-05:00,237.10000610351562
211,2019-12-04 00:00:00-05:00,239.42999267578125
212,2019-12-05 00:00:00-05:00,236.02000427246094
213,2019-12-06 00:00:00-05:00,262.20001220703125
214,2019-12-09 00:00:00-05:00,252.63999938964844
215,2019-12-10 00:00:00-05:00,250.3699951171875
216,2019-12-11 00:00:00-05:00,251.63999938964844
217,2019-12-12 00:00:00-05:00,258.8699951171875
218,2019-12-13 00:00:00-05:00,253.5
219,2019-12-16 00:00:00-05:00,249.10000610351562
220,2019-12-17 00:00:00-05:00,255.9600067138672
221,2019-12-18 00:00:00-05:00,250.07000732421875
222,2019-12-19 00:00:00-05:00,250.69000244140625
223,2019-12-20 00:00:00-05:00,250.5
224,2019-12-23 00:00:00-05:00,253.02000427246094
225,2019-12-24 00:00:00-05:00,252.49000549316406
226,2019-12-26 00:00:00-05:00,251.3300018310547
