,Unnamed: 0.1,Unnamed: 0,Date,HAS,HAS_6m,HAS_12m
0,0,0,2019-02-05,76.42449188232422,,
1,1,1,2019-02-06,76.00688934326172,,
2,2,2,2019-02-07,75.38044738769531,,
3,3,3,2019-02-08,74.66213989257812,,
4,4,4,2019-02-11,74.23615264892578,,
5,5,5,2019-02-12,74.81249237060547,,
6,6,6,2019-02-13,75.1465835571289,76.42449188232422,
7,7,7,2019-02-14,74.96282196044922,76.00688934326172,
8,8,8,2019-02-15,72.16477966308594,75.38044738769531,
9,9,9,2019-02-19,73.05012512207031,74.66213989257812,
10,10,10,2019-02-20,72.5990982055664,74.23615264892578,
11,11,11,2019-02-21,72.07288360595703,74.81249237060547,
12,12,12,2019-02-22,71.83067321777344,75.1465835571289,76.42449188232422
13,13,13,2019-02-25,71.9726791381836,74.96282196044922,76.00688934326172
14,14,14,2019-02-26,70.69476318359375,72.16477966308594,75.38044738769531
15,15,15,2019-02-27,70.56112670898438,73.05012512207031,74.66213989257812
16,16,16,2019-02-28,70.91191101074219,72.5990982055664,74.23615264892578
17,17,17,2019-03-01,73.51786041259766,72.07288360595703,74.81249237060547
18,18,18,2019-03-04,74.05242919921875,71.83067321777344,75.1465835571289
19,19,19,2019-03-05,73.92713165283203,71.9726791381836,74.96282196044922
20,20,20,2019-03-06,73.57633209228516,70.69476318359375,72.16477966308594
21,21,21,2019-03-07,72.41535186767578,70.56112670898438,73.05012512207031
22,22,22,2019-03-08,72.70769500732422,70.91191101074219,72.5990982055664
23,23,23,2019-03-11,72.73274230957031,73.51786041259766,72.07288360595703
24,24,24,2019-03-12,72.37359619140625,74.05242919921875,71.83067321777344
25,25,25,2019-03-13,72.52392578125,73.92713165283203,71.9726791381836
26,26,26,2019-03-14,72.25666046142578,73.57633209228516,70.69476318359375
27,27,27,2019-03-15,72.43203735351562,72.41535186767578,70.56112670898438
28,28,28,2019-03-18,72.74944305419922,72.70769500732422,70.91191101074219
29,29,29,2019-03-19,72.60747528076172,72.73274230957031,73.51786041259766
30,30,30,2019-03-20,71.67198181152344,72.37359619140625,74.05242919921875
31,31,31,2019-03-21,70.97039031982422,72.52392578125,73.92713165283203
32,32,32,2019-03-22,69.75094604492188,72.25666046142578,73.57633209228516
33,33,33,2019-03-25,70.12679290771484,72.43203735351562,72.41535186767578
34,34,34,2019-03-26,70.7281723022461,72.74944305419922,72.70769500732422
35,35,35,2019-03-27,70.8868637084961,72.60747528076172,72.73274230957031
36,36,36,2019-03-28,71.46317291259766,71.67198181152344,72.37359619140625
37,37,37,2019-03-29,71.01215362548828,70.97039031982422,72.52392578125
38,38,38,2019-04-01,71.56342315673828,69.75094604492188,72.25666046142578
39,39,39,2019-04-02,71.09566497802734,70.12679290771484,72.43203735351562
40,40,40,2019-04-03,71.21260070800781,70.7281723022461,72.74944305419922
41,41,41,2019-04-04,71.85572814941406,70.8868637084961,72.60747528076172
42,42,42,2019-04-05,72.29840087890625,71.46317291259766,71.67198181152344
43,43,43,2019-04-08,72.27336120605469,71.01215362548828,70.97039031982422
44,44,44,2019-04-09,71.12073516845703,71.56342315673828,69.75094604492188
45,45,45,2019-04-10,71.49656677246094,71.09566497802734,70.12679290771484
46,46,46,2019-04-11,71.70538330078125,71.21260070800781,70.7281723022461
47,47,47,2019-04-12,73.14200592041016,71.85572814941406,70.8868637084961
48,48,48,2019-04-15,73.42599487304688,72.29840087890625,71.46317291259766
49,49,49,2019-04-16,74.90435791015625,72.27336120605469,71.01215362548828
50,50,50,2019-04-17,75.32197570800781,71.12073516845703,71.56342315673828
51,51,51,2019-04-18,74.15266418457031,71.49656677246094,71.09566497802734
52,52,52,2019-04-22,73.59302520751953,71.70538330078125,71.21260070800781
53,53,53,2019-04-23,84.06694793701172,73.14200592041016,71.85572814941406
54,54,54,2019-04-24,86.18010711669922,73.42599487304688,72.29840087890625
55,55,55,2019-04-25,84.76020050048828,74.90435791015625,72.27336120605469
56,56,56,2019-04-26,85.68732452392578,75.32197570800781,71.12073516845703
57,57,57,2019-04-29,84.96066284179688,74.15266418457031,71.49656677246094
58,58,58,2019-04-30,85.65016174316406,73.59302520751953,71.70538330078125
59,59,59,2019-05-01,85.84357452392578,84.06694793701172,73.14200592041016
60,60,60,2019-05-02,87.07122039794922,86.18010711669922,73.42599487304688
61,61,61,2019-05-03,88.08026123046875,84.76020050048828,74.90435791015625
62,62,62,2019-05-06,87.18893432617188,85.68732452392578,75.32197570800781
63,63,63,2019-05-07,85.08678436279297,84.96066284179688,74.15266418457031
64,64,64,2019-05-08,84.76726531982422,85.65016174316406,73.59302520751953
65,65,65,2019-05-09,84.47295379638672,85.84357452392578,84.06694793701172
66,66,66,2019-05-10,84.66635131835938,87.07122039794922,86.18010711669922
67,67,67,2019-05-13,80.69747161865234,88.08026123046875,84.76020050048828
68,68,68,2019-05-14,81.37017059326172,87.18893432617188,85.68732452392578
69,69,69,2019-05-15,81.89993286132812,85.08678436279297,84.96066284179688
70,70,70,2019-05-16,82.63987731933594,84.76726531982422,85.65016174316406
71,71,71,2019-05-17,81.6897201538086,84.47295379638672,85.84357452392578
72,72,72,2019-05-20,80.84043884277344,84.66635131835938,87.07122039794922
73,73,73,2019-05-21,81.57198333740234,80.69747161865234,88.08026123046875
74,74,74,2019-05-22,83.30415344238281,81.37017059326172,87.18893432617188
75,75,75,2019-05-23,82.34557342529297,81.89993286132812,85.08678436279297
76,76,76,2019-05-24,82.67351531982422,82.63987731933594,84.76726531982422
77,77,77,2019-05-28,82.2867202758789,81.6897201538086,84.47295379638672
78,78,78,2019-05-29,81.6812973022461,80.84043884277344,84.66635131835938
79,79,79,2019-05-30,82.42124938964844,81.57198333740234,80.69747161865234
80,80,80,2019-05-31,79.99958038330078,83.30415344238281,81.37017059326172
81,81,81,2019-06-03,81.62244415283203,82.34557342529297,81.89993286132812
82,82,82,2019-06-04,86.64237976074219,82.67351531982422,82.63987731933594
83,83,83,2019-06-05,87.0207748413086,82.2867202758789,81.6897201538086
84,84,84,2019-06-06,87.8364028930664,81.6812973022461,80.84043884277344
85,85,85,2019-06-07,89.06404876708984,82.42124938964844,81.57198333740234
86,86,86,2019-06-10,88.9127197265625,79.99958038330078,83.30415344238281
87,87,87,2019-06-11,88.86226654052734,81.62244415283203,82.34557342529297
88,88,88,2019-06-12,89.7619857788086,86.64237976074219,82.67351531982422
89,89,89,2019-06-13,90.40945434570312,87.0207748413086,82.2867202758789
90,90,90,2019-06-14,90.3589859008789,87.8364028930664,81.6812973022461
91,91,91,2019-06-17,89.62743377685547,89.06404876708984,82.42124938964844
92,92,92,2019-06-18,90.71212768554688,88.9127197265625,79.99958038330078
93,93,93,2019-06-19,90.24967956542967,88.86226654052734,81.62244415283203
94,94,94,2019-06-20,90.72897338867188,89.7619857788086,86.64237976074219
95,95,95,2019-06-21,90.1992416381836,90.40945434570312,87.0207748413086
