,Unnamed: 0,Date,HSY
0,0,2019-02-05,95.85740661621094
1,1,2019-02-06,95.8935546875
2,2,2019-02-07,96.63436889648438
3,3,2019-02-08,97.95343780517578
4,4,2019-02-11,98.14315795898438
5,5,2019-02-12,99.10987854003906
6,6,2019-02-13,98.60393524169922
7,7,2019-02-14,97.75467681884766
8,8,2019-02-15,98.79364776611328
9,9,2019-02-19,99.100830078125
10,10,2019-02-20,99.9952621459961
11,11,2019-02-21,101.12471771240234
12,12,2019-02-22,100.2335205078125
13,13,2019-02-25,99.5514907836914
14,14,2019-02-26,99.79700469970705
15,15,2019-02-27,99.65151977539062
16,16,2019-02-28,100.65184020996094
17,17,2019-03-01,102.06141662597656
18,18,2019-03-04,100.615478515625
19,19,2019-03-05,101.6249008178711
20,20,2019-03-06,101.56124114990234
21,21,2019-03-07,101.78861236572266
22,22,2019-03-08,101.1611099243164
23,23,2019-03-11,101.29753112792967
24,24,2019-03-12,100.36084747314452
25,25,2019-03-13,100.7427749633789
26,26,2019-03-14,100.37902069091795
27,27,2019-03-15,100.75186920166016
28,28,2019-03-18,100.50634002685548
29,29,2019-03-19,99.42415618896484
30,30,2019-03-20,99.85157012939452
31,31,2019-03-21,101.3975601196289
32,32,2019-03-22,101.8522491455078
33,33,2019-03-25,102.23419189453124
34,34,2019-03-26,102.98899841308594
35,35,2019-03-27,102.9617156982422
36,36,2019-03-28,103.9711456298828
37,37,2019-03-29,104.42584228515624
38,38,2019-04-01,103.52554321289062
39,39,2019-04-02,104.35308837890624
40,40,2019-04-03,104.4531021118164
41,41,2019-04-04,104.49857330322266
42,42,2019-04-05,105.37161254882812
43,43,2019-04-08,105.73536682128906
44,44,2019-04-09,105.50802612304688
45,45,2019-04-10,105.7717514038086
46,46,2019-04-11,105.41707611083984
47,47,2019-04-12,105.58985900878906
48,48,2019-04-15,106.16276550292967
49,49,2019-04-16,106.24462127685548
50,50,2019-04-17,106.17186737060548
51,51,2019-04-18,106.36284637451172
52,52,2019-04-22,106.43560028076172
53,53,2019-04-23,106.27191925048828
54,54,2019-04-24,106.462890625
55,55,2019-04-25,111.34634399414062
56,56,2019-04-26,113.8289794921875
57,57,2019-04-29,113.04691314697266
58,58,2019-04-30,113.53797912597656
59,59,2019-05-01,111.78285217285156
60,60,2019-05-02,111.43727111816406
61,61,2019-05-03,110.7916030883789
62,62,2019-05-06,112.43760681152344
63,63,2019-05-07,113.04691314697266
64,64,2019-05-08,113.5470733642578
65,65,2019-05-09,114.12907409667967
66,66,2019-05-10,115.38404846191406
67,67,2019-05-13,115.55683135986328
68,68,2019-05-14,115.5477294921875
69,69,2019-05-15,116.16613006591795
70,70,2019-05-16,116.8481674194336
71,71,2019-05-17,117.22101593017578
72,72,2019-05-20,117.58480072021484
73,73,2019-05-21,118.50325775146484
74,74,2019-05-22,119.53089904785156
75,75,2019-05-23,119.07550048828124
76,76,2019-05-24,119.0480728149414
77,77,2019-05-28,117.31982421875
78,78,2019-05-29,117.8501968383789
79,79,2019-05-30,119.6150131225586
80,80,2019-05-31,120.6666030883789
81,81,2019-06-03,121.00492095947266
82,82,2019-06-04,121.73646545410156
83,83,2019-06-05,124.3699722290039
84,84,2019-06-06,125.49474334716795
85,85,2019-06-07,126.19883728027344
86,86,2019-06-10,125.03754425048828
87,87,2019-06-11,125.11065673828124
88,88,2019-06-12,126.390869140625
89,89,2019-06-13,125.85133361816406
90,90,2019-06-14,126.4822998046875
91,91,2019-06-17,125.91534423828124
92,92,2019-06-18,126.41825103759766
93,93,2019-06-19,126.09825134277344
94,94,2019-06-20,125.86052703857422
95,95,2019-06-21,125.39414978027344
96,96,2019-06-24,125.68677520751952
97,97,2019-06-25,125.4581527709961
98,98,2019-06-26,122.66915893554688
99,99,2019-06-27,123.33670806884766
100,100,2019-06-28,122.55941009521484
101,101,2019-07-01,122.76060485839844
102,102,2019-07-02,124.44313049316406
103,103,2019-07-03,126.1896743774414
104,104,2019-07-05,126.42742919921876
105,105,2019-07-08,126.7292022705078
106,106,2019-07-09,126.75662994384766
107,107,2019-07-10,126.71092224121094
108,108,2019-07-11,125.3575439453125
109,109,2019-07-12,125.43071746826172
110,110,2019-07-15,126.5280303955078
111,111,2019-07-16,128.4116973876953
112,112,2019-07-17,133.23983764648438
113,113,2019-07-18,134.8766326904297
114,114,2019-07-19,132.75518798828125
115,115,2019-07-22,134.47430419921875
116,116,2019-07-23,134.68460083007812
117,117,2019-07-24,134.1999969482422
118,118,2019-07-25,136.9066619873047
119,119,2019-07-26,139.88763427734375
120,120,2019-07-29,139.18356323242188
121,121,2019-07-30,139.22927856445312
122,122,2019-07-31,138.75379943847656
123,123,2019-08-01,138.70803833007812
124,124,2019-08-02,139.0921173095703
125,125,2019-08-05,136.35801696777344
126,126,2019-08-06,137.5010223388672
127,127,2019-08-07,139.54931640625
128,128,2019-08-08,141.3416290283203
129,129,2019-08-09,142.1737060546875
130,130,2019-08-12,142.54861450195312
131,131,2019-08-13,142.06396484375
132,132,2019-08-14,139.37559509277344
133,133,2019-08-15,142.1920166015625
134,134,2019-08-16,142.13711547851562
135,135,2019-08-19,144.2677459716797
136,136,2019-08-20,143.088134765625
137,137,2019-08-21,145.16384887695312
138,138,2019-08-22,145.53416442871094
139,139,2019-08-23,144.2936553955078
140,140,2019-08-26,146.14981079101562
141,141,2019-08-27,146.4530487060547
142,142,2019-08-28,147.46385192871094
143,143,2019-08-29,145.17578125
144,144,2019-08-30,145.62608337402344
145,145,2019-09-03,146.95843505859375
146,146,2019-09-04,148.30921936035156
