,Date,ISRG
103,2019-07-02 00:00:00-04:00,176.5066680908203
104,2019-07-03 00:00:00-04:00,179.05999755859375
105,2019-07-05 00:00:00-04:00,179.0833282470703
106,2019-07-08 00:00:00-04:00,177.72000122070312
107,2019-07-09 00:00:00-04:00,176.08999633789062
108,2019-07-10 00:00:00-04:00,177.42666625976562
109,2019-07-11 00:00:00-04:00,178.6666717529297
110,2019-07-12 00:00:00-04:00,175.4166717529297
111,2019-07-15 00:00:00-04:00,175.9166717529297
112,2019-07-16 00:00:00-04:00,171.85333251953125
113,2019-07-17 00:00:00-04:00,174.5
114,2019-07-18 00:00:00-04:00,178.8766632080078
115,2019-07-19 00:00:00-04:00,176.27000427246094
116,2019-07-22 00:00:00-04:00,178.5
117,2019-07-23 00:00:00-04:00,179.26333618164062
118,2019-07-24 00:00:00-04:00,181.01333618164062
119,2019-07-25 00:00:00-04:00,177.22999572753906
120,2019-07-26 00:00:00-04:00,175.8766632080078
121,2019-07-29 00:00:00-04:00,176.5366668701172
122,2019-07-30 00:00:00-04:00,177.2133331298828
123,2019-07-31 00:00:00-04:00,173.1699981689453
124,2019-08-01 00:00:00-04:00,174.64999389648438
125,2019-08-02 00:00:00-04:00,171.1999969482422
126,2019-08-05 00:00:00-04:00,163.82000732421875
127,2019-08-06 00:00:00-04:00,167.92333984375
128,2019-08-07 00:00:00-04:00,168.45333862304688
129,2019-08-08 00:00:00-04:00,173.1366729736328
130,2019-08-09 00:00:00-04:00,171.8333282470703
131,2019-08-12 00:00:00-04:00,169.9600067138672
132,2019-08-13 00:00:00-04:00,172.6666717529297
133,2019-08-14 00:00:00-04:00,166.82000732421875
134,2019-08-15 00:00:00-04:00,166.6233367919922
135,2019-08-16 00:00:00-04:00,165.14999389648438
136,2019-08-19 00:00:00-04:00,165.1666717529297
137,2019-08-20 00:00:00-04:00,165.94332885742188
138,2019-08-21 00:00:00-04:00,167.0933380126953
139,2019-08-22 00:00:00-04:00,166.7566680908203
140,2019-08-23 00:00:00-04:00,161.52667236328125
141,2019-08-26 00:00:00-04:00,163.69667053222656
142,2019-08-27 00:00:00-04:00,165.0066680908203
143,2019-08-28 00:00:00-04:00,167.0833282470703
144,2019-08-29 00:00:00-04:00,169.3866729736328
145,2019-08-30 00:00:00-04:00,170.44667053222656
146,2019-09-03 00:00:00-04:00,164.64666748046875
147,2019-09-04 00:00:00-04:00,165.4066619873047
148,2019-09-05 00:00:00-04:00,169.38999938964844
149,2019-09-06 00:00:00-04:00,168.4199981689453
150,2019-09-09 00:00:00-04:00,165.56333923339844
151,2019-09-10 00:00:00-04:00,167.43333435058594
152,2019-09-11 00:00:00-04:00,174.27333068847656
153,2019-09-12 00:00:00-04:00,174.3733367919922
154,2019-09-13 00:00:00-04:00,174.4066619873047
155,2019-09-16 00:00:00-04:00,174.54666137695312
