,Unnamed: 0,Date,AJG
0,0,2019-02-05,72.99217224121094
1,1,2019-02-06,72.93633270263672
2,2,2019-02-07,72.554931640625
3,3,2019-02-08,73.33639526367188
4,4,2019-02-11,74.32252502441406
5,5,2019-02-12,74.13643646240234
6,6,2019-02-13,73.99691772460938
7,7,2019-02-14,73.38288116455078
8,8,2019-02-15,74.2760009765625
9,9,2019-02-19,74.76907348632812
10,10,2019-02-20,74.88070678710938
11,11,2019-02-21,75.02024841308594
12,12,2019-02-22,74.98302459716797
13,13,2019-02-25,74.74117279052734
14,14,2019-02-26,74.32252502441406
15,15,2019-02-27,74.9085922241211
16,16,2019-02-28,75.0863265991211
17,17,2019-03-01,75.12371826171875
18,18,2019-03-04,74.4690170288086
19,19,2019-03-05,74.82441711425781
20,20,2019-03-06,73.77689361572266
21,21,2019-03-07,73.17828369140625
22,22,2019-03-08,72.86965942382812
23,23,2019-03-11,73.92654418945312
24,24,2019-03-12,73.9546127319336
25,25,2019-03-13,73.94525146484375
26,26,2019-03-14,74.44095611572266
27,27,2019-03-15,75.0863265991211
28,28,2019-03-18,74.38483428955078
29,29,2019-03-19,74.10426330566406
30,30,2019-03-20,72.78545379638672
31,31,2019-03-21,73.79559326171875
32,32,2019-03-22,73.77689361572266
33,33,2019-03-25,73.5149917602539
34,34,2019-03-26,73.59919738769531
35,35,2019-03-27,73.15959167480469
36,36,2019-03-28,72.14010620117188
37,37,2019-03-29,73.04734802246094
38,38,2019-04-01,73.91717529296875
39,39,2019-04-02,73.48695373535156
40,40,2019-04-03,73.29988861083984
41,41,2019-04-04,73.58045959472656
42,42,2019-04-05,73.23441314697266
43,43,2019-04-08,72.9164047241211
44,44,2019-04-09,72.93513488769531
45,45,2019-04-10,73.5149917602539
46,46,2019-04-11,74.51576232910156
47,47,2019-04-12,75.31079864501953
48,48,2019-04-15,75.39496612548828
49,49,2019-04-16,75.66620635986328
50,50,2019-04-17,75.0676040649414
51,51,2019-04-18,75.21726989746094
52,52,2019-04-22,74.99279022216797
53,53,2019-04-23,76.30221557617188
54,54,2019-04-24,76.75115966796875
55,55,2019-04-25,77.43394470214844
56,56,2019-04-26,77.77066802978516
57,57,2019-04-29,77.58356475830078
58,58,2019-04-30,78.21023559570312
59,59,2019-05-01,76.99433898925781
60,60,2019-05-02,77.52745819091797
61,61,2019-05-03,77.75192260742188
62,62,2019-05-06,78.15410614013672
63,63,2019-05-07,76.93821716308594
64,64,2019-05-08,77.34040069580078
65,65,2019-05-09,76.90080261230469
66,66,2019-05-10,78.0699462890625
67,67,2019-05-13,76.64828491210938
68,68,2019-05-14,77.14398956298828
69,69,2019-05-15,77.3591079711914
70,70,2019-05-16,78.3692398071289
71,71,2019-05-17,77.95771789550781
72,72,2019-05-20,77.9015884399414
73,73,2019-05-21,78.42536163330078
74,74,2019-05-22,79.30455780029297
75,75,2019-05-23,78.70597839355469
76,76,2019-05-24,78.82752990722656
77,77,2019-05-28,78.48147583007812
78,78,2019-05-29,78.60306549072266
79,79,2019-05-30,79.01461029052734
80,80,2019-05-31,78.75269317626953
81,81,2019-06-03,80.04342651367188
82,82,2019-06-04,80.3146743774414
83,83,2019-06-05,82.08238983154297
84,84,2019-06-06,82.06360626220703
85,85,2019-06-07,82.5147705078125
86,86,2019-06-10,82.54296875
87,87,2019-06-11,82.1951904296875
88,88,2019-06-12,82.43955993652344
89,89,2019-06-13,81.88502502441406
90,90,2019-06-14,82.43016052246094
91,91,2019-06-17,81.10489654541016
92,92,2019-06-18,80.86992645263672
93,93,2019-06-19,81.5748519897461
94,94,2019-06-20,82.2421875
95,95,2019-06-21,81.33988952636719
96,96,2019-06-24,81.75342559814453
97,97,2019-06-25,81.02029418945312
98,98,2019-06-26,79.54463195800781
99,99,2019-06-27,80.77593231201172
100,100,2019-06-28,82.3267593383789
101,101,2019-07-01,84.06562805175781
102,102,2019-07-02,84.90213012695312
103,103,2019-07-03,85.90782928466797
104,104,2019-07-05,85.14651489257812
105,105,2019-07-08,84.93972778320312
106,106,2019-07-09,85.30630493164062
107,107,2019-07-10,85.40027618408203
108,108,2019-07-11,85.8890380859375
109,109,2019-07-12,86.31200408935547
110,110,2019-07-15,86.67855834960938
111,111,2019-07-16,86.65036010742188
112,112,2019-07-17,86.42478942871094
113,113,2019-07-18,86.5187759399414
114,114,2019-07-19,86.29319763183594
115,115,2019-07-22,85.76685333251953
116,116,2019-07-23,86.42478942871094
117,117,2019-07-24,86.81954956054688
118,118,2019-07-25,86.33080291748047
119,119,2019-07-26,86.78194427490234
120,120,2019-07-29,86.47177124023438
121,121,2019-07-30,86.29319763183594
122,122,2019-07-31,84.9961166381836
123,123,2019-08-01,84.56377410888672
124,124,2019-08-02,84.66716003417969
125,125,2019-08-05,81.25527954101562
126,126,2019-08-06,83.23846435546875
127,127,2019-08-07,83.0223159790039
128,128,2019-08-08,84.77995300292969
129,129,2019-08-09,84.98670959472656
130,130,2019-08-12,83.39827728271484
131,131,2019-08-13,84.61076354980469
132,132,2019-08-14,82.63694763183594
133,133,2019-08-15,83.18208312988281
134,134,2019-08-16,84.32880401611328
135,135,2019-08-19,85.09951782226562
136,136,2019-08-20,84.17841339111328
137,137,2019-08-21,85.02433013916016
138,138,2019-08-22,85.40968322753906
139,139,2019-08-23,82.72152709960938
140,140,2019-08-26,83.07869720458984
141,141,2019-08-27,82.74974822998047
142,142,2019-08-28,82.61814880371094
143,143,2019-08-29,83.44526672363281
144,144,2019-08-30,85.2593002319336
145,145,2019-09-03,84.27241516113281
