,Unnamed: 0,Date,TFC
0,0,2019-02-05,39.47087860107422
1,1,2019-02-06,39.26053237915039
2,2,2019-02-07,40.82189178466797
3,3,2019-02-08,40.64391326904297
4,4,2019-02-11,40.910888671875
5,5,2019-02-12,41.44505310058594
6,6,2019-02-13,41.151466369628906
7,7,2019-02-14,40.56428527832031
8,8,2019-02-15,41.3471908569336
9,9,2019-02-19,41.68155670166016
10,10,2019-02-20,42.22796630859375
11,11,2019-02-21,42.26874542236328
12,12,2019-02-22,41.991455078125
13,13,2019-02-25,41.80389022827149
14,14,2019-02-26,41.48582458496094
15,15,2019-02-27,41.64078521728516
16,16,2019-02-28,41.5673828125
17,17,2019-03-01,42.2442626953125
18,18,2019-03-04,42.26874542236328
19,19,2019-03-05,42.1627197265625
20,20,2019-03-06,41.2656364440918
21,21,2019-03-07,40.393028259277344
22,22,2019-03-08,40.45010757446289
23,23,2019-03-11,40.711082458496094
24,24,2019-03-12,40.43380737304688
25,25,2019-03-13,40.776329040527344
26,26,2019-03-14,40.88234329223633
27,27,2019-03-15,40.760013580322266
28,28,2019-03-18,41.16777801513672
29,29,2019-03-19,40.35224533081055
30,30,2019-03-20,39.16157913208008
31,31,2019-03-21,38.44392395019531
32,32,2019-03-22,36.772090911865234
33,33,2019-03-25,36.59266662597656
34,34,2019-03-26,36.96781539916992
35,35,2019-03-27,37.02490615844727
36,36,2019-03-28,37.76702880859375
37,37,2019-03-29,37.94644165039063
38,38,2019-04-01,39.16157913208008
39,39,2019-04-02,39.54487609863281
40,40,2019-04-03,39.47964096069336
41,41,2019-04-04,39.51225280761719
42,42,2019-04-05,39.44701385498047
43,43,2019-04-08,39.58565902709961
44,44,2019-04-09,39.063720703125
45,45,2019-04-10,39.234981536865234
46,46,2019-04-11,39.50410461425781
47,47,2019-04-12,40.172828674316406
48,48,2019-04-15,39.62643051147461
49,49,2019-04-16,40.376712799072266
50,50,2019-04-17,40.64583969116211
51,51,2019-04-18,40.2462272644043
52,52,2019-04-22,40.15652847290039
53,53,2019-04-23,40.40118408203125
54,54,2019-04-24,40.64583969116211
55,55,2019-04-25,40.94757461547852
56,56,2019-04-26,41.37166213989258
57,57,2019-04-29,41.83651351928711
58,58,2019-04-30,41.75495529174805
59,59,2019-05-01,41.33088684082031
60,60,2019-05-02,41.216705322265625
61,61,2019-05-03,41.5673828125
62,62,2019-05-06,41.420597076416016
63,63,2019-05-07,40.62953186035156
64,64,2019-05-08,40.229923248291016
65,65,2019-05-09,40.36855316162109
66,66,2019-05-10,40.662147521972656
67,67,2019-05-13,39.33284378051758
68,68,2019-05-14,39.50966644287109
69,69,2019-05-15,39.13956832885742
70,70,2019-05-16,39.63302612304688
71,71,2019-05-17,39.37807846069336
72,72,2019-05-20,39.75640487670898
73,73,2019-05-21,40.11825942993164
74,74,2019-05-22,40.29098129272461
75,75,2019-05-23,39.56724166870117
76,76,2019-05-24,39.74817657470703
77,77,2019-05-28,39.16424179077149
78,78,2019-05-29,39.197147369384766
79,79,2019-05-30,38.89283752441406
80,80,2019-05-31,38.448726654052734
81,81,2019-06-03,38.71190643310547
82,82,2019-06-04,40.15938568115234
83,83,2019-06-05,40.57061004638672
84,84,2019-06-06,40.50480651855469
85,85,2019-06-07,40.15938568115234
86,86,2019-06-10,40.776214599609375
87,87,2019-06-11,41.17098236083984
88,88,2019-06-12,40.78443145751953
89,89,2019-06-13,40.89956665039063
90,90,2019-06-14,41.17098236083984
91,91,2019-06-17,40.2745246887207
92,92,2019-06-18,40.60350036621094
93,93,2019-06-19,40.340328216552734
94,94,2019-06-20,40.06069564819336
95,95,2019-06-21,39.994903564453125
96,96,2019-06-24,39.87975311279297
97,97,2019-06-25,39.74817657470703
98,98,2019-06-26,39.54256820678711
99,99,2019-06-27,39.62480163574219
100,100,2019-06-28,40.4061164855957
101,101,2019-07-01,40.75976943969727
102,102,2019-07-02,40.12648391723633
103,103,2019-07-03,40.35676956176758
104,104,2019-07-05,41.0722885131836
105,105,2019-07-08,40.61994934082031
106,106,2019-07-09,41.16275405883789
107,107,2019-07-10,40.91601943969727
108,108,2019-07-11,41.376590728759766
109,109,2019-07-12,41.4917221069336
110,110,2019-07-15,41.09696578979492
111,111,2019-07-16,40.825565338134766
112,112,2019-07-17,40.825565338134766
113,113,2019-07-18,41.968746185302734
114,114,2019-07-19,41.65622329711914
115,115,2019-07-22,41.48350143432617
116,116,2019-07-23,41.92761993408203
117,117,2019-07-24,42.38817596435547
118,118,2019-07-25,42.149681091308594
119,119,2019-07-26,42.47864532470703
120,120,2019-07-29,42.10855102539063
121,121,2019-07-30,42.26481246948242
122,122,2019-07-31,42.37995529174805
123,123,2019-08-01,40.81733322143555
124,124,2019-08-02,40.58704376220703
125,125,2019-08-05,38.958641052246094
126,126,2019-08-06,39.28759765625
127,127,2019-08-07,38.7612533569336
128,128,2019-08-08,39.05733489990234
129,129,2019-08-09,38.94218826293945
130,130,2019-08-12,38.37471008300781
131,131,2019-08-13,38.8065299987793
132,132,2019-08-14,37.569183349609375
133,133,2019-08-15,37.74357223510742
134,134,2019-08-16,38.65706253051758
135,135,2019-08-19,38.99753189086914
136,136,2019-08-20,38.24183654785156
137,137,2019-08-21,38.38301467895508
138,138,2019-08-22,38.76501083374024
139,139,2019-08-23,37.577484130859375
140,140,2019-08-26,38.2169189453125
141,141,2019-08-27,37.92627716064453
142,142,2019-08-28,38.70689010620117
143,143,2019-08-29,39.37123107910156
144,144,2019-08-30,39.5705451965332
145,145,2019-09-03,38.78162384033203
