,Unnamed: 0,Date,CTAS
0,0,2019-02-05,182.4877014160156
1,1,2019-02-06,182.24984741210935
2,2,2019-02-07,182.44012451171875
3,3,2019-02-08,184.7997131347656
4,4,2019-02-11,188.01564025878903
5,5,2019-02-12,190.85093688964844
6,6,2019-02-13,191.964111328125
7,7,2019-02-14,191.63116455078125
8,8,2019-02-15,193.89553833007807
9,9,2019-02-19,193.6101531982422
10,10,2019-02-20,193.2010040283203
11,11,2019-02-21,193.12486267089844
12,12,2019-02-22,194.4759521484375
13,13,2019-02-25,194.53305053710935
14,14,2019-02-26,193.33419799804688
15,15,2019-02-27,195.0277862548828
16,16,2019-02-28,196.5691375732422
17,17,2019-03-01,198.2341766357422
18,18,2019-03-04,196.55963134765625
19,19,2019-03-05,195.3988494873047
20,20,2019-03-06,193.353271484375
21,21,2019-03-07,192.6967620849609
22,22,2019-03-08,191.5455017089844
23,23,2019-03-11,194.3998260498047
24,24,2019-03-12,194.1809844970703
25,25,2019-03-13,195.54156494140625
26,26,2019-03-14,194.9421539306641
27,27,2019-03-15,195.5701141357422
28,28,2019-03-18,197.46348571777344
29,29,2019-03-19,196.49302673339844
30,30,2019-03-20,195.22760009765625
31,31,2019-03-21,198.01531982421875
32,32,2019-03-22,185.1042022705078
33,33,2019-03-25,187.45425415039065
34,34,2019-03-26,189.69970703125
35,35,2019-03-27,189.40472412109372
36,36,2019-03-28,190.88902282714844
37,37,2019-03-29,192.2971343994141
38,38,2019-04-01,195.0277862548828
39,39,2019-04-02,196.0838928222656
40,40,2019-04-03,197.32080078125
41,41,2019-04-04,195.37034606933597
42,42,2019-04-05,196.35032653808597
43,43,2019-04-08,196.2932281494141
44,44,2019-04-09,194.78993225097656
45,45,2019-04-10,195.0182647705078
46,46,2019-04-11,195.49398803710935
47,47,2019-04-12,197.33030700683597
48,48,2019-04-15,198.11997985839844
49,49,2019-04-16,199.1665954589844
50,50,2019-04-17,199.74696350097656
51,51,2019-04-18,203.30540466308597
52,52,2019-04-22,200.5366668701172
53,53,2019-04-23,203.0389862060547
54,54,2019-04-24,205.32244873046875
55,55,2019-04-25,204.3710174560547
56,56,2019-04-26,206.25491333007807
57,57,2019-04-29,206.34048461914065
58,58,2019-04-30,206.59738159179688
59,59,2019-05-01,205.56985473632807
60,60,2019-05-02,209.10923767089844
61,61,2019-05-03,212.1062774658203
62,62,2019-05-06,212.0777130126953
63,63,2019-05-07,208.2243804931641
64,64,2019-05-08,209.242431640625
65,65,2019-05-09,210.7552490234375
66,66,2019-05-10,212.0111389160156
67,67,2019-05-13,205.9884796142578
68,68,2019-05-14,209.3851318359375
69,69,2019-05-15,210.7932891845703
70,70,2019-05-16,212.85794067382807
71,71,2019-05-17,212.57249450683597
72,72,2019-05-20,212.5344390869141
73,73,2019-05-21,215.98817443847656
74,74,2019-05-22,215.30311584472656
75,75,2019-05-23,213.31460571289065
76,76,2019-05-24,211.6971740722656
77,77,2019-05-28,209.9750213623047
78,78,2019-05-29,211.16433715820312
79,79,2019-05-30,212.74375915527344
80,80,2019-05-31,211.05967712402344
81,81,2019-06-03,212.5439453125
82,82,2019-06-04,215.5029754638672
83,83,2019-06-05,219.31825256347656
84,84,2019-06-06,220.2982482910156
85,85,2019-06-07,221.3258056640625
86,86,2019-06-10,223.15261840820312
87,87,2019-06-11,221.00233459472656
88,88,2019-06-12,223.30487060546875
89,89,2019-06-13,224.503662109375
90,90,2019-06-14,224.8937530517578
91,91,2019-06-17,220.9928131103516
92,92,2019-06-18,220.2031097412109
93,93,2019-06-19,223.68539428710935
94,94,2019-06-20,221.33531188964844
95,95,2019-06-21,221.09744262695312
96,96,2019-06-24,221.7920379638672
97,97,2019-06-25,220.21261596679688
98,98,2019-06-26,221.46853637695312
99,99,2019-06-27,224.2372283935547
100,100,2019-06-28,225.76905822753903
101,101,2019-07-01,227.27235412597656
102,102,2019-07-02,226.4446258544922
103,103,2019-07-03,227.9003143310547
104,104,2019-07-05,227.9003143310547
105,105,2019-07-08,226.6919860839844
106,106,2019-07-09,226.8442230224609
107,107,2019-07-10,227.10108947753903
108,108,2019-07-11,228.3379669189453
109,109,2019-07-12,230.6690216064453
110,110,2019-07-15,231.44918823242188
111,111,2019-07-16,227.814697265625
112,112,2019-07-17,247.7285003662109
113,113,2019-07-18,247.9948883056641
114,114,2019-07-19,245.33087158203125
115,115,2019-07-22,246.45350646972656
116,116,2019-07-23,248.12815856933597
117,117,2019-07-24,249.19371032714844
118,118,2019-07-25,248.0995635986328
119,119,2019-07-26,248.9844207763672
120,120,2019-07-29,248.0329742431641
121,121,2019-07-30,250.0880889892578
122,122,2019-07-31,247.79507446289065
123,123,2019-08-01,246.45350646972656
124,124,2019-08-02,245.8636932373047
125,125,2019-08-05,238.92755126953125
126,126,2019-08-06,244.7028961181641
127,127,2019-08-07,245.9017333984375
128,128,2019-08-08,251.4581298828125
129,129,2019-08-09,250.63047790527344
130,130,2019-08-12,248.70846557617188
131,131,2019-08-13,253.24688720703125
132,132,2019-08-14,244.25572204589844
133,133,2019-08-15,247.39552307128903
134,134,2019-08-16,251.56280517578125
135,135,2019-08-19,254.8168029785156
136,136,2019-08-20,254.8358459472656
137,137,2019-08-21,254.6550445556641
138,138,2019-08-22,251.619873046875
139,139,2019-08-23,243.60873413085935
140,140,2019-08-26,247.69992065429688
141,141,2019-08-27,248.4706115722656
142,142,2019-08-28,249.4505615234375
143,143,2019-08-29,251.75314331054688
144,144,2019-08-30,250.9919586181641
145,145,2019-09-03,247.3098602294922
