,Unnamed: 0,Date,EPAM
0,0,2019-02-05,145.25
1,1,2019-02-06,146.30999755859375
2,2,2019-02-07,144.39999389648438
3,3,2019-02-08,146.41000366210938
4,4,2019-02-11,149.2100067138672
5,5,2019-02-12,148.19000244140625
6,6,2019-02-13,149.5800018310547
7,7,2019-02-14,154.08999633789062
8,8,2019-02-15,154.69000244140625
9,9,2019-02-19,155.75999450683594
10,10,2019-02-20,155.88999938964844
11,11,2019-02-21,156.0
12,12,2019-02-22,158.61000061035156
13,13,2019-02-25,159.47999572753906
14,14,2019-02-26,159.67999267578125
15,15,2019-02-27,159.8699951171875
16,16,2019-02-28,161.77999877929688
17,17,2019-03-01,163.5500030517578
18,18,2019-03-04,162.5
19,19,2019-03-05,161.67999267578125
20,20,2019-03-06,160.69000244140625
21,21,2019-03-07,159.4199981689453
22,22,2019-03-08,161.0800018310547
23,23,2019-03-11,163.57000732421875
24,24,2019-03-12,165.5500030517578
25,25,2019-03-13,166.47999572753906
26,26,2019-03-14,168.0
27,27,2019-03-15,169.47000122070312
28,28,2019-03-18,169.0500030517578
29,29,2019-03-19,169.82000732421875
30,30,2019-03-20,168.36000061035156
31,31,2019-03-21,173.1300048828125
32,32,2019-03-22,164.25999450683594
33,33,2019-03-25,167.1199951171875
34,34,2019-03-26,170.16000366210938
35,35,2019-03-27,164.9499969482422
36,36,2019-03-28,168.0
37,37,2019-03-29,169.1300048828125
38,38,2019-04-01,171.1199951171875
39,39,2019-04-02,170.9600067138672
40,40,2019-04-03,175.02000427246094
41,41,2019-04-04,169.2899932861328
42,42,2019-04-05,168.35000610351562
43,43,2019-04-08,169.27000427246094
44,44,2019-04-09,168.9199981689453
45,45,2019-04-10,171.1999969482422
46,46,2019-04-11,172.50999450683594
47,47,2019-04-12,173.55999755859375
48,48,2019-04-15,172.27999877929688
49,49,2019-04-16,174.0
50,50,2019-04-17,169.77000427246094
51,51,2019-04-18,171.4199981689453
52,52,2019-04-22,172.72999572753906
53,53,2019-04-23,177.19000244140625
54,54,2019-04-24,176.5800018310547
55,55,2019-04-25,176.14999389648438
56,56,2019-04-26,176.58999633789062
57,57,2019-04-29,177.25999450683594
58,58,2019-04-30,179.36000061035156
59,59,2019-05-01,178.02000427246094
60,60,2019-05-02,175.0800018310547
61,61,2019-05-03,177.30999755859375
62,62,2019-05-06,176.7899932861328
63,63,2019-05-07,170.2899932861328
64,64,2019-05-08,170.4199981689453
65,65,2019-05-09,169.7899932861328
66,66,2019-05-10,171.13999938964844
67,67,2019-05-13,163.97000122070312
68,68,2019-05-14,168.3000030517578
69,69,2019-05-15,171.0399932861328
70,70,2019-05-16,171.8800048828125
71,71,2019-05-17,169.52000427246094
72,72,2019-05-20,166.49000549316406
73,73,2019-05-21,170.14999389648438
74,74,2019-05-22,171.22999572753906
75,75,2019-05-23,166.41000366210938
76,76,2019-05-24,167.30999755859375
77,77,2019-05-28,166.9499969482422
78,78,2019-05-29,166.77000427246094
79,79,2019-05-30,173.0399932861328
80,80,2019-05-31,172.58999633789062
81,81,2019-06-03,162.8699951171875
82,82,2019-06-04,168.17999267578125
83,83,2019-06-05,170.16000366210938
84,84,2019-06-06,172.82000732421875
85,85,2019-06-07,176.75
86,86,2019-06-10,177.11000061035156
87,87,2019-06-11,177.4499969482422
88,88,2019-06-12,177.88999938964844
89,89,2019-06-13,176.6999969482422
90,90,2019-06-14,174.5
91,91,2019-06-17,172.60000610351562
92,92,2019-06-18,173.47999572753906
93,93,2019-06-19,173.52999877929688
94,94,2019-06-20,175.0
95,95,2019-06-21,174.0800018310547
96,96,2019-06-24,171.80999755859375
97,97,2019-06-25,170.49000549316406
98,98,2019-06-26,170.99000549316406
99,99,2019-06-27,172.92999267578125
100,100,2019-06-28,173.10000610351562
101,101,2019-07-01,176.7100067138672
102,102,2019-07-02,177.1300048828125
103,103,2019-07-03,177.38999938964844
104,104,2019-07-05,180.11000061035156
105,105,2019-07-08,184.6699981689453
106,106,2019-07-09,187.00999450683597
107,107,2019-07-10,188.1100006103516
108,108,2019-07-11,191.0500030517578
109,109,2019-07-12,193.6300048828125
110,110,2019-07-15,196.0200042724609
111,111,2019-07-16,195.8999938964844
112,112,2019-07-17,198.50999450683597
113,113,2019-07-18,195.27999877929688
114,114,2019-07-19,192.8699951171875
115,115,2019-07-22,193.8999938964844
116,116,2019-07-23,195.4600067138672
117,117,2019-07-24,196.91000366210935
118,118,2019-07-25,197.4600067138672
119,119,2019-07-26,200.82000732421875
120,120,2019-07-29,198.88999938964844
121,121,2019-07-30,197.47999572753903
122,122,2019-07-31,193.7899932861328
123,123,2019-08-01,193.7400054931641
124,124,2019-08-02,187.8300018310547
125,125,2019-08-05,176.3800048828125
126,126,2019-08-06,179.91000366210938
127,127,2019-08-07,179.6999969482422
128,128,2019-08-08,189.97999572753903
129,129,2019-08-09,186.5
130,130,2019-08-12,186.7400054931641
131,131,2019-08-13,189.6100006103516
132,132,2019-08-14,182.33999633789065
133,133,2019-08-15,184.47999572753903
134,134,2019-08-16,188.0200042724609
135,135,2019-08-19,190.63999938964844
136,136,2019-08-20,193.2700042724609
137,137,2019-08-21,196.97000122070312
138,138,2019-08-22,195.5
139,139,2019-08-23,188.2400054931641
140,140,2019-08-26,188.97000122070312
141,141,2019-08-27,188.8999938964844
142,142,2019-08-28,189.75
143,143,2019-08-29,191.97999572753903
144,144,2019-08-30,191.3300018310547
145,145,2019-09-03,188.2700042724609
146,146,2019-09-04,191.44000244140625
147,147,2019-09-05,194.82000732421875
148,148,2019-09-06,192.88999938964844
149,149,2019-09-09,193.47999572753903
150,150,2019-09-10,176.1300048828125
151,151,2019-09-11,183.72999572753903
152,152,2019-09-12,184.1699981689453
153,153,2019-09-13,178.9199981689453
154,154,2019-09-16,180.9499969482422
155,155,2019-09-17,183.25999450683597
156,156,2019-09-18,184.55999755859372
157,157,2019-09-19,185.2400054931641
158,158,2019-09-20,185.7899932861328
159,159,2019-09-23,184.75999450683597
160,160,2019-09-24,181.77999877929688
161,161,2019-09-25,183.8300018310547
162,162,2019-09-26,183.63999938964844
163,163,2019-09-27,180.3600006103516
164,164,2019-09-30,182.32000732421875
165,165,2019-10-01,181.44000244140625
166,166,2019-10-02,180.02000427246094
167,167,2019-10-03,184.3000030517578
168,168,2019-10-04,188.91000366210935
169,169,2019-10-07,190.02999877929688
170,170,2019-10-08,184.50999450683597
171,171,2019-10-09,185.8300018310547
172,172,2019-10-10,184.44000244140625
173,173,2019-10-11,189.0200042724609
174,174,2019-10-14,188.1999969482422
175,175,2019-10-15,189.9499969482422
176,176,2019-10-16,188.4499969482422
177,177,2019-10-17,189.1999969482422
