,Unnamed: 0,Date,NRG
0,0,2019-02-05,34.848228454589844
1,1,2019-02-06,34.99382019042969
2,2,2019-02-07,35.601890563964844
3,3,2019-02-08,35.82456588745117
4,4,2019-02-11,36.18426513671875
5,5,2019-02-12,36.3212890625
6,6,2019-02-13,36.441192626953125
7,7,2019-02-14,36.49258804321289
8,8,2019-02-15,36.36412048339844
9,9,2019-02-19,36.35555648803711
10,10,2019-02-20,36.02154541015625
11,11,2019-02-21,36.36412048339844
12,12,2019-02-22,36.15857696533203
13,13,2019-02-25,35.833133697509766
14,14,2019-02-26,35.43060302734375
15,15,2019-02-27,35.130859375
16,16,2019-02-28,35.696102142333984
17,17,2019-03-01,36.14144134521485
18,18,2019-03-04,35.72178649902344
19,19,2019-03-05,35.74748992919922
20,20,2019-03-06,35.439170837402344
21,21,2019-03-07,35.31927490234375
22,22,2019-03-08,35.507686614990234
23,23,2019-03-11,35.79030990600586
24,24,2019-03-12,36.775203704833984
25,25,2019-03-13,36.87797164916992
26,26,2019-03-14,35.85026168823242
27,27,2019-03-15,35.9444580078125
28,28,2019-03-18,35.86738586425781
29,29,2019-03-19,35.910213470458984
30,30,2019-03-20,36.40693664550781
31,31,2019-03-21,37.14346694946289
32,32,2019-03-22,36.38981628417969
33,33,2019-03-25,36.93793487548828
34,34,2019-03-26,37.13490295410156
35,35,2019-03-27,36.67243194580078
36,36,2019-03-28,36.62105178833008
37,37,2019-03-29,36.38124084472656
38,38,2019-04-01,35.78173828125
39,39,2019-04-02,36.27847671508789
40,40,2019-04-03,36.261356353759766
41,41,2019-04-04,36.17570495605469
42,42,2019-04-05,36.03010559082031
43,43,2019-04-08,35.92733383178711
44,44,2019-04-09,36.10718536376953
45,45,2019-04-10,36.19282531738281
46,46,2019-04-11,36.3212890625
47,47,2019-04-12,36.20138931274414
48,48,2019-04-15,36.21852111816406
49,49,2019-04-16,35.995853424072266
50,50,2019-04-17,35.26789093017578
51,51,2019-04-18,35.11372375488281
52,52,2019-04-22,35.01951217651367
53,53,2019-04-23,35.404903411865234
54,54,2019-04-24,35.41347122192383
55,55,2019-04-25,35.01951217651367
56,56,2019-04-26,35.04521560668945
57,57,2019-04-29,35.01095199584961
58,58,2019-04-30,35.285213470458984
59,59,2019-05-01,34.753841400146484
60,60,2019-05-02,33.913917541503906
61,61,2019-05-03,33.802490234375
62,62,2019-05-06,32.86830139160156
63,63,2019-05-07,33.12542724609375
64,64,2019-05-08,31.67699432373047
65,65,2019-05-09,31.4370174407959
66,66,2019-05-10,31.97695541381836
67,67,2019-05-13,31.54842758178711
68,68,2019-05-14,31.059913635253903
