,Date,MSCI
103,2019-07-02 00:00:00-04:00,234.70980834960938
104,2019-07-03 00:00:00-04:00,235.6598663330078
105,2019-07-05 00:00:00-04:00,232.51223754882812
106,2019-07-08 00:00:00-04:00,225.22850036621094
107,2019-07-09 00:00:00-04:00,228.39527893066406
108,2019-07-10 00:00:00-04:00,228.39527893066406
109,2019-07-11 00:00:00-04:00,230.58331298828125
110,2019-07-12 00:00:00-04:00,235.22799682617188
111,2019-07-15 00:00:00-04:00,235.3047637939453
112,2019-07-16 00:00:00-04:00,231.82125854492188
113,2019-07-17 00:00:00-04:00,231.83084106445312
114,2019-07-18 00:00:00-04:00,235.81338500976562
115,2019-07-19 00:00:00-04:00,231.25506591796875
116,2019-07-22 00:00:00-04:00,230.88079833984375
117,2019-07-23 00:00:00-04:00,226.10179138183594
118,2019-07-24 00:00:00-04:00,222.87738037109375
119,2019-07-25 00:00:00-04:00,222.53189086914062
120,2019-07-26 00:00:00-04:00,227.6947784423828
121,2019-07-29 00:00:00-04:00,222.99253845214844
122,2019-07-30 00:00:00-04:00,218.6837615966797
123,2019-07-31 00:00:00-04:00,218.06956481933594
124,2019-08-01 00:00:00-04:00,216.23663330078125
125,2019-08-02 00:00:00-04:00,211.29446411132812
126,2019-08-05 00:00:00-04:00,200.7959747314453
127,2019-08-06 00:00:00-04:00,205.69017028808594
128,2019-08-07 00:00:00-04:00,208.41551208496094
129,2019-08-08 00:00:00-04:00,216.3710174560547
130,2019-08-09 00:00:00-04:00,215.00828552246094
131,2019-08-12 00:00:00-04:00,211.0833740234375
132,2019-08-13 00:00:00-04:00,217.17710876464844
133,2019-08-14 00:00:00-04:00,210.06610107421875
134,2019-08-15 00:00:00-04:00,213.8589324951172
135,2019-08-16 00:00:00-04:00,217.7768096923828
136,2019-08-19 00:00:00-04:00,221.70436096191406
137,2019-08-20 00:00:00-04:00,222.8498992919922
138,2019-08-21 00:00:00-04:00,226.248046875
139,2019-08-22 00:00:00-04:00,227.18174743652344
140,2019-08-23 00:00:00-04:00,224.2938232421875
141,2019-08-26 00:00:00-04:00,222.98464965820312
142,2019-08-27 00:00:00-04:00,222.58998107910156
143,2019-08-28 00:00:00-04:00,223.0713348388672
144,2019-08-29 00:00:00-04:00,226.80633544921875
145,2019-08-30 00:00:00-04:00,225.86297607421875
146,2019-09-03 00:00:00-04:00,224.7655792236328
147,2019-09-04 00:00:00-04:00,221.59848022460938
148,2019-09-05 00:00:00-04:00,226.633056640625
149,2019-09-06 00:00:00-04:00,232.25486755371094
150,2019-09-09 00:00:00-04:00,228.6353759765625
151,2019-09-10 00:00:00-04:00,219.89459228515625
152,2019-09-11 00:00:00-04:00,218.2388916015625
153,2019-09-12 00:00:00-04:00,223.7066650390625
154,2019-09-13 00:00:00-04:00,221.05943298339844
155,2019-09-16 00:00:00-04:00,221.40594482421875
156,2019-09-17 00:00:00-04:00,231.17666625976562
157,2019-09-18 00:00:00-04:00,225.0158233642578
158,2019-09-19 00:00:00-04:00,226.5945587158203
159,2019-09-20 00:00:00-04:00,217.29550170898438
160,2019-09-23 00:00:00-04:00,217.51695251464844
161,2019-09-24 00:00:00-04:00,217.17999267578125
162,2019-09-25 00:00:00-04:00,218.5758056640625
163,2019-09-26 00:00:00-04:00,215.19699096679688
164,2019-09-27 00:00:00-04:00,207.82321166992188
165,2019-09-30 00:00:00-04:00,209.61366271972656
166,2019-10-01 00:00:00-04:00,208.15048217773438
167,2019-10-02 00:00:00-04:00,204.75234985351562
168,2019-10-03 00:00:00-04:00,209.70030212402344
169,2019-10-04 00:00:00-04:00,212.7518768310547
170,2019-10-07 00:00:00-04:00,212.5400848388672
171,2019-10-08 00:00:00-04:00,206.4947509765625
172,2019-10-09 00:00:00-04:00,211.26943969726562
173,2019-10-10 00:00:00-04:00,214.33059692382812
174,2019-10-11 00:00:00-04:00,216.91046142578125
175,2019-10-14 00:00:00-04:00,216.6986846923828
176,2019-10-15 00:00:00-04:00,218.5950927734375
177,2019-10-16 00:00:00-04:00,217.5361328125
178,2019-10-17 00:00:00-04:00,220.4722137451172
179,2019-10-18 00:00:00-04:00,216.01519775390625
180,2019-10-21 00:00:00-04:00,217.69979858398438
