,Unnamed: 0,Date,LULU
0,0,2019-02-05,146.88999938964844
1,1,2019-02-06,145.75999450683594
2,2,2019-02-07,147.6300048828125
3,3,2019-02-08,148.6199951171875
4,4,2019-02-11,149.7899932861328
5,5,2019-02-12,157.32000732421875
6,6,2019-02-13,155.27000427246094
7,7,2019-02-14,154.85000610351562
8,8,2019-02-15,151.08999633789062
9,9,2019-02-19,147.57000732421875
10,10,2019-02-20,148.1199951171875
11,11,2019-02-21,148.11000061035156
12,12,2019-02-22,149.25999450683594
13,13,2019-02-25,148.5399932861328
14,14,2019-02-26,150.97999572753906
15,15,2019-02-27,150.55999755859375
16,16,2019-02-28,150.4199981689453
17,17,2019-03-01,151.3800048828125
18,18,2019-03-04,147.77999877929688
19,19,2019-03-05,148.89999389648438
20,20,2019-03-06,149.08999633789062
21,21,2019-03-07,147.6999969482422
22,22,2019-03-08,142.50999450683594
23,23,2019-03-11,145.2899932861328
24,24,2019-03-12,145.7899932861328
25,25,2019-03-13,145.41000366210938
26,26,2019-03-14,144.17999267578125
27,27,2019-03-15,141.7899932861328
28,28,2019-03-18,144.3300018310547
29,29,2019-03-19,144.99000549316406
30,30,2019-03-20,144.35000610351562
31,31,2019-03-21,148.91000366210938
32,32,2019-03-22,143.2100067138672
33,33,2019-03-25,146.5800018310547
34,34,2019-03-26,143.55999755859375
35,35,2019-03-27,146.8000030517578
36,36,2019-03-28,167.5399932861328
37,37,2019-03-29,163.8699951171875
38,38,2019-04-01,165.52000427246094
39,39,2019-04-02,165.47000122070312
40,40,2019-04-03,166.2100067138672
41,41,2019-04-04,171.3699951171875
42,42,2019-04-05,169.3699951171875
43,43,2019-04-08,169.77000427246094
44,44,2019-04-09,167.52000427246094
45,45,2019-04-10,167.4600067138672
46,46,2019-04-11,168.0
47,47,2019-04-12,169.8800048828125
48,48,2019-04-15,172.00999450683594
49,49,2019-04-16,169.3300018310547
50,50,2019-04-17,171.22999572753906
51,51,2019-04-18,173.30999755859375
52,52,2019-04-22,173.02000427246094
53,53,2019-04-23,176.77999877929688
54,54,2019-04-24,178.27000427246094
55,55,2019-04-25,177.2899932861328
56,56,2019-04-26,177.08999633789062
57,57,2019-04-29,177.5
58,58,2019-04-30,176.35000610351562
59,59,2019-05-01,175.6699981689453
