,Unnamed: 0,Date,CBRE
0,0,2019-02-05,46.56999969482422
1,1,2019-02-06,46.27999877929688
2,2,2019-02-07,46.15999984741211
3,3,2019-02-08,46.38999938964844
4,4,2019-02-11,46.7599983215332
5,5,2019-02-12,47.83000183105469
6,6,2019-02-13,49.2400016784668
7,7,2019-02-14,49.47999954223633
8,8,2019-02-15,50.040000915527344
9,9,2019-02-19,50.130001068115234
10,10,2019-02-20,50.119998931884766
11,11,2019-02-21,50.56999969482422
12,12,2019-02-22,50.869998931884766
13,13,2019-02-25,50.470001220703125
14,14,2019-02-26,49.9900016784668
15,15,2019-02-27,49.720001220703125
16,16,2019-02-28,49.7599983215332
17,17,2019-03-01,49.66999816894531
18,18,2019-03-04,50.310001373291016
19,19,2019-03-05,50.5
20,20,2019-03-06,49.29999923706055
21,21,2019-03-07,49.86000061035156
22,22,2019-03-08,50.09000015258789
23,23,2019-03-11,50.56999969482422
24,24,2019-03-12,49.790000915527344
25,25,2019-03-13,50.33000183105469
26,26,2019-03-14,50.11000061035156
27,27,2019-03-15,50.63999938964844
28,28,2019-03-18,50.88999938964844
29,29,2019-03-19,50.56999969482422
30,30,2019-03-20,49.369998931884766
31,31,2019-03-21,49.720001220703125
32,32,2019-03-22,48.25
33,33,2019-03-25,48.290000915527344
34,34,2019-03-26,48.81999969482422
35,35,2019-03-27,48.59999847412109
36,36,2019-03-28,48.93000030517578
37,37,2019-03-29,49.45000076293945
38,38,2019-04-01,50.34999847412109
39,39,2019-04-02,50.45000076293945
40,40,2019-04-03,50.93999862670898
41,41,2019-04-04,50.88999938964844
42,42,2019-04-05,51.310001373291016
43,43,2019-04-08,50.90999984741211
44,44,2019-04-09,50.380001068115234
45,45,2019-04-10,50.869998931884766
46,46,2019-04-11,51.2599983215332
47,47,2019-04-12,52.16999816894531
48,48,2019-04-15,51.2400016784668
49,49,2019-04-16,50.66999816894531
50,50,2019-04-17,50.40999984741211
51,51,2019-04-18,50.72999954223633
52,52,2019-04-22,50.5099983215332
53,53,2019-04-23,51.4900016784668
54,54,2019-04-24,51.75
55,55,2019-04-25,51.290000915527344
56,56,2019-04-26,51.75
57,57,2019-04-29,51.43999862670898
58,58,2019-04-30,52.06999969482422
59,59,2019-05-01,51.47999954223633
60,60,2019-05-02,51.43000030517578
61,61,2019-05-03,51.810001373291016
