,Unnamed: 0,Date,PRU
0,0,2019-02-05,72.25599670410156
1,1,2019-02-06,72.58235931396484
2,2,2019-02-07,70.92729187011719
3,3,2019-02-08,70.70195007324219
4,4,2019-02-11,71.09822845458984
5,5,2019-02-12,72.54351043701172
6,6,2019-02-13,72.9397964477539
7,7,2019-02-14,71.23808288574219
8,8,2019-02-15,73.1573486328125
9,9,2019-02-19,73.78567504882812
10,10,2019-02-20,74.62599182128906
11,11,2019-02-21,74.20975494384766
12,12,2019-02-22,74.6181411743164
13,13,2019-02-25,75.05010223388672
14,14,2019-02-26,75.05795288085938
15,15,2019-02-27,75.45063781738281
16,16,2019-02-28,75.27786254882812
17,17,2019-03-01,75.86688995361328
18,18,2019-03-04,75.968994140625
19,19,2019-03-05,76.07109069824219
20,20,2019-03-06,75.00296783447266
21,21,2019-03-07,73.91130828857422
22,22,2019-03-08,73.27517700195312
23,23,2019-03-11,74.26473999023438
24,24,2019-03-12,74.4061050415039
25,25,2019-03-13,74.71238708496094
26,26,2019-03-14,74.82234191894531
27,27,2019-03-15,75.37996673583984
28,28,2019-03-18,76.37739562988281
29,29,2019-03-19,76.02396392822266
30,30,2019-03-20,73.75425720214844
31,31,2019-03-21,74.0134048461914
32,32,2019-03-22,70.65202331542969
33,33,2019-03-25,70.64417266845703
34,34,2019-03-26,71.83009338378906
35,35,2019-03-27,71.88504028320312
36,36,2019-03-28,72.0107192993164
37,37,2019-03-29,72.15994262695312
38,38,2019-04-01,75.29357147216797
39,39,2019-04-02,74.68096923828125
40,40,2019-04-03,75.75692749023438
41,41,2019-04-04,76.25956726074219
42,42,2019-04-05,77.3355484008789
43,43,2019-04-08,77.66539764404297
44,44,2019-04-09,76.38523864746094
45,45,2019-04-10,77.27271270751953
46,46,2019-04-11,78.19160461425781
47,47,2019-04-12,79.68377685546875
48,48,2019-04-15,79.58953857421875
49,49,2019-04-16,81.70221710205078
50,50,2019-04-17,81.80430603027344
51,51,2019-04-18,81.54513549804688
52,52,2019-04-22,81.25454711914062
53,53,2019-04-23,81.41162872314453
54,54,2019-04-24,80.70477294921875
55,55,2019-04-25,80.68907165527344
56,56,2019-04-26,81.59225463867188
57,57,2019-04-29,82.69962310791016
58,58,2019-04-30,83.02163696289062
59,59,2019-05-01,82.14987182617188
60,60,2019-05-02,79.98224639892578
61,61,2019-05-03,80.99535369873047
62,62,2019-05-06,80.1314697265625
63,63,2019-05-07,79.22044372558594
64,64,2019-05-08,79.16544342041016
65,65,2019-05-09,79.18900299072266
66,66,2019-05-10,79.53459167480469
67,67,2019-05-13,75.50562286376953
68,68,2019-05-14,77.42194366455078
69,69,2019-05-15,77.14704895019531
70,70,2019-05-16,78.07379150390625
71,71,2019-05-17,77.6025619506836
72,72,2019-05-20,77.99524688720703
73,73,2019-05-21,78.88272857666016
74,74,2019-05-22,78.26226806640625
75,75,2019-05-23,76.26744842529297
76,76,2019-05-24,77.56884765625
77,77,2019-05-28,76.44994354248047
78,78,2019-05-29,76.40233612060547
79,79,2019-05-30,75.98969268798828
80,80,2019-05-31,73.30752563476562
81,81,2019-06-03,74.76763916015625
82,82,2019-06-04,77.6243896484375
83,83,2019-06-05,78.40206909179688
84,84,2019-06-06,79.24321746826172
85,85,2019-06-07,78.8940658569336
86,86,2019-06-10,79.14798736572266
87,87,2019-06-11,79.14798736572266
88,88,2019-06-12,78.3703384399414
89,89,2019-06-13,78.82263946533203
90,90,2019-06-14,78.74329376220703
91,91,2019-06-17,77.71961212158203
92,92,2019-06-18,78.94961547851562
93,93,2019-06-19,78.53694915771484
94,94,2019-06-20,79.45747375488281
95,95,2019-06-21,79.03690338134766
96,96,2019-06-24,78.79884338378906
97,97,2019-06-25,77.98149108886719
98,98,2019-06-26,78.17987060546875
99,99,2019-06-27,78.74329376220703
100,100,2019-06-28,80.14785766601562
101,101,2019-07-01,80.957275390625
102,102,2019-07-02,80.13198852539062
103,103,2019-07-03,81.2984848022461
104,104,2019-07-05,81.52861785888672
105,105,2019-07-08,80.83824157714844
106,106,2019-07-09,80.61604309082031
107,107,2019-07-10,79.94947814941406
108,108,2019-07-11,80.25894165039062
109,109,2019-07-12,81.34610748291016
110,110,2019-07-15,80.85411071777344
111,111,2019-07-16,81.01280975341797
112,112,2019-07-17,79.44159698486328
113,113,2019-07-18,80.49701690673828
114,114,2019-07-19,80.16372680664062
115,115,2019-07-22,79.97325134277344
116,116,2019-07-23,80.84617614746094
117,117,2019-07-24,81.37784576416016
118,118,2019-07-25,81.30643463134766
119,119,2019-07-26,81.9491958618164
120,120,2019-07-29,81.33817291259766
121,121,2019-07-30,81.2112045288086
122,122,2019-07-31,80.39385223388672
123,123,2019-08-01,72.28385162353516
124,124,2019-08-02,70.27618408203125
125,125,2019-08-05,68.20503234863281
126,126,2019-08-06,68.42723083496094
127,127,2019-08-07,67.58606719970703
128,128,2019-08-08,68.26851654052734
129,129,2019-08-09,67.3083267211914
130,130,2019-08-12,65.64190673828125
131,131,2019-08-13,66.32432556152344
132,132,2019-08-14,63.800872802734375
133,133,2019-08-15,63.55485916137695
134,134,2019-08-16,65.09435272216797
135,135,2019-08-19,66.05030822753906
136,136,2019-08-20,64.78907775878906
137,137,2019-08-21,65.39158630371094
138,138,2019-08-22,65.9378433227539
139,139,2019-08-23,63.567996978759766
140,140,2019-08-26,63.95360565185547
141,141,2019-08-27,62.89320373535156
142,142,2019-08-28,62.97353363037109
143,143,2019-08-29,63.88933563232422
144,144,2019-08-30,64.33920288085938
145,145,2019-09-03,63.17436981201172
146,146,2019-09-04,63.985748291015625
147,147,2019-09-05,65.80931091308594
148,148,2019-09-06,66.01013946533203
149,149,2019-09-09,67.64091491699219
150,150,2019-09-10,69.65729522705078
151,151,2019-09-11,70.70967102050781
152,152,2019-09-12,70.8703384399414
153,153,2019-09-13,72.15567016601562
154,154,2019-09-16,71.57726287841797
155,155,2019-09-17,70.92657470703125
156,156,2019-09-18,71.64154052734375
157,157,2019-09-19,71.5049819946289
158,158,2019-09-20,71.56119537353516
159,159,2019-09-23,72.02713012695312
160,160,2019-09-24,71.64154052734375
161,161,2019-09-25,72.11550903320312
162,162,2019-09-26,72.09138488769531
163,163,2019-09-27,72.42880249023438
164,164,2019-09-30,72.2601089477539
165,165,2019-10-01,70.11518859863281
166,166,2019-10-02,68.34784698486328
167,167,2019-10-03,68.7173843383789
168,168,2019-10-04,70.17141723632812
169,169,2019-10-07,69.8822250366211
170,170,2019-10-08,68.24342346191406
171,171,2019-10-09,69.1351318359375
172,172,2019-10-10,70.42848205566406
173,173,2019-10-11,71.8343276977539
174,174,2019-10-14,71.77006530761719
175,175,2019-10-15,72.2601089477539
176,176,2019-10-16,71.85843658447266
177,177,2019-10-17,71.80220794677734
178,178,2019-10-18,72.05123901367188
179,179,2019-10-21,73.00718688964844
180,180,2019-10-22,73.27229309082031
181,181,2019-10-23,73.56150817871094
182,182,2019-10-24,73.3124771118164
183,183,2019-10-25,73.70610046386719
184,184,2019-10-28,74.80667877197266
185,185,2019-10-29,74.71027374267578
186,186,2019-10-30,74.15599060058594
187,187,2019-10-31,73.21607208251953
188,188,2019-11-01,74.68618774414062
189,189,2019-11-04,75.91529083251953
190,190,2019-11-05,73.94712829589844
191,191,2019-11-06,72.74209594726562
192,192,2019-11-07,73.77840423583984
193,193,2019-11-08,74.62191772460938
194,194,2019-11-11,74.1077880859375
195,195,2019-11-12,74.95931243896484
196,196,2019-11-13,74.54157257080078
197,197,2019-11-14,74.55763244628906
198,198,2019-11-15,75.2324447631836
199,199,2019-11-18,74.82273864746094
200,200,2019-11-19,75.07982635498047
201,201,2019-11-20,74.80667877197266
202,202,2019-11-21,75.1601333618164
203,203,2019-11-22,76.26875305175781
204,204,2019-11-25,76.0495376586914
205,205,2019-11-26,76.179443359375
206,206,2019-11-27,76.25251770019531
207,207,2019-11-29,76.00896453857422
208,208,2019-12-02,75.45686340332031
209,209,2019-12-03,73.37842559814453
210,210,2019-12-04,73.68695831298828
211,211,2019-12-05,73.88993072509766
212,212,2019-12-06,74.92913818359375
213,213,2019-12-09,75.34318542480469
214,214,2019-12-10,75.05902862548828
215,215,2019-12-11,75.03468322753906
216,216,2019-12-12,76.76400756835938
217,217,2019-12-13,76.4311294555664
218,218,2019-12-16,76.71528625488281
219,219,2019-12-17,77.23489379882812
220,220,2019-12-18,77.34856414794922
221,221,2019-12-19,76.5123062133789
222,222,2019-12-20,76.75588989257812
223,223,2019-12-23,76.54478454589844
224,224,2019-12-24,76.16320037841797
225,225,2019-12-26,76.32557678222656
226,226,2019-12-27,75.68418884277344
227,227,2019-12-30,75.40814971923828
228,228,2019-12-31,76.10636901855469
229,229,2020-01-02,76.99945068359375
230,230,2020-01-03,75.7166748046875
231,231,2020-01-06,75.90338134765625
232,232,2020-01-07,75.82221221923828
233,233,2020-01-08,76.30933380126953
234,234,2020-01-09,76.88578796386719
235,235,2020-01-10,76.65034484863281
236,236,2020-01-13,77.1861801147461
237,237,2020-01-14,77.07251739501953
238,238,2020-01-15,76.5772705078125
239,239,2020-01-16,77.44598388671875
240,240,2020-01-17,78.83430480957031
241,241,2020-01-21,77.52718353271484
242,242,2020-01-22,77.9006576538086
243,243,2020-01-23,77.55964660644531
244,244,2020-01-24,75.92774200439453
245,245,2020-01-27,73.35407257080078
246,246,2020-01-28,74.6937026977539
247,247,2020-01-29,74.62061309814453
248,248,2020-01-30,75.59486389160156
249,249,2020-01-31,73.93050384521484
250,250,2020-02-03,74.28775024414062
