,Unnamed: 0,Date,PG
0,0,2019-02-05,85.99188232421875
1,1,2019-02-06,86.41548156738281
2,2,2019-02-07,85.72711944580078
3,3,2019-02-08,86.23015594482422
4,4,2019-02-11,86.72435760498047
5,5,2019-02-12,87.59805297851562
6,6,2019-02-13,87.58039855957031
7,7,2019-02-14,86.89204406738281
8,8,2019-02-15,86.90970611572266
9,9,2019-02-19,88.24229431152344
10,10,2019-02-20,87.61570739746094
11,11,2019-02-21,88.05694580078125
12,12,2019-02-22,88.47174072265625
13,13,2019-02-25,87.87163543701172
14,14,2019-02-26,88.10107421875
15,15,2019-02-27,87.2891845703125
16,16,2019-02-28,86.97147369384766
17,17,2019-03-01,86.87439727783203
18,18,2019-03-04,87.25386810302734
19,19,2019-03-05,87.44802856445312
20,20,2019-03-06,87.30683135986328
21,21,2019-03-07,86.97147369384766
22,22,2019-03-08,86.84791564941406
23,23,2019-03-11,87.88046264648438
24,24,2019-03-12,88.29524230957031
25,25,2019-03-13,89.29247283935547
26,26,2019-03-14,89.416015625
27,27,2019-03-15,90.40443420410156
28,28,2019-03-18,89.58370208740234
29,29,2019-03-19,89.9278793334961
30,30,2019-03-20,89.76905059814453
31,31,2019-03-21,90.44856262207033
32,32,2019-03-22,89.71609497070312
33,33,2019-03-25,89.9808349609375
34,34,2019-03-26,90.91627502441406
35,35,2019-03-27,90.81040954589844
36,36,2019-03-28,91.38402557373048
37,37,2019-03-29,91.82528686523438
38,38,2019-04-01,91.46344757080078
39,39,2019-04-02,91.56053161621094
40,40,2019-04-03,91.50758361816406
41,41,2019-04-04,91.2781219482422
42,42,2019-04-05,91.47227478027344
43,43,2019-04-08,92.63719940185548
44,44,2019-04-09,92.3636245727539
45,45,2019-04-10,92.35478973388672
46,46,2019-04-11,92.44303894042967
47,47,2019-04-12,92.7165985107422
48,48,2019-04-15,93.3079071044922
49,49,2019-04-16,93.91682434082033
50,50,2019-04-17,94.07324981689452
51,51,2019-04-18,94.25101470947266
52,52,2019-04-22,94.21544647216795
53,53,2019-04-23,91.68254089355467
54,54,2019-04-24,92.15357208251952
55,55,2019-04-25,91.78917694091795
56,56,2019-04-26,94.08212280273438
57,57,2019-04-29,93.12228393554688
58,58,2019-04-30,94.6331558227539
59,59,2019-05-01,93.25563049316406
60,60,2019-05-02,93.81552124023438
61,61,2019-05-03,94.27767181396484
62,62,2019-05-06,93.92217254638672
63,63,2019-05-07,93.05119323730467
64,64,2019-05-08,93.3800277709961
65,65,2019-05-09,92.6423797607422
66,66,2019-05-10,94.21544647216795
67,67,2019-05-13,94.3043212890625
68,68,2019-05-14,93.85106658935548
69,69,2019-05-15,94.82868194580078
70,70,2019-05-16,96.08181762695312
