,Unnamed: 0,Date,TAP
0,0,2019-02-05,59.01070785522461
1,1,2019-02-06,58.26542282104492
2,2,2019-02-07,58.17669677734375
3,3,2019-02-08,57.61773300170898
4,4,2019-02-11,57.99037551879883
5,5,2019-02-12,52.51607894897461
6,6,2019-02-13,52.9508171081543
7,7,2019-02-14,53.09278106689453
8,8,2019-02-15,54.0421257019043
9,9,2019-02-19,54.21958160400391
10,10,2019-02-20,54.4680061340332
11,11,2019-02-21,55.08020782470703
12,12,2019-02-22,54.94712448120117
13,13,2019-02-25,54.157474517822266
14,14,2019-02-26,54.157474517822266
15,15,2019-02-27,54.21958160400391
16,16,2019-02-28,54.70757675170898
17,17,2019-03-01,54.85047149658203
18,18,2019-03-04,54.70756912231445
19,19,2019-03-05,54.56465530395508
20,20,2019-03-06,53.73399353027344
21,21,2019-03-07,53.62681579589844
22,22,2019-03-08,53.099830627441406
23,23,2019-03-11,53.68039321899414
24,24,2019-03-12,53.77864456176758
25,25,2019-03-13,54.11806106567383
26,26,2019-03-14,54.02874755859375
27,27,2019-03-15,54.3234977722168
28,28,2019-03-18,54.43961334228516
29,29,2019-03-19,54.26990509033203
30,30,2019-03-20,53.38565444946289
31,31,2019-03-21,54.31456756591797
32,32,2019-03-22,53.099830627441406
33,33,2019-03-25,52.474605560302734
34,34,2019-03-26,53.12662887573242
35,35,2019-03-27,52.9569206237793
36,36,2019-03-28,52.93906021118164
37,37,2019-03-29,53.27847290039063
38,38,2019-04-01,53.92156219482422
39,39,2019-04-02,53.72506332397461
40,40,2019-04-03,53.44817733764648
41,41,2019-04-04,54.26990509033203
42,42,2019-04-05,54.15379333496094
43,43,2019-04-08,54.29669952392578
44,44,2019-04-09,53.189151763916016
45,45,2019-04-10,53.055171966552734
46,46,2019-04-11,53.65361404418945
47,47,2019-04-12,53.573219299316406
48,48,2019-04-15,53.99301910400391
49,49,2019-04-16,53.17128753662109
50,50,2019-04-17,53.073036193847656
51,51,2019-04-18,54.84154510498047
52,52,2019-04-22,54.62717819213867
53,53,2019-04-23,54.73435592651367
54,54,2019-04-24,55.832969665527344
55,55,2019-04-25,56.09200286865234
56,56,2019-04-26,57.01197814941406
57,57,2019-04-29,57.056640625
58,58,2019-04-30,57.33353042602539
59,59,2019-05-01,53.01051330566406
60,60,2019-05-02,53.51962661743164
61,61,2019-05-03,54.81474304199219
62,62,2019-05-06,54.46640396118164
63,63,2019-05-07,53.66253662109375
64,64,2019-05-08,52.858665466308594
65,65,2019-05-09,52.117332458496094
66,66,2019-05-10,52.376346588134766
67,67,2019-05-13,51.6885986328125
68,68,2019-05-14,52.17985534667969
69,69,2019-05-15,52.072662353515625
70,70,2019-05-16,52.28702545166016
71,71,2019-05-17,52.39421844482422
72,72,2019-05-20,51.858306884765625
73,73,2019-05-21,52.49245834350586
74,74,2019-05-22,52.92119216918945
75,75,2019-05-23,53.073036193847656
76,76,2019-05-24,52.44781112670898
77,77,2019-05-28,51.12589263916016
78,78,2019-05-29,49.5360221862793
79,79,2019-05-30,48.90187072753906
80,80,2019-05-31,49.47781753540039
81,81,2019-06-03,50.30574417114258
82,82,2019-06-04,52.17758941650391
83,83,2019-06-05,51.67362976074219
84,84,2019-06-06,51.934600830078125
85,85,2019-06-07,51.2686653137207
86,86,2019-06-10,49.26183319091797
87,87,2019-06-11,49.162845611572266
88,88,2019-06-12,49.36082458496094
89,89,2019-06-13,49.59480285644531
90,90,2019-06-14,48.595890045166016
91,91,2019-06-17,48.2899169921875
92,92,2019-06-18,48.69487762451172
93,93,2019-06-19,49.18984222412109
94,94,2019-06-20,49.47781753540039
95,95,2019-06-21,49.873779296875
96,96,2019-06-24,49.90977478027344
97,97,2019-06-25,49.85579299926758
98,98,2019-06-26,49.45981979370117
99,99,2019-06-27,49.79279708862305
100,100,2019-06-28,50.39573287963867
101,101,2019-07-01,50.67470932006836
102,102,2019-07-02,50.51273727416992
103,103,2019-07-03,51.169677734375
104,104,2019-07-05,51.160675048828125
105,105,2019-07-08,50.80070114135742
106,106,2019-07-09,49.98177719116211
107,107,2019-07-10,50.278751373291016
108,108,2019-07-11,49.28883361816406
109,109,2019-07-12,48.93786239624024
110,110,2019-07-15,48.32591247558594
111,111,2019-07-16,49.0368537902832
112,112,2019-07-17,48.85686874389648
113,113,2019-07-18,48.94685745239258
114,114,2019-07-19,49.1268424987793
115,115,2019-07-22,48.80287551879883
116,116,2019-07-23,50.665714263916016
117,117,2019-07-24,50.980690002441406
118,118,2019-07-25,50.99868392944336
119,119,2019-07-26,50.92669296264648
120,120,2019-07-29,50.85469818115234
121,121,2019-07-30,51.22366714477539
122,122,2019-07-31,48.58688735961914
123,123,2019-08-01,47.23701095581055
124,124,2019-08-02,47.012020111083984
125,125,2019-08-05,45.52715301513672
126,126,2019-08-06,46.06710815429688
127,127,2019-08-07,46.92203521728516
128,128,2019-08-08,47.44398880004883
129,129,2019-08-09,47.38098907470703
130,130,2019-08-12,46.80503845214844
131,131,2019-08-13,46.50806427001953
132,132,2019-08-14,45.30217361450195
133,133,2019-08-15,45.77012634277344
134,134,2019-08-16,46.68805313110352
135,135,2019-08-19,47.24600982666016
136,136,2019-08-20,46.940032958984375
137,137,2019-08-21,46.59806060791016
138,138,2019-08-22,46.51705932617188
139,139,2019-08-23,45.05918884277344
140,140,2019-08-26,45.50915145874024
141,141,2019-08-27,45.1491813659668
142,142,2019-08-28,46.03110504150391
143,143,2019-08-29,46.45883560180664
144,144,2019-08-30,46.7409553527832
145,145,2019-09-03,47.67831802368164
