,Date,NFLX
103,2019-07-02 00:00:00-04:00,375.42999267578125
104,2019-07-03 00:00:00-04:00,381.7200012207031
105,2019-07-05 00:00:00-04:00,380.54998779296875
106,2019-07-08 00:00:00-04:00,376.1600036621094
107,2019-07-09 00:00:00-04:00,379.92999267578125
108,2019-07-10 00:00:00-04:00,381.0
109,2019-07-11 00:00:00-04:00,379.5
110,2019-07-12 00:00:00-04:00,373.25
111,2019-07-15 00:00:00-04:00,366.6000061035156
112,2019-07-16 00:00:00-04:00,365.989990234375
113,2019-07-17 00:00:00-04:00,362.44000244140625
114,2019-07-18 00:00:00-04:00,325.2099914550781
115,2019-07-19 00:00:00-04:00,315.1000061035156
116,2019-07-22 00:00:00-04:00,310.6199951171875
117,2019-07-23 00:00:00-04:00,307.29998779296875
118,2019-07-24 00:00:00-04:00,317.94000244140625
119,2019-07-25 00:00:00-04:00,326.4599914550781
120,2019-07-26 00:00:00-04:00,335.7799987792969
121,2019-07-29 00:00:00-04:00,332.70001220703125
122,2019-07-30 00:00:00-04:00,325.92999267578125
123,2019-07-31 00:00:00-04:00,322.989990234375
124,2019-08-01 00:00:00-04:00,319.5
125,2019-08-02 00:00:00-04:00,318.8299865722656
126,2019-08-05 00:00:00-04:00,307.6300048828125
127,2019-08-06 00:00:00-04:00,310.1000061035156
128,2019-08-07 00:00:00-04:00,304.2900085449219
129,2019-08-08 00:00:00-04:00,315.8999938964844
130,2019-08-09 00:00:00-04:00,308.92999267578125
131,2019-08-12 00:00:00-04:00,310.8299865722656
132,2019-08-13 00:00:00-04:00,312.2799987792969
133,2019-08-14 00:00:00-04:00,299.1099853515625
134,2019-08-15 00:00:00-04:00,295.760009765625
135,2019-08-16 00:00:00-04:00,302.79998779296875
136,2019-08-19 00:00:00-04:00,309.3800048828125
137,2019-08-20 00:00:00-04:00,298.989990234375
138,2019-08-21 00:00:00-04:00,297.80999755859375
139,2019-08-22 00:00:00-04:00,296.92999267578125
140,2019-08-23 00:00:00-04:00,291.44000244140625
141,2019-08-26 00:00:00-04:00,294.9800109863281
142,2019-08-27 00:00:00-04:00,291.0299987792969
143,2019-08-28 00:00:00-04:00,291.7699890136719
144,2019-08-29 00:00:00-04:00,296.7799987792969
145,2019-08-30 00:00:00-04:00,293.75
146,2019-09-03 00:00:00-04:00,289.2900085449219
147,2019-09-04 00:00:00-04:00,291.5199890136719
148,2019-09-05 00:00:00-04:00,293.25
149,2019-09-06 00:00:00-04:00,290.1700134277344
150,2019-09-09 00:00:00-04:00,294.3399963378906
151,2019-09-10 00:00:00-04:00,287.989990234375
152,2019-09-11 00:00:00-04:00,288.2699890136719
153,2019-09-12 00:00:00-04:00,288.8599853515625
