,Unnamed: 0,Date,MOH
0,0,2019-02-05,138.57000732421875
1,1,2019-02-06,138.27999877929688
2,2,2019-02-07,137.8000030517578
3,3,2019-02-08,136.89999389648438
4,4,2019-02-11,137.08999633789062
5,5,2019-02-12,129.38999938964844
6,6,2019-02-13,137.00999450683594
7,7,2019-02-14,136.0800018310547
8,8,2019-02-15,135.33999633789062
9,9,2019-02-19,134.86000061035156
10,10,2019-02-20,137.6699981689453
11,11,2019-02-21,136.57000732421875
12,12,2019-02-22,141.72999572753906
13,13,2019-02-25,145.60000610351562
14,14,2019-02-26,145.8300018310547
15,15,2019-02-27,140.3300018310547
16,16,2019-02-28,134.6300048828125
17,17,2019-03-01,138.39999389648438
18,18,2019-03-04,132.72999572753906
19,19,2019-03-05,134.0800018310547
20,20,2019-03-06,129.4499969482422
21,21,2019-03-07,130.33999633789062
22,22,2019-03-08,132.5500030517578
23,23,2019-03-11,135.85000610351562
24,24,2019-03-12,138.94000244140625
25,25,2019-03-13,141.77000427246094
26,26,2019-03-14,140.1300048828125
27,27,2019-03-15,139.39999389648438
28,28,2019-03-18,143.02000427246094
29,29,2019-03-19,145.6300048828125
30,30,2019-03-20,142.5800018310547
31,31,2019-03-21,148.2899932861328
32,32,2019-03-22,146.47999572753906
33,33,2019-03-25,144.22999572753906
34,34,2019-03-26,130.2100067138672
35,35,2019-03-27,133.0800018310547
36,36,2019-03-28,138.1999969482422
37,37,2019-03-29,141.9600067138672
38,38,2019-04-01,144.6999969482422
39,39,2019-04-02,142.69000244140625
40,40,2019-04-03,145.07000732421875
41,41,2019-04-04,145.27999877929688
42,42,2019-04-05,147.36000061035156
43,43,2019-04-08,147.49000549316406
44,44,2019-04-09,145.60000610351562
45,45,2019-04-10,145.24000549316406
46,46,2019-04-11,141.52999877929688
47,47,2019-04-12,129.38999938964844
48,48,2019-04-15,131.97999572753906
49,49,2019-04-16,122.08999633789062
50,50,2019-04-17,116.66999816894533
51,51,2019-04-18,120.68000030517578
52,52,2019-04-22,121.22000122070312
53,53,2019-04-23,123.9499969482422
54,54,2019-04-24,123.72000122070312
55,55,2019-04-25,124.2699966430664
56,56,2019-04-26,128.49000549316406
57,57,2019-04-29,128.72999572753906
58,58,2019-04-30,129.6300048828125
59,59,2019-05-01,126.8000030517578
60,60,2019-05-02,126.75
61,61,2019-05-03,128.25999450683594
62,62,2019-05-06,130.0
63,63,2019-05-07,127.04000091552734
64,64,2019-05-08,129.4600067138672
65,65,2019-05-09,128.3800048828125
66,66,2019-05-10,129.1300048828125
67,67,2019-05-13,126.54000091552734
68,68,2019-05-14,128.38999938964844
69,69,2019-05-15,129.60000610351562
70,70,2019-05-16,129.75
71,71,2019-05-17,129.69000244140625
72,72,2019-05-20,129.75999450683594
73,73,2019-05-21,134.39999389648438
74,74,2019-05-22,133.8800048828125
75,75,2019-05-23,127.4499969482422
76,76,2019-05-24,132.13999938964844
77,77,2019-05-28,132.0
78,78,2019-05-29,131.1199951171875
79,79,2019-05-30,134.77000427246094
80,80,2019-05-31,142.25999450683594
81,81,2019-06-03,145.1300048828125
82,82,2019-06-04,152.55999755859375
83,83,2019-06-05,153.33999633789062
84,84,2019-06-06,155.27999877929688
85,85,2019-06-07,153.72999572753906
86,86,2019-06-10,152.5500030517578
87,87,2019-06-11,152.05999755859375
88,88,2019-06-12,147.91000366210938
89,89,2019-06-13,148.0800018310547
90,90,2019-06-14,144.92999267578125
91,91,2019-06-17,146.58999633789062
92,92,2019-06-18,145.85000610351562
93,93,2019-06-19,146.3699951171875
94,94,2019-06-20,146.44000244140625
95,95,2019-06-21,150.8000030517578
96,96,2019-06-24,147.3300018310547
97,97,2019-06-25,145.35000610351562
98,98,2019-06-26,137.7899932861328
99,99,2019-06-27,141.33999633789062
100,100,2019-06-28,143.13999938964844
101,101,2019-07-01,140.30999755859375
102,102,2019-07-02,140.86000061035156
103,103,2019-07-03,142.52999877929688
104,104,2019-07-05,143.57000732421875
105,105,2019-07-08,139.85000610351562
106,106,2019-07-09,136.77999877929688
107,107,2019-07-10,137.8699951171875
108,108,2019-07-11,143.3300018310547
109,109,2019-07-12,144.8699951171875
110,110,2019-07-15,142.02000427246094
111,111,2019-07-16,141.27000427246094
112,112,2019-07-17,140.6699981689453
113,113,2019-07-18,142.08999633789062
114,114,2019-07-19,140.3800048828125
115,115,2019-07-22,141.0
116,116,2019-07-23,141.2100067138672
117,117,2019-07-24,136.39999389648438
118,118,2019-07-25,135.47000122070312
119,119,2019-07-26,139.86000061035156
120,120,2019-07-29,138.9199981689453
121,121,2019-07-30,137.5
122,122,2019-07-31,132.77999877929688
123,123,2019-08-01,130.24000549316406
124,124,2019-08-02,129.24000549316406
125,125,2019-08-05,123.9499969482422
126,126,2019-08-06,127.26000213623048
127,127,2019-08-07,131.5
128,128,2019-08-08,135.2100067138672
129,129,2019-08-09,134.44000244140625
130,130,2019-08-12,133.9499969482422
131,131,2019-08-13,137.27999877929688
132,132,2019-08-14,134.32000732421875
133,133,2019-08-15,133.94000244140625
134,134,2019-08-16,136.67999267578125
135,135,2019-08-19,138.9199981689453
136,136,2019-08-20,131.52999877929688
137,137,2019-08-21,133.25999450683594
138,138,2019-08-22,129.58999633789062
139,139,2019-08-23,127.33000183105467
140,140,2019-08-26,127.62999725341795
141,141,2019-08-27,125.9000015258789
142,142,2019-08-28,126.91999816894533
143,143,2019-08-29,129.89999389648438
144,144,2019-08-30,130.27999877929688
145,145,2019-09-03,127.33999633789062
146,146,2019-09-04,122.83999633789062
