,Unnamed: 0,Date,GS
0,0,2019-02-05,175.82107543945312
1,1,2019-02-06,174.58680725097656
2,2,2019-02-07,171.43467712402344
3,3,2019-02-08,170.19151306152344
4,4,2019-02-11,169.88963317871094
5,5,2019-02-12,172.69549560546875
6,6,2019-02-13,172.8730926513672
7,7,2019-02-14,170.95518493652344
8,8,2019-02-15,176.25616455078125
9,9,2019-02-19,176.4071044921875
10,10,2019-02-20,176.344970703125
11,11,2019-02-21,174.35597229003906
12,12,2019-02-22,174.03631591796875
13,13,2019-02-25,176.38934326171875
14,14,2019-02-26,176.61134338378906
15,15,2019-02-27,176.61134338378906
16,16,2019-02-28,175.3632049560547
17,17,2019-03-01,176.70050048828125
18,18,2019-03-04,174.7213134765625
19,19,2019-03-05,174.73915100097656
20,20,2019-03-06,173.61587524414062
21,21,2019-03-07,171.8594970703125
22,22,2019-03-08,174.0615997314453
23,23,2019-03-11,174.71241760253906
24,24,2019-03-12,175.30081176757812
25,25,2019-03-13,175.85354614257812
26,26,2019-03-14,176.0496368408203
27,27,2019-03-15,176.75399780273438
28,28,2019-03-18,180.5073089599609
29,29,2019-03-19,179.30374145507812
30,30,2019-03-20,173.2413787841797
31,31,2019-03-21,173.47315979003906
32,32,2019-03-22,168.46279907226562
33,33,2019-03-25,168.0615692138672
34,34,2019-03-26,170.005126953125
35,35,2019-03-27,169.416748046875
36,36,2019-03-28,170.44198608398438
37,37,2019-03-29,171.1641082763672
38,38,2019-04-01,175.39889526367188
39,39,2019-04-02,176.0764617919922
40,40,2019-04-03,179.07196044921875
41,41,2019-04-04,180.29330444335935
42,42,2019-04-05,180.42710876464844
43,43,2019-04-08,180.5697326660156
44,44,2019-04-09,178.8579864501953
45,45,2019-04-10,180.9620056152344
46,46,2019-04-11,180.8282928466797
47,47,2019-04-12,185.29481506347656
48,48,2019-04-15,178.22500610351562
49,49,2019-04-16,179.9456329345703
50,50,2019-04-17,185.34829711914065
51,51,2019-04-18,183.5741729736328
52,52,2019-04-22,182.40626525878903
53,53,2019-04-23,181.99615478515625
54,54,2019-04-24,178.7866668701172
55,55,2019-04-25,179.5533905029297
56,56,2019-04-26,181.0511474609375
57,57,2019-04-29,184.4745941162109
58,58,2019-04-30,183.5830841064453
59,59,2019-05-01,182.52218627929688
60,60,2019-05-02,182.7539825439453
61,61,2019-05-03,185.0095367431641
62,62,2019-05-06,184.0377655029297
63,63,2019-05-07,180.6499786376953
64,64,2019-05-08,179.15219116210938
65,65,2019-05-09,179.7584686279297
66,66,2019-05-10,180.1328582763672
67,67,2019-05-13,173.82083129882812
68,68,2019-05-14,174.98878479003906
69,69,2019-05-15,175.0957489013672
70,70,2019-05-16,177.53854370117188
71,71,2019-05-17,176.01402282714844
72,72,2019-05-20,175.84466552734375
73,73,2019-05-21,177.51181030273438
74,74,2019-05-22,174.3112030029297
75,75,2019-05-23,171.14627075195312
76,76,2019-05-24,172.06460571289062
77,77,2019-05-28,168.89071655273438
78,78,2019-05-29,168.4071502685547
79,79,2019-05-30,167.7981414794922
80,80,2019-05-31,163.42787170410156
81,81,2019-06-03,164.0548095703125
82,82,2019-06-04,170.04600524902344
83,83,2019-06-05,168.75640869140625
84,84,2019-06-06,169.98326110839844
85,85,2019-06-07,169.98326110839844
86,86,2019-06-10,173.84307861328125
87,87,2019-06-11,174.3893585205078
88,88,2019-06-12,170.35047912597656
89,89,2019-06-13,171.45196533203125
90,90,2019-06-14,171.6400604248047
91,91,2019-06-17,170.89675903320312
92,92,2019-06-18,174.61322021484375
93,93,2019-06-19,175.20431518554688
94,94,2019-06-20,175.258056640625
95,95,2019-06-21,175.4729766845703
96,96,2019-06-24,176.86109924316406
97,97,2019-06-25,175.58042907714844
98,98,2019-06-26,176.4311981201172
99,99,2019-06-27,178.4999237060547
100,100,2019-06-28,183.2283935546875
101,101,2019-07-01,185.2523193359375
102,102,2019-07-02,184.46424865722656
103,103,2019-07-03,184.5179901123047
104,104,2019-07-05,186.1836700439453
105,105,2019-07-08,184.2582855224609
106,106,2019-07-09,186.0673065185547
107,107,2019-07-10,184.455322265625
108,108,2019-07-11,189.27330017089844
109,109,2019-07-12,191.59280395507807
110,110,2019-07-15,189.47930908203125
111,111,2019-07-16,193.0077362060547
112,112,2019-07-17,191.0196533203125
113,113,2019-07-18,192.1121826171875
114,114,2019-07-19,191.2166290283203
115,115,2019-07-22,191.64651489257807
116,116,2019-07-23,196.50929260253903
117,117,2019-07-24,198.83775329589844
118,118,2019-07-25,197.0018768310547
119,119,2019-07-26,198.9362335205078
120,120,2019-07-29,197.3063507080078
121,121,2019-07-30,198.2735595703125
122,122,2019-07-31,197.13619995117188
123,123,2019-08-01,189.49722290039065
124,124,2019-08-02,187.5001373291016
125,125,2019-08-05,180.61338806152344
126,126,2019-08-06,184.4911346435547
127,127,2019-08-07,184.2493133544922
128,128,2019-08-08,185.377685546875
129,129,2019-08-09,185.2881774902344
130,130,2019-08-12,180.4701232910156
131,131,2019-08-13,182.78958129882807
132,132,2019-08-14,175.13265991210938
133,133,2019-08-15,175.68792724609375
134,134,2019-08-16,178.58949279785156
135,135,2019-08-19,181.07911682128903
136,136,2019-08-20,179.09097290039062
137,137,2019-08-21,179.7178497314453
138,138,2019-08-22,181.2760772705078
139,139,2019-08-23,175.70582580566406
140,140,2019-08-26,178.79541015625
141,141,2019-08-27,177.38050842285156
142,142,2019-08-28,179.48500061035156
143,143,2019-08-29,183.3330078125
144,144,2019-08-30,183.7565460205078
145,145,2019-09-03,179.30477905273438
146,146,2019-09-04,181.7920379638672
147,147,2019-09-05,186.5861968994141
148,148,2019-09-06,186.73040771484372
149,149,2019-09-09,191.0289306640625
150,150,2019-09-10,194.3181915283203
151,151,2019-09-11,195.37257385253903
152,152,2019-09-12,197.12083435058597
153,153,2019-09-13,198.16616821289065
154,154,2019-09-16,195.75103759765625
155,155,2019-09-17,194.57052612304688
156,156,2019-09-18,195.62489318847656
157,157,2019-09-19,193.95773315429688
158,158,2019-09-20,192.614990234375
159,159,2019-09-23,192.3626708984375
160,160,2019-09-24,187.2169952392578
161,161,2019-09-25,189.27169799804688
162,162,2019-09-26,187.64056396484372
163,163,2019-09-27,188.31642150878903
164,164,2019-09-30,186.74839782714844
165,165,2019-10-01,182.65716552734372
166,166,2019-10-02,178.65594482421875
167,167,2019-10-03,177.7458038330078
168,168,2019-10-04,180.9539337158203
169,169,2019-10-07,180.59344482421875
170,170,2019-10-08,177.8629150390625
171,171,2019-10-09,177.39431762695312
172,172,2019-10-10,180.1158447265625
173,173,2019-10-11,184.45042419433597
174,174,2019-10-14,185.47775268554688
175,175,2019-10-15,186.0545196533203
176,176,2019-10-16,186.91964721679688
177,177,2019-10-17,186.0545196533203
178,178,2019-10-18,186.1085662841797
179,179,2019-10-21,188.5687561035156
180,180,2019-10-22,188.88417053222656
181,181,2019-10-23,190.43418884277344
182,182,2019-10-24,190.19085693359372
183,183,2019-10-25,193.05657958984372
184,184,2019-10-28,196.22866821289065
185,185,2019-10-29,196.1295318603516
186,186,2019-10-30,194.4803924560547
187,187,2019-10-31,192.2906036376953
188,188,2019-11-01,195.9042816162109
189,189,2019-11-04,198.1391448974609
190,190,2019-11-05,197.03073120117188
191,191,2019-11-06,196.83241271972656
192,192,2019-11-07,201.22113037109372
193,193,2019-11-08,200.87869262695312
194,194,2019-11-11,197.3821563720703
195,195,2019-11-12,198.6257476806641
196,196,2019-11-13,197.64349365234372
197,197,2019-11-14,197.7425994873047
198,198,2019-11-15,198.4815673828125
199,199,2019-11-18,198.01296997070312
200,200,2019-11-19,198.29234313964844
201,201,2019-11-20,196.3728485107422
202,202,2019-11-21,196.6612091064453
203,203,2019-11-22,198.5086212158203
204,204,2019-11-25,200.73448181152344
205,205,2019-11-26,200.46414184570312
206,206,2019-11-27,200.91476440429688
207,207,2019-11-29,200.5975341796875
208,208,2019-12-02,197.23536682128903
209,209,2019-12-03,192.34164428710935
210,210,2019-12-04,195.69476318359372
211,211,2019-12-05,196.7822265625
212,212,2019-12-06,203.55191040039065
213,213,2019-12-09,201.0144195556641
214,214,2019-12-10,201.07785034179688
215,215,2019-12-11,200.4525451660156
216,216,2019-12-12,204.8568878173828
217,217,2019-12-13,203.90530395507807
218,218,2019-12-16,206.66033935546875
219,219,2019-12-17,209.47874450683597
220,220,2019-12-18,208.8443298339844
221,221,2019-12-19,208.38217163085935
222,222,2019-12-20,207.46685791015625
223,223,2019-12-23,207.6118927001953
224,224,2019-12-24,208.35501098632807
225,225,2019-12-26,209.5331115722656
226,226,2019-12-27,209.03468322753903
227,227,2019-12-30,208.2553253173828
228,228,2019-12-31,208.3731231689453
229,229,2020-01-02,212.3515472412109
230,230,2020-01-03,209.86843872070312
231,231,2020-01-06,212.0162506103516
232,232,2020-01-07,213.4118804931641
233,233,2020-01-08,215.46905517578125
234,234,2020-01-09,219.85525512695312
235,235,2020-01-10,219.41119384765625
236,236,2020-01-13,222.2205810546875
237,237,2020-01-14,222.62838745117188
238,238,2020-01-15,222.2205810546875
239,239,2020-01-16,226.30776977539065
240,240,2020-01-17,226.07212829589844
241,241,2020-01-21,222.66461181640625
242,242,2020-01-22,223.8880615234375
243,243,2020-01-23,222.55587768554688
244,244,2020-01-24,219.239013671875
245,245,2020-01-27,215.81341552734372
246,246,2020-01-28,219.837158203125
247,247,2020-01-29,217.6077423095703
248,248,2020-01-30,221.2418212890625
249,249,2020-01-31,215.4599456787109
250,250,2020-02-03,216.60183715820312
