,Unnamed: 0,Date,PLD
0,0,2019-02-05,61.69986724853516
1,1,2019-02-06,61.2940673828125
2,2,2019-02-07,62.13214874267578
3,3,2019-02-08,62.48501968383789
4,4,2019-02-11,62.67028427124024
5,5,2019-02-12,62.2821159362793
6,6,2019-02-13,62.4761848449707
7,7,2019-02-14,62.50265884399414
8,8,2019-02-15,62.80258941650391
9,9,2019-02-19,62.9702033996582
10,10,2019-02-20,62.03510284423828
11,11,2019-02-21,62.66144180297852
12,12,2019-02-22,63.181941986083984
13,13,2019-02-25,62.86434173583984
14,14,2019-02-26,62.67028427124024
15,15,2019-02-27,61.89396286010742
16,16,2019-02-28,61.80572509765625
17,17,2019-03-01,61.64694213867188
18,18,2019-03-04,62.0527572631836
19,19,2019-03-05,62.0527572631836
20,20,2019-03-06,61.90276718139648
21,21,2019-03-07,61.329345703125
22,22,2019-03-08,61.69986724853516
23,23,2019-03-11,62.62617492675781
24,24,2019-03-12,63.181941986083984
25,25,2019-03-13,63.85239410400391
26,26,2019-03-14,63.79018783569336
27,27,2019-03-15,63.66576766967773
28,28,2019-03-18,62.96371841430664
29,29,2019-03-19,62.59046936035156
30,30,2019-03-20,63.025917053222656
31,31,2019-03-21,64.03902435302734
32,32,2019-03-22,63.159217834472656
33,33,2019-03-25,63.05257797241211
34,34,2019-03-26,64.12789154052734
35,35,2019-03-27,63.62133026123047
36,36,2019-03-28,64.09233856201172
37,37,2019-03-29,63.94124221801758
38,38,2019-04-01,64.17231750488281
39,39,2019-04-02,64.99881744384766
40,40,2019-04-03,65.00770568847656
41,41,2019-04-04,64.7410888671875
42,42,2019-04-05,64.92771911621094
43,43,2019-04-08,64.77664184570312
44,44,2019-04-09,64.32339477539062
45,45,2019-04-10,65.37206268310547
46,46,2019-04-11,65.37206268310547
47,47,2019-04-12,66.14522552490234
48,48,2019-04-15,65.52313995361328
49,49,2019-04-16,64.66998291015625
50,50,2019-04-17,64.21675109863281
51,51,2019-04-18,65.38095092773438
