,Unnamed: 0.1,Unnamed: 0,Date,CHTR,CHTR_6m,CHTR_12m
0,0,0,2019-02-05,340.70001220703125,,
1,1,1,2019-02-06,343.510009765625,,
2,2,2,2019-02-07,344.510009765625,,
3,3,3,2019-02-08,344.1600036621094,,
4,4,4,2019-02-11,337.82000732421875,,
5,5,5,2019-02-12,340.3999938964844,,
6,6,6,2019-02-13,338.489990234375,340.70001220703125,
7,7,7,2019-02-14,341.6000061035156,343.510009765625,
8,8,8,2019-02-15,349.0599975585937,344.510009765625,
9,9,9,2019-02-19,348.42999267578125,344.1600036621094,
10,10,10,2019-02-20,349.760009765625,337.82000732421875,
11,11,11,2019-02-21,349.5400085449219,340.3999938964844,
12,12,12,2019-02-22,350.0799865722656,338.489990234375,340.70001220703125
13,13,13,2019-02-25,348.8999938964844,341.6000061035156,343.510009765625
14,14,14,2019-02-26,346.32000732421875,349.0599975585937,344.510009765625
15,15,15,2019-02-27,345.0299987792969,348.42999267578125,344.1600036621094
16,16,16,2019-02-28,344.9100036621094,349.760009765625,337.82000732421875
17,17,17,2019-03-01,346.5799865722656,349.5400085449219,340.3999938964844
18,18,18,2019-03-04,346.1000061035156,350.0799865722656,338.489990234375
19,19,19,2019-03-05,343.75,348.8999938964844,341.6000061035156
20,20,20,2019-03-06,340.5599975585937,346.32000732421875,349.0599975585937
21,21,21,2019-03-07,340.0299987792969,345.0299987792969,348.42999267578125
22,22,22,2019-03-08,337.5400085449219,344.9100036621094,349.760009765625
23,23,23,2019-03-11,341.0799865722656,346.5799865722656,349.5400085449219
24,24,24,2019-03-12,342.510009765625,346.1000061035156,350.0799865722656
25,25,25,2019-03-13,348.1300048828125,343.75,348.8999938964844
26,26,26,2019-03-14,352.7099914550781,340.5599975585937,346.32000732421875
27,27,27,2019-03-15,355.9200134277344,340.0299987792969,345.0299987792969
28,28,28,2019-03-18,357.3500061035156,337.5400085449219,344.9100036621094
29,29,29,2019-03-19,360.4500122070313,341.0799865722656,346.5799865722656
30,30,30,2019-03-20,362.4400024414063,342.510009765625,346.1000061035156
31,31,31,2019-03-21,366.2699890136719,348.1300048828125,343.75
32,32,32,2019-03-22,360.7799987792969,352.7099914550781,340.5599975585937
33,33,33,2019-03-25,356.8399963378906,355.9200134277344,340.0299987792969
34,34,34,2019-03-26,356.0299987792969,357.3500061035156,337.5400085449219
35,35,35,2019-03-27,355.510009765625,360.4500122070313,341.0799865722656
36,36,36,2019-03-28,352.8699951171875,362.4400024414063,342.510009765625
37,37,37,2019-03-29,346.9100036621094,366.2699890136719,348.1300048828125
38,38,38,2019-04-01,346.2200012207031,360.7799987792969,352.7099914550781
39,39,39,2019-04-02,346.6300048828125,356.8399963378906,355.9200134277344
40,40,40,2019-04-03,345.3699951171875,356.0299987792969,357.3500061035156
41,41,41,2019-04-04,345.7200012207031,355.510009765625,360.4500122070313
42,42,42,2019-04-05,351.44000244140625,352.8699951171875,362.4400024414063
43,43,43,2019-04-08,354.1400146484375,346.9100036621094,366.2699890136719
44,44,44,2019-04-09,354.5599975585937,346.2200012207031,360.7799987792969
45,45,45,2019-04-10,354.3500061035156,346.6300048828125,356.8399963378906
46,46,46,2019-04-11,355.25,345.3699951171875,356.0299987792969
47,47,47,2019-04-12,356.04998779296875,345.7200012207031,355.510009765625
48,48,48,2019-04-15,357.3399963378906,351.44000244140625,352.8699951171875
49,49,49,2019-04-16,358.04998779296875,354.1400146484375,346.9100036621094
50,50,50,2019-04-17,361.6900024414063,354.5599975585937,346.2200012207031
51,51,51,2019-04-18,359.3699951171875,354.3500061035156,346.6300048828125
52,52,52,2019-04-22,358.04998779296875,355.25,345.3699951171875
53,53,53,2019-04-23,358.6300048828125,356.04998779296875,345.7200012207031
54,54,54,2019-04-24,360.5,357.3399963378906,351.44000244140625
55,55,55,2019-04-25,366.760009765625,358.04998779296875,354.1400146484375
56,56,56,2019-04-26,370.1499938964844,361.6900024414063,354.5599975585937
