,Date,SPG
103,2019-07-02 00:00:00-04:00,124.46369171142578
104,2019-07-03 00:00:00-04:00,126.8307876586914
105,2019-07-05 00:00:00-04:00,125.23993682861328
106,2019-07-08 00:00:00-04:00,126.25438690185547
107,2019-07-09 00:00:00-04:00,126.446533203125
108,2019-07-10 00:00:00-04:00,125.94696807861328
109,2019-07-11 00:00:00-04:00,124.9248275756836
110,2019-07-12 00:00:00-04:00,124.70193481445312
111,2019-07-15 00:00:00-04:00,124.96326446533203
112,2019-07-16 00:00:00-04:00,124.51751708984375
113,2019-07-17 00:00:00-04:00,123.07266235351562
114,2019-07-18 00:00:00-04:00,122.4962387084961
115,2019-07-19 00:00:00-04:00,120.2291030883789
116,2019-07-22 00:00:00-04:00,119.22232818603516
117,2019-07-23 00:00:00-04:00,121.62012481689453
118,2019-07-24 00:00:00-04:00,122.32720184326172
119,2019-07-25 00:00:00-04:00,121.67395782470703
120,2019-07-26 00:00:00-04:00,121.68160247802734
121,2019-07-29 00:00:00-04:00,122.68840026855469
122,2019-07-30 00:00:00-04:00,123.12644958496094
123,2019-07-31 00:00:00-04:00,124.65584564208984
124,2019-08-01 00:00:00-04:00,121.02836608886719
125,2019-08-02 00:00:00-04:00,122.388671875
126,2019-08-05 00:00:00-04:00,118.93028259277344
127,2019-08-06 00:00:00-04:00,117.93885803222656
128,2019-08-07 00:00:00-04:00,117.9850082397461
129,2019-08-08 00:00:00-04:00,119.23770141601562
130,2019-08-09 00:00:00-04:00,119.0840072631836
131,2019-08-12 00:00:00-04:00,117.6160888671875
132,2019-08-13 00:00:00-04:00,119.39909362792969
133,2019-08-14 00:00:00-04:00,116.9090347290039
134,2019-08-15 00:00:00-04:00,115.24916076660156
135,2019-08-16 00:00:00-04:00,115.81022644042969
136,2019-08-19 00:00:00-04:00,116.86231231689453
137,2019-08-20 00:00:00-04:00,114.96080017089844
138,2019-08-21 00:00:00-04:00,114.85172271728516
139,2019-08-22 00:00:00-04:00,115.88036346435547
140,2019-08-23 00:00:00-04:00,113.79966735839844
141,2019-08-26 00:00:00-04:00,114.54000091552734
142,2019-08-27 00:00:00-04:00,113.36327362060547
143,2019-08-28 00:00:00-04:00,114.19710540771484
144,2019-08-29 00:00:00-04:00,115.50631713867188
145,2019-08-30 00:00:00-04:00,116.06742095947266
146,2019-09-03 00:00:00-04:00,116.51158905029297
147,2019-09-04 00:00:00-04:00,117.01036071777344
148,2019-09-05 00:00:00-04:00,116.94022369384766
149,2019-09-06 00:00:00-04:00,117.86756896972656
150,2019-09-09 00:00:00-04:00,123.29143524169922
151,2019-09-10 00:00:00-04:00,125.6370620727539
152,2019-09-11 00:00:00-04:00,123.02644348144531
153,2019-09-12 00:00:00-04:00,121.00033569335938
154,2019-09-13 00:00:00-04:00,119.95606231689453
155,2019-09-16 00:00:00-04:00,120.31454467773438
156,2019-09-17 00:00:00-04:00,120.14308166503906
157,2019-09-18 00:00:00-04:00,121.42892456054688
158,2019-09-19 00:00:00-04:00,120.4937744140625
159,2019-09-20 00:00:00-04:00,120.82106018066406
160,2019-09-23 00:00:00-04:00,120.75096130371094
161,2019-09-24 00:00:00-04:00,120.01063537597656
162,2019-09-25 00:00:00-04:00,119.82356262207031
163,2019-09-26 00:00:00-04:00,121.27306365966797
164,2019-09-27 00:00:00-04:00,123.09660339355469
165,2019-09-30 00:00:00-04:00,121.29642486572266
166,2019-10-01 00:00:00-04:00,118.7325668334961
167,2019-10-02 00:00:00-04:00,116.24662780761719
