,Unnamed: 0,Date,VTR
0,0,2019-02-05,51.71913528442383
1,1,2019-02-06,51.36529541015625
2,2,2019-02-07,51.831729888916016
3,3,2019-02-08,51.68696975708008
4,4,2019-02-11,51.268775939941406
5,5,2019-02-12,51.019474029541016
6,6,2019-02-13,51.646766662597656
7,7,2019-02-14,52.06495666503906
8,8,2019-02-15,52.44293594360352
9,9,2019-02-19,52.056915283203125
10,10,2019-02-20,50.93101501464844
11,11,2019-02-21,51.4537467956543
12,12,2019-02-22,51.670894622802734
13,13,2019-02-25,51.043601989746094
14,14,2019-02-26,50.76211929321289
15,15,2019-02-27,50.77017211914063
16,16,2019-02-28,50.46456146240234
17,17,2019-03-01,50.09462738037109
18,18,2019-03-04,50.38415145874024
19,19,2019-03-05,50.23133850097656
20,20,2019-03-06,49.77293014526367
21,21,2019-03-07,49.73272705078125
22,22,2019-03-08,49.85335922241211
23,23,2019-03-11,50.81037139892578
24,24,2019-03-12,51.02751159667969
25,25,2019-03-13,51.09185409545898
26,26,2019-03-14,51.14010238647461
27,27,2019-03-15,50.33589172363281
28,28,2019-03-18,49.46733856201172
29,29,2019-03-19,49.12152862548828
30,30,2019-03-20,49.60405731201172
31,31,2019-03-21,51.23661422729492
32,32,2019-03-22,51.65480422973633
33,33,2019-03-25,52.03278732299805
34,34,2019-03-26,52.44293594360352
35,35,2019-03-27,51.69501876831055
36,36,2019-03-28,52.4751091003418
37,37,2019-03-29,51.94837951660156
38,38,2019-04-01,51.50061798095703
39,39,2019-04-02,51.78556442260742
40,40,2019-04-03,51.13426971435547
41,41,2019-04-04,50.80049133300781
42,42,2019-04-05,51.43548202514648
43,43,2019-04-08,50.64579772949219
44,44,2019-04-09,50.56438446044922
45,45,2019-04-10,50.96330642700195
46,46,2019-04-11,50.38528060913086
47,47,2019-04-12,50.49926376342773
48,48,2019-04-15,50.556243896484375
49,49,2019-04-16,48.6430892944336
50,50,2019-04-17,47.454498291015625
51,51,2019-04-18,48.05693054199219
52,52,2019-04-22,47.03114700317383
53,53,2019-04-23,47.53590393066406
54,54,2019-04-24,48.45584487915039
55,55,2019-04-25,48.42327499389648
56,56,2019-04-26,49.302520751953125
57,57,2019-04-29,48.76521301269531
58,58,2019-04-30,49.750282287597656
59,59,2019-05-01,49.7584228515625
60,60,2019-05-02,50.09220504760742
61,61,2019-05-03,50.8656120300293
62,62,2019-05-06,50.50740814208984
63,63,2019-05-07,49.63631057739258
64,64,2019-05-08,49.71772384643555
65,65,2019-05-09,50.222469329833984
66,66,2019-05-10,50.9225959777832
67,67,2019-05-13,51.63087463378906
68,68,2019-05-14,51.68786239624024
69,69,2019-05-15,52.25774383544922
70,70,2019-05-16,52.64850997924805
71,71,2019-05-17,52.89274597167969
72,72,2019-05-20,52.19261169433594
73,73,2019-05-21,52.51825714111328
74,74,2019-05-22,52.86018371582031
75,75,2019-05-23,53.39749526977539
76,76,2019-05-24,53.68243789672852
77,77,2019-05-28,52.67293930053711
78,78,2019-05-29,52.29844284057617
79,79,2019-05-30,52.23331832885742
80,80,2019-05-31,52.347293853759766
81,81,2019-06-03,52.22517776489258
82,82,2019-06-04,50.63766479492188
83,83,2019-06-05,51.923954010009766
84,84,2019-06-06,51.90766906738281
85,85,2019-06-07,52.607818603515625
86,86,2019-06-10,52.30658721923828
87,87,2019-06-11,52.50196838378906
88,88,2019-06-12,52.80319595336914
89,89,2019-06-13,53.26723098754883
90,90,2019-06-14,54.35000991821289
91,91,2019-06-17,55.84796524047852
92,92,2019-06-18,55.84796524047852
93,93,2019-06-19,56.702781677246094
94,94,2019-06-20,58.420555114746094
95,95,2019-06-21,57.248233795166016
96,96,2019-06-24,57.18310546875
97,97,2019-06-25,56.53995895385742
98,98,2019-06-26,55.709571838378906
99,99,2019-06-27,56.515533447265625
100,100,2019-06-28,56.28742218017578
101,101,2019-07-01,55.925086975097656
102,102,2019-07-02,56.87211990356445
103,103,2019-07-03,58.06622695922852
104,104,2019-07-05,57.47329330444336
105,105,2019-07-08,57.72857284545898
106,106,2019-07-09,57.95915603637695
107,107,2019-07-10,58.35445022583008
108,108,2019-07-11,57.185054779052734
109,109,2019-07-12,56.92154693603516
110,110,2019-07-15,56.49330139160156
111,111,2019-07-16,56.13918685913086
112,112,2019-07-17,56.49330139160156
113,113,2019-07-18,56.740360260009766
114,114,2019-07-19,55.10979461669922
115,115,2019-07-22,55.41448974609375
116,116,2019-07-23,56.04859924316406
117,117,2019-07-24,55.90037155151367
118,118,2019-07-25,55.57918930053711
119,119,2019-07-26,55.20037078857422
120,120,2019-07-29,55.628604888916016
121,121,2019-07-30,55.75213241577149
122,122,2019-07-31,55.41448974609375
123,123,2019-08-01,55.7274284362793
124,124,2019-08-02,56.68271255493164
125,125,2019-08-05,55.89214324951172
126,126,2019-08-06,56.62505722045898
127,127,2019-08-07,58.3626823425293
128,128,2019-08-08,59.194435119628906
129,129,2019-08-09,58.947383880615234
130,130,2019-08-12,58.98856735229492
131,131,2019-08-13,58.70856475830078
132,132,2019-08-14,58.83210372924805
133,133,2019-08-15,60.0179557800293
134,134,2019-08-16,60.28147506713867
135,135,2019-08-19,60.38030624389648
136,136,2019-08-20,59.72148895263672
137,137,2019-08-21,59.84500503540039
138,138,2019-08-22,59.83679962158203
139,139,2019-08-23,59.28501510620117
140,140,2019-08-26,60.05913543701172
141,141,2019-08-27,59.95207977294922
142,142,2019-08-28,59.968544006347656
143,143,2019-08-29,60.62735366821289
144,144,2019-08-30,60.43795394897461
145,145,2019-09-03,61.442649841308594
