,Unnamed: 0,Date,PGR
0,0,2019-02-05,59.24087524414063
1,1,2019-02-06,60.16691970825195
2,2,2019-02-07,60.30048751831055
3,3,2019-02-08,60.87037658691406
4,4,2019-02-11,61.58273315429688
5,5,2019-02-12,61.70738983154297
6,6,2019-02-13,63.04304504394531
7,7,2019-02-14,62.96290969848633
8,8,2019-02-15,63.45265197753906
9,9,2019-02-19,63.9423828125
10,10,2019-02-20,64.53897857666016
11,11,2019-02-21,64.20952606201172
12,12,2019-02-22,64.35198211669922
13,13,2019-02-25,64.76158142089844
14,14,2019-02-26,64.39649963378906
15,15,2019-02-27,64.74378967285156
16,16,2019-02-28,64.91295623779297
17,17,2019-03-01,65.01980590820312
18,18,2019-03-04,64.74378967285156
19,19,2019-03-05,64.55677032470703
20,20,2019-03-06,64.03143310546875
21,21,2019-03-07,64.30746459960938
22,22,2019-03-08,64.35198211669922
23,23,2019-03-11,64.86843872070312
24,24,2019-03-12,65.5184555053711
25,25,2019-03-13,64.39649963378906
26,26,2019-03-14,64.87735748291016
27,27,2019-03-15,65.54518127441406
28,28,2019-03-18,65.0554428100586
29,29,2019-03-19,64.46773529052734
30,30,2019-03-20,64.12047576904297
31,31,2019-03-21,65.11774444580078
32,32,2019-03-22,64.80610656738281
33,33,2019-03-25,64.75269317626953
34,34,2019-03-26,65.16228485107422
35,35,2019-03-27,64.74378967285156
36,36,2019-03-28,64.48554229736328
37,37,2019-03-29,64.19169616699219
38,38,2019-04-01,64.78829193115234
39,39,2019-04-02,64.72596740722656
40,40,2019-04-03,65.02871704101562
41,41,2019-04-04,64.67205810546875
42,42,2019-04-05,64.82363891601562
43,43,2019-04-08,64.2083969116211
44,44,2019-04-09,63.78040313720703
45,45,2019-04-10,64.26190185546875
46,46,2019-04-11,63.99439239501953
47,47,2019-04-12,64.74340057373047
48,48,2019-04-15,64.43131256103516
49,49,2019-04-16,68.88960266113281
50,50,2019-04-17,67.9087905883789
51,51,2019-04-18,66.87444305419922
52,52,2019-04-22,66.48212432861328
53,53,2019-04-23,67.48970794677734
54,54,2019-04-24,66.93688201904297
55,55,2019-04-25,67.4094467163086
56,56,2019-04-26,67.9355239868164
57,57,2019-04-29,68.75585174560547
58,58,2019-04-30,69.68318939208984
59,59,2019-05-01,68.57752990722656
60,60,2019-05-02,67.37378692626953
61,61,2019-05-03,66.36621856689453
62,62,2019-05-06,66.19679260253906
63,63,2019-05-07,64.90390014648438
64,64,2019-05-08,65.5547866821289
65,65,2019-05-09,64.9573974609375
66,66,2019-05-10,65.47453308105469
67,67,2019-05-13,64.68096923828125
68,68,2019-05-14,65.66178894042969
69,69,2019-05-15,69.10358428955078
70,70,2019-05-16,69.4156723022461
71,71,2019-05-17,69.29978942871094
72,72,2019-05-20,69.81693267822266
73,73,2019-05-21,71.39517974853516
74,74,2019-05-22,71.7340087890625
75,75,2019-05-23,71.07416534423828
76,76,2019-05-24,71.52892303466797
77,77,2019-05-28,70.87799835205078
78,78,2019-05-29,71.27924346923828
79,79,2019-05-30,71.45758819580078
80,80,2019-05-31,70.69075775146484
81,81,2019-06-03,71.18116760253906
82,82,2019-06-04,72.95556640625
83,83,2019-06-05,74.31088256835938
84,84,2019-06-06,74.14147186279297
85,85,2019-06-07,74.168212890625
86,86,2019-06-10,73.64213562011719
87,87,2019-06-11,73.62431335449219
88,88,2019-06-12,72.34033203125
89,89,2019-06-13,72.79505920410156
90,90,2019-06-14,73.08040618896484
91,91,2019-06-17,72.63458251953125
92,92,2019-06-18,72.51864624023438
93,93,2019-06-19,72.88423919677734
94,94,2019-06-20,73.0001449584961
95,95,2019-06-21,71.43975067138672
96,96,2019-06-24,71.65376281738281
97,97,2019-06-25,70.94041442871094
98,98,2019-06-26,70.07551574707031
99,99,2019-06-27,71.05632781982422
100,100,2019-06-28,71.27033996582031
101,101,2019-07-01,72.89313507080078
102,102,2019-07-02,73.68673706054688
103,103,2019-07-03,74.67767333984375
104,104,2019-07-05,74.98120880126953
105,105,2019-07-08,74.65087890625
106,106,2019-07-09,74.52590942382812
107,107,2019-07-10,74.48127746582031
108,108,2019-07-11,74.7669448852539
109,109,2019-07-12,75.33830261230469
110,110,2019-07-15,74.96334838867188
111,111,2019-07-16,75.09727478027344
112,112,2019-07-17,71.59773254394531
113,113,2019-07-18,72.4815444946289
114,114,2019-07-19,71.40132141113281
115,115,2019-07-22,72.32975769042969
116,116,2019-07-23,71.91910552978516
117,117,2019-07-24,72.32975769042969
118,118,2019-07-25,72.47261047363281
119,119,2019-07-26,72.93682861328125
120,120,2019-07-29,72.4904556274414
121,121,2019-07-30,72.05300903320312
122,122,2019-07-31,72.29405975341797
123,123,2019-08-01,71.52632141113281
124,124,2019-08-02,71.20491027832031
125,125,2019-08-05,69.04450988769531
126,126,2019-08-06,71.0174560546875
127,127,2019-08-07,70.05328369140625
128,128,2019-08-08,71.26741027832031
129,129,2019-08-09,71.95481872558594
130,130,2019-08-12,70.5442886352539
131,131,2019-08-13,70.93710327148438
132,132,2019-08-14,67.47325897216797
133,133,2019-08-15,68.77667236328125
134,134,2019-08-16,69.17841339111328
135,135,2019-08-19,69.55335235595703
136,136,2019-08-20,68.49993133544922
137,137,2019-08-21,69.00877380371094
138,138,2019-08-22,68.80345916748047
139,139,2019-08-23,67.08938598632812
140,140,2019-08-26,67.66073608398438
141,141,2019-08-27,66.91976165771484
142,142,2019-08-28,66.83049011230469
143,143,2019-08-29,67.66073608398438
144,144,2019-08-30,67.66969299316406
145,145,2019-09-03,67.50897216796875
