,Unnamed: 0.1,Unnamed: 0,Date,HLT,HLT_6m,HLT_12m
0,0,0,2019-02-05,73.47621154785156,,
1,1,1,2019-02-06,74.4116439819336,,
2,2,2,2019-02-07,73.53528594970703,,
3,3,3,2019-02-08,72.7770767211914,,
4,4,4,2019-02-11,73.25958251953125,,
5,5,5,2019-02-12,73.1808090209961,,
6,6,6,2019-02-13,78.15340423583984,73.47621154785156,
7,7,7,2019-02-14,78.9312973022461,74.4116439819336,
8,8,8,2019-02-15,80.49691009521484,73.53528594970703,
9,9,9,2019-02-19,80.14244079589844,72.7770767211914,
10,10,10,2019-02-20,82.06254577636719,73.25958251953125,
11,11,11,2019-02-21,81.97391510009766,73.1808090209961,
12,12,12,2019-02-22,83.72663879394531,78.15340423583984,73.47621154785156
13,13,13,2019-02-25,82.26932525634766,78.9312973022461,74.4116439819336
14,14,14,2019-02-26,82.21025085449219,80.49691009521484,73.53528594970703
15,15,15,2019-02-27,82.21025085449219,80.14244079589844,72.7770767211914
16,16,16,2019-02-28,81.9734878540039,82.06254577636719,73.25958251953125
17,17,17,2019-03-01,82.64427185058594,81.97391510009766,73.1808090209961
18,18,18,2019-03-04,82.24970245361328,83.72663879394531,78.15340423583984
19,19,19,2019-03-05,82.87116241455078,82.26932525634766,78.9312973022461
20,20,20,2019-03-06,82.82183837890625,82.21025085449219,80.49691009521484
21,21,21,2019-03-07,81.79592895507812,82.21025085449219,80.14244079589844
22,22,22,2019-03-08,81.33229064941406,81.9734878540039,82.06254577636719
23,23,23,2019-03-11,81.67755889892578,82.64427185058594,81.97391510009766
24,24,24,2019-03-12,82.279296875,82.24970245361328,83.72663879394531
25,25,25,2019-03-13,82.5357666015625,82.87116241455078,82.26932525634766
26,26,26,2019-03-14,83.84773254394531,82.82183837890625,82.21025085449219
27,27,27,2019-03-15,84.59744262695312,81.79592895507812,82.21025085449219
28,28,28,2019-03-18,85.04132843017578,81.33229064941406,81.9734878540039
29,29,29,2019-03-19,84.53825378417969,81.67755889892578,82.64427185058594
30,30,30,2019-03-20,83.76881408691406,82.279296875,82.24970245361328
31,31,31,2019-03-21,84.62702941894531,82.5357666015625,82.87116241455078
32,32,32,2019-03-22,83.4235610961914,83.84773254394531,82.82183837890625
33,33,33,2019-03-25,82.88102722167969,84.59744262695312,81.79592895507812
34,34,34,2019-03-26,82.36807250976562,85.04132843017578,81.33229064941406
35,35,35,2019-03-27,81.33229064941406,84.53825378417969,81.67755889892578
