,Unnamed: 0,Date,DE
0,0,2019-02-05,152.7917022705078
1,1,2019-02-06,152.29855346679688
2,2,2019-02-07,150.54930114746094
3,3,2019-02-08,151.4332275390625
4,4,2019-02-11,150.67958068847656
5,5,2019-02-12,153.7035675048828
6,6,2019-02-13,151.38670349121094
7,7,2019-02-14,151.1261749267578
8,8,2019-02-15,147.93467712402344
9,9,2019-02-19,146.324951171875
10,10,2019-02-20,148.76278686523438
11,11,2019-02-21,151.52630615234375
12,12,2019-02-22,154.42933654785156
13,13,2019-02-25,153.39649963378906
14,14,2019-02-26,152.41024780273438
15,15,2019-02-27,152.21482849121094
16,16,2019-02-28,152.63352966308594
17,17,2019-03-01,151.9542999267578
18,18,2019-03-04,154.28976440429688
19,19,2019-03-05,150.22361755371094
20,20,2019-03-06,147.2368621826172
21,21,2019-03-07,147.03211975097656
22,22,2019-03-08,147.9532928466797
23,23,2019-03-11,149.2652587890625
24,24,2019-03-12,148.07427978515625
25,25,2019-03-13,148.5767059326172
26,26,2019-03-14,146.79022216796875
27,27,2019-03-15,147.153076171875
28,28,2019-03-18,149.1536102294922
29,29,2019-03-19,149.77699279785156
30,30,2019-03-20,148.55810546875
31,31,2019-03-21,148.62322998046875
32,32,2019-03-22,145.0968017578125
33,33,2019-03-25,146.39010620117188
34,34,2019-03-26,146.64137268066406
35,35,2019-03-27,147.26473999023438
36,36,2019-03-28,147.7976837158203
37,37,2019-03-29,149.4431610107422
38,38,2019-04-01,151.3785400390625
39,39,2019-04-02,151.57489013671875
40,40,2019-04-03,152.76229858398438
41,41,2019-04-04,153.55702209472656
42,42,2019-04-05,154.29559326171875
43,43,2019-04-08,154.26754760742188
44,44,2019-04-09,148.4989013671875
45,45,2019-04-10,148.31187438964844
46,46,2019-04-11,149.74237060546875
47,47,2019-04-12,150.95779418945312
48,48,2019-04-15,151.92083740234375
49,49,2019-04-16,153.85618591308594
50,50,2019-04-17,154.6883087158203
51,51,2019-04-18,158.0541229248047
52,52,2019-04-22,158.14761352539062
53,53,2019-04-23,156.84803771972656
54,54,2019-04-24,154.55738830566406
55,55,2019-04-25,151.28504943847656
56,56,2019-04-26,154.2769317626953
57,57,2019-04-29,155.4736328125
58,58,2019-04-30,154.85658264160156
59,59,2019-05-01,153.8374786376953
60,60,2019-05-02,153.44480895996094
61,61,2019-05-03,156.05331420898438
62,62,2019-05-06,149.7610626220703
63,63,2019-05-07,147.49850463867188
64,64,2019-05-08,145.46963500976562
65,65,2019-05-09,145.3667755126953
66,66,2019-05-10,145.8997039794922
67,67,2019-05-13,136.76519775390625
68,68,2019-05-14,137.5412139892578
69,69,2019-05-15,135.41885375976562
