,Unnamed: 0.1,Unnamed: 0,Date,ALB,ALB_6m,ALB_12m
0,0,0,2019-02-05,76.55622863769531,,
1,1,1,2019-02-06,77.37527465820312,,
2,2,2,2019-02-07,75.91606903076172,,
3,3,3,2019-02-08,76.26438903808594,,
4,4,4,2019-02-11,76.12317657470703,,
5,5,5,2019-02-12,75.73719787597656,,
6,6,6,2019-02-13,76.94223022460938,76.55622863769531,
7,7,7,2019-02-14,75.70893859863281,77.37527465820312,
8,8,8,2019-02-15,76.60330963134766,75.91606903076172,
9,9,9,2019-02-19,78.26020050048828,76.26438903808594,
10,10,10,2019-02-20,77.95893859863281,76.12317657470703,
11,11,11,2019-02-21,84.03111267089844,75.73719787597656,
12,12,12,2019-02-22,83.95578002929688,76.94223022460938,76.55622863769531
13,13,13,2019-02-25,86.2057876586914,75.70893859863281,77.37527465820312
14,14,14,2019-02-26,85.66918182373047,76.60330963134766,75.91606903076172
15,15,15,2019-02-27,86.87418365478516,78.26020050048828,76.26438903808594
16,16,16,2019-02-28,85.94218444824219,77.95893859863281,76.12317657470703
17,17,17,2019-03-01,85.47148895263672,84.03111267089844,75.73719787597656
18,18,18,2019-03-04,83.30620574951172,83.95578002929688,76.94223022460938
19,19,19,2019-03-05,82.77899932861328,86.2057876586914,75.70893859863281
20,20,20,2019-03-06,81.3104019165039,85.66918182373047,76.60330963134766
21,21,21,2019-03-07,79.64408874511719,86.87418365478516,78.26020050048828
22,22,22,2019-03-08,78.10958099365234,85.94218444824219,77.95893859863281
23,23,23,2019-03-11,80.50077056884766,85.47148895263672,84.03111267089844
24,24,24,2019-03-12,80.463134765625,83.30620574951172,83.95578002929688
25,25,25,2019-03-13,81.15977478027344,82.77899932861328,86.2057876586914
26,26,26,2019-03-14,80.10842895507812,81.3104019165039,85.66918182373047
27,27,27,2019-03-15,80.76079559326172,79.64408874511719,86.87418365478516
28,28,28,2019-03-18,81.71571350097656,78.10958099365234,85.94218444824219
29,29,29,2019-03-19,80.58114624023438,80.50077056884766,85.47148895263672
30,30,30,2019-03-20,79.83424377441406,80.463134765625,83.30620574951172
31,31,31,2019-03-21,80.84589385986328,81.15977478027344,82.77899932861328
32,32,32,2019-03-22,78.20807647705078,80.10842895507812,81.3104019165039
33,33,33,2019-03-25,77.13026428222656,80.76079559326172,79.64408874511719
34,34,34,2019-03-26,76.61969757080078,81.71571350097656,78.10958099365234
35,35,35,2019-03-27,75.77824401855469,80.58114624023438,80.50077056884766
36,36,36,2019-03-28,76.74260711669922,79.83424377441406,80.463134765625
37,37,37,2019-03-29,77.5084228515625,80.84589385986328,81.15977478027344
38,38,38,2019-04-01,79.60733795166016,78.20807647705078,80.10842895507812
39,39,39,2019-04-02,78.37825012207031,77.13026428222656,80.76079559326172
40,40,40,2019-04-03,79.6167984008789,76.61969757080078,81.71571350097656
41,41,41,2019-04-04,80.88369750976562,75.77824401855469,80.58114624023438
42,42,42,2019-04-05,81.4415054321289,76.74260711669922,79.83424377441406
43,43,43,2019-04-08,82.1978988647461,77.5084228515625,80.84589385986328
44,44,44,2019-04-09,80.15571594238281,79.60733795166016,78.20807647705078
45,45,45,2019-04-10,80.88369750976562,78.37825012207031,77.13026428222656
46,46,46,2019-04-11,78.1986083984375,79.6167984008789,76.61969757080078
47,47,47,2019-04-12,79.09678649902344,80.88369750976562,75.77824401855469
48,48,48,2019-04-15,77.77316284179688,81.4415054321289,76.74260711669922
49,49,49,2019-04-16,78.67134094238281,82.1978988647461,77.5084228515625
50,50,50,2019-04-17,77.62188720703125,80.15571594238281,79.60733795166016
51,51,51,2019-04-18,78.06623840332031,80.88369750976562,78.37825012207031
52,52,52,2019-04-22,77.68805694580078,78.1986083984375,79.6167984008789
53,53,53,2019-04-23,74.73824310302734,79.09678649902344,80.88369750976562
54,54,54,2019-04-24,72.6109619140625,77.77316284179688,81.4415054321289
55,55,55,2019-04-25,70.7862319946289,78.67134094238281,82.1978988647461
56,56,56,2019-04-26,71.43860626220703,77.62188720703125,80.15571594238281
57,57,57,2019-04-29,71.58039855957031,78.06623840332031,80.88369750976562
58,58,58,2019-04-30,70.96588134765625,77.68805694580078,78.1986083984375
59,59,59,2019-05-01,70.02987670898438,74.73824310302734,79.09678649902344
60,60,60,2019-05-02,71.93968963623047,72.6109619140625,77.77316284179688
61,61,61,2019-05-03,72.84732818603516,70.7862319946289,78.67134094238281
62,62,62,2019-05-06,72.84732818603516,71.43860626220703,77.62188720703125
63,63,63,2019-05-07,71.71278381347656,71.58039855957031,78.06623840332031
64,64,64,2019-05-08,68.62114715576172,70.96588134765625,77.68805694580078
65,65,65,2019-05-09,68.64950561523438,70.02987670898438,74.73824310302734
66,66,66,2019-05-10,68.66841125488281,71.93968963623047,72.6109619140625
67,67,67,2019-05-13,64.81095886230469,72.84732818603516,70.7862319946289
68,68,68,2019-05-14,66.3898696899414,72.84732818603516,71.43860626220703
