,Unnamed: 0.1,Unnamed: 0,Date,AAPL,AAPL_6m,AAPL_12m
0,0,0,2019-02-05,41.79496383666992,,
1,1,1,2019-02-06,41.80935287475586,,
2,2,2,2019-02-07,41.01751327514648,,
3,3,3,2019-02-08,41.065711975097656,,
4,4,4,2019-02-11,40.829551696777344,,
5,5,5,2019-02-12,41.18138885498047,,
6,6,6,2019-02-13,41.010284423828125,41.79496383666992,
7,7,7,2019-02-14,41.1596908569336,41.80935287475586,
8,8,8,2019-02-15,41.068115234375,41.01751327514648,
9,9,9,2019-02-19,41.19101333618164,41.065711975097656,
10,10,10,2019-02-20,41.45610427856445,40.829551696777344,
11,11,11,2019-02-21,41.22235107421875,41.18138885498047,
12,12,12,2019-02-22,41.6826286315918,41.010284423828125,41.79496383666992
13,13,13,2019-02-25,41.98625564575195,41.1596908569336,41.80935287475586
14,14,14,2019-02-26,42.01035690307617,41.068115234375,41.01751327514648
15,15,15,2019-02-27,42.1404914855957,41.19101333618164,41.065711975097656
16,16,16,2019-02-28,41.72599792480469,41.45610427856445,40.829551696777344
17,17,17,2019-03-01,42.16458511352539,41.22235107421875,41.18138885498047
18,18,18,2019-03-04,42.37666320800781,41.6826286315918,41.010284423828125
19,19,19,2019-03-05,42.29954528808594,41.98625564575195,41.1596908569336
20,20,20,2019-03-06,42.05614471435547,42.01035690307617,41.068115234375
21,21,21,2019-03-07,41.569366455078125,42.1404914855957,41.19101333618164
22,22,22,2019-03-08,41.66816711425781,41.72599792480469,41.45610427856445
23,23,23,2019-03-11,43.11164855957031,42.16458511352539,41.22235107421875
24,24,24,2019-03-12,43.59601974487305,42.37666320800781,41.6826286315918
25,25,25,2019-03-13,43.7888069152832,42.29954528808594,41.98625564575195
26,26,26,2019-03-14,44.27558135986328,42.05614471435547,42.01035690307617
27,27,27,2019-03-15,44.851539611816406,41.569366455078125,42.1404914855957
28,28,28,2019-03-18,45.30940246582031,41.66816711425781,41.72599792480469
29,29,29,2019-03-19,44.950340270996094,43.11164855957031,42.16458511352539
30,30,30,2019-03-20,45.3431396484375,43.59601974487305,42.37666320800781
31,31,31,2019-03-21,47.01314926147461,43.7888069152832,42.29954528808594
32,32,32,2019-03-22,46.039581298828125,44.27558135986328,42.05614471435547
33,33,33,2019-03-25,45.48291778564453,44.851539611816406,41.569366455078125
34,34,34,2019-03-26,45.01298904418945,45.30940246582031,41.66816711425781
35,35,35,2019-03-27,45.417850494384766,44.950340270996094,43.11164855957031
36,36,36,2019-03-28,45.47809219360352,45.3431396484375,43.59601974487305
37,37,37,2019-03-29,45.77450180053711,47.01314926147461,43.7888069152832
38,38,38,2019-04-01,46.08536911010742,46.039581298828125,44.27558135986328
39,39,39,2019-04-02,46.75529861450195,45.48291778564453,44.851539611816406
40,40,40,2019-04-03,47.07579803466797,45.01298904418945,45.30940246582031
41,41,41,2019-04-04,47.15773391723633,45.417850494384766,44.950340270996094
42,42,42,2019-04-05,47.473419189453125,45.47809219360352,45.3431396484375
43,43,43,2019-04-08,48.220462799072266,45.77450180053711,47.01314926147461
44,44,44,2019-04-09,48.07587432861328,46.08536911010742,46.039581298828125
45,45,45,2019-04-10,48.34577560424805,46.75529861450195,45.48291778564453
46,46,46,2019-04-11,47.94333267211914,47.07579803466797,45.01298904418945
47,47,47,2019-04-12,47.92405319213867,47.15773391723633,45.417850494384766
48,48,48,2019-04-15,48.01081085205078,47.473419189453125,45.47809219360352
49,49,49,2019-04-16,48.01562881469727,48.220462799072266,45.77450180053711
50,50,50,2019-04-17,48.950645446777344,48.07587432861328,46.08536911010742
51,51,51,2019-04-18,49.126556396484375,48.34577560424805,46.75529861450195
52,52,52,2019-04-22,49.28800964355469,47.94333267211914,47.07579803466797
53,53,53,2019-04-23,49.998905181884766,47.92405319213867,47.15773391723633
54,54,54,2019-04-24,49.92179870605469,48.01081085205078,47.473419189453125
55,55,55,2019-04-25,49.468746185302734,48.01562881469727,48.220462799072266
56,56,56,2019-04-26,49.23259353637695,48.950645446777344,48.07587432861328
57,57,57,2019-04-29,49.30729675292969,49.126556396484375,48.34577560424805
58,58,58,2019-04-30,48.35782623291016,49.28800964355469,47.94333267211914
59,59,59,2019-05-01,50.73149490356445,49.998905181884766,47.92405319213867
60,60,60,2019-05-02,50.40134811401367,49.92179870605469,48.01081085205078
61,61,61,2019-05-03,51.02790832519531,49.468746185302734,48.01562881469727
62,62,62,2019-05-06,50.239891052246094,49.23259353637695,48.950645446777344
63,63,63,2019-05-07,48.88557434082031,49.30729675292969,49.126556396484375
64,64,64,2019-05-08,48.89521408081055,48.35782623291016,49.28800964355469
65,65,65,2019-05-09,48.36986923217773,50.73149490356445,49.998905181884766
66,66,66,2019-05-10,47.69978332519531,50.40134811401367,49.92179870605469
67,67,67,2019-05-13,44.92749786376953,51.02790832519531,49.468746185302734
68,68,68,2019-05-14,45.63870620727539,50.239891052246094,49.23259353637695
69,69,69,2019-05-15,46.18542098999024,48.88557434082031,49.30729675292969
70,70,70,2019-05-16,45.98222351074219,48.89521408081055,48.35782623291016
71,71,71,2019-05-17,45.72096252441406,48.36986923217773,50.73149490356445
72,72,72,2019-05-20,44.29126739501953,47.69978332519531,50.40134811401367
73,73,73,2019-05-21,45.140380859375,44.92749786376953,51.02790832519531
74,74,74,2019-05-22,44.216285705566406,45.63870620727539,50.239891052246094
75,75,75,2019-05-23,43.46152114868164,46.18542098999024,48.88557434082031
76,76,76,2019-05-24,43.29460144042969,45.98222351074219,48.89521408081055
