,Unnamed: 0.1,Unnamed: 0,Date,TER,TER_6m,TER_12m
0,0,0,2019-02-05,36.45071029663086,,
1,1,1,2019-02-06,37.57303237915039,,
2,2,2,2019-02-07,36.73373794555664,,
3,3,3,2019-02-08,36.63614654541016,,
4,4,4,2019-02-11,36.958194732666016,,
5,5,5,2019-02-12,37.97314834594727,,
6,6,6,2019-02-13,38.20737838745117,36.45071029663086,
7,7,7,2019-02-14,38.578224182128906,37.57303237915039,
8,8,8,2019-02-15,38.81245040893555,36.73373794555664,
9,9,9,2019-02-19,39.40775680541992,36.63614654541016,
10,10,10,2019-02-20,40.29584884643555,36.958194732666016,
11,11,11,2019-02-21,40.19804000854492,37.97314834594727,
12,12,12,2019-02-22,40.33496856689453,38.20737838745117,36.45071029663086
13,13,13,2019-02-25,41.146759033203125,38.578224182128906,37.57303237915039
14,14,14,2019-02-26,40.55992889404297,38.81245040893555,36.73373794555664
15,15,15,2019-02-27,40.31541442871094,39.40775680541992,36.63614654541016
16,16,16,2019-02-28,39.9339714050293,40.29584884643555,36.958194732666016
17,17,17,2019-03-01,40.10023498535156,40.19804000854492,37.97314834594727
18,18,18,2019-03-04,39.74814224243164,40.33496856689453,38.20737838745117
19,19,19,2019-03-05,39.51341247558594,41.146759033203125,38.578224182128906
20,20,20,2019-03-06,39.06350326538086,40.55992889404297,38.81245040893555
21,21,21,2019-03-07,38.01698303222656,40.31541442871094,39.40775680541992
22,22,22,2019-03-08,37.89961242675781,39.9339714050293,40.29584884643555
23,23,23,2019-03-11,38.66249084472656,40.10023498535156,40.19804000854492
24,24,24,2019-03-12,38.721187591552734,39.74814224243164,40.33496856689453
25,25,25,2019-03-13,38.74074172973633,39.51341247558594,41.146759033203125
26,26,26,2019-03-14,38.40820693969727,39.06350326538086,40.55992889404297
27,27,27,2019-03-15,39.57209396362305,38.01698303222656,40.31541442871094
28,28,28,2019-03-18,39.50362777709961,37.89961242675781,39.9339714050293
29,29,29,2019-03-19,39.650333404541016,38.66249084472656,40.10023498535156
30,30,30,2019-03-20,38.71139907836914,38.721187591552734,39.74814224243164
31,31,31,2019-03-21,39.62099456787109,38.74074172973633,39.51341247558594
32,32,32,2019-03-22,38.74074172973633,38.40820693969727,39.06350326538086
33,33,33,2019-03-25,38.642948150634766,39.57209396362305,38.01698303222656
34,34,34,2019-03-26,38.92657470703125,39.50362777709961,37.89961242675781
35,35,35,2019-03-27,38.43754959106445,39.650333404541016,38.66249084472656
36,36,36,2019-03-28,38.35931015014648,38.71139907836914,38.721187591552734
37,37,37,2019-03-29,38.96569061279297,39.62099456787109,38.74074172973633
38,38,38,2019-04-01,40.86311721801758,38.74074172973633,38.40820693969727
39,39,39,2019-04-02,41.09785079956055,38.642948150634766,39.57209396362305
40,40,40,2019-04-03,42.64318084716797,38.92657470703125,39.50362777709961
41,41,41,2019-04-04,42.67251586914063,38.43754959106445,39.650333404541016
42,42,42,2019-04-05,43.181114196777344,38.35931015014648,38.71139907836914
43,43,43,2019-04-08,43.33760833740234,38.96569061279297,39.62099456787109
44,44,44,2019-04-09,42.74097442626953,40.86311721801758,38.74074172973633
45,45,45,2019-04-10,42.956153869628906,41.09785079956055,38.642948150634766
46,46,46,2019-04-11,42.652957916259766,42.64318084716797,38.92657470703125
47,47,47,2019-04-12,43.17132568359375,42.67251586914063,38.43754959106445
48,48,48,2019-04-15,42.9757194519043,43.181114196777344,38.35931015014648
49,49,49,2019-04-16,44.13961410522461,43.33760833740234,38.96569061279297
50,50,50,2019-04-17,43.86574172973633,42.74097442626953,40.86311721801758
51,51,51,2019-04-18,43.82663345336914,42.956153869628906,41.09785079956055
52,52,52,2019-04-22,43.86574172973633,42.652957916259766,42.64318084716797
53,53,53,2019-04-23,43.6114501953125,43.17132568359375,42.67251586914063
54,54,54,2019-04-24,46.93684768676758,42.9757194519043,43.181114196777344
55,55,55,2019-04-25,47.09333038330078,44.13961410522461,43.33760833740234
56,56,56,2019-04-26,47.68994140625,43.86574172973633,42.74097442626953
57,57,57,2019-04-29,48.0224838256836,43.82663345336914,42.956153869628906
58,58,58,2019-04-30,47.92467498779297,43.86574172973633,42.652957916259766
59,59,59,2019-05-01,47.670387268066406,43.6114501953125,43.17132568359375
60,60,60,2019-05-02,47.88555908203125,46.93684768676758,42.9757194519043
61,61,61,2019-05-03,48.34524154663086,47.09333038330078,44.13961410522461
62,62,62,2019-05-06,47.51389694213867,47.68994140625,43.86574172973633
63,63,63,2019-05-07,47.0639762878418,48.0224838256836,43.82663345336914
64,64,64,2019-05-08,47.132442474365234,47.92467498779297,43.86574172973633
65,65,65,2019-05-09,46.91728973388672,47.670387268066406,43.6114501953125
66,66,66,2019-05-10,47.191139221191406,47.88555908203125,46.93684768676758
67,67,67,2019-05-13,44.75577545166016,48.34524154663086,47.09333038330078
68,68,68,2019-05-14,45.21546173095703,47.51389694213867,47.68994140625
69,69,69,2019-05-15,45.763179779052734,47.0639762878418,48.0224838256836
70,70,70,2019-05-16,45.93922424316406,47.132442474365234,47.92467498779297
71,71,71,2019-05-17,44.8927116394043,46.91728973388672,47.670387268066406
72,72,72,2019-05-20,42.86812973022461,47.191139221191406,47.88555908203125
